,open,high,low,close,volume,bid,ask,trade_action,StrategyEarning,EarningDiff,signal_smooth,pred_signal,pred_action,Position,Cash,NetValue,Action,TradedAmount,BuyHoldEarning
2025-06-18 13:00:00,176.4388,176.8,175.62,176.55,13380.0,176.497,176.603,0,0.0,0.0,0.1258331898563501,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:01:00,175.87,176.58,175.82,175.82,791.0,175.7673,175.8727,0,0.0,0.0,0.1197763625050255,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:02:00,175.95,176.53,175.95,176.5,115.0,176.4471,176.5529,0,0.0,0.0,0.112730694122377,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:03:00,176.6,176.6,176.5,176.59,453.0,176.537,176.643,0,0.0,0.0,0.1076851545650725,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:04:00,176.59,176.59,176.52,176.58,33.0,176.527,176.633,0,0.0,0.0,0.1020175148511213,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:05:00,175.95,176.52,175.95,176.5,235.0,176.4471,176.5529,0,0.0,0.0,0.0969166391085653,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:06:00,176.526,176.67,176.44,176.44,1181.0,176.3871,176.4929,0,0.0,0.0,0.0940668090064925,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:07:00,176.59,176.6545,176.41,176.58,1391.0,176.527,176.633,0,0.0,0.0,0.0908071182921262,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:08:00,176.52,176.66,176.41,176.48,216.0,176.4271,176.5329,0,0.0,0.0,0.0891381077678792,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:09:00,176.6,176.7,176.58,176.6,2245.0,176.547,176.653,0,0.0,0.0,0.0876191296091141,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:10:00,176.59,176.59,176.56,176.56,233.0,176.507,176.613,0,0.0,0.0,0.0865378107392668,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:11:00,176.6,176.6,176.43,176.4515,344.0,176.3986,176.5044,0,0.0,0.0,0.0878874203228008,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:12:00,176.45,176.61,176.45,176.61,110.0,176.557,176.663,0,0.0,0.0,0.0897255523934457,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:13:00,176.55,176.61,176.52,176.56,1743.0,176.507,176.613,0,0.0,0.0,0.0914570074148303,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:14:00,176.6,176.6,176.45,176.4519,909.0,176.399,176.5048,0,0.0,0.0,0.0906981287956768,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:15:00,176.54,176.58,176.44,176.44,1990.0,176.3871,176.4929,0,0.0,0.0,0.0905184655814089,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:16:00,176.52,176.58,176.49,176.516,1642.0,176.463,176.569,0,0.0,0.0,0.093253714449563,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:17:00,176.58,176.6,176.44,176.45,628.0,176.3971,176.5029,0,0.0,0.0,0.0710664527943696,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:18:00,176.5721,176.5873,176.4401,176.57,45.0,176.517,176.623,0,0.0,0.0,0.0743382929372637,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:19:00,176.46,176.58,176.4517,176.49,268.0,176.4371,176.5429,0,0.0,0.0,0.0778132316044044,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:20:00,176.46,176.47,176.43,176.43,650.0,176.3771,176.4829,0,0.0,0.0,0.0803270117717585,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:21:00,176.33,176.5,176.33,176.45,250.0,176.3971,176.5029,0,0.0,0.0,0.0833286403376833,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:22:00,176.43,176.45,176.37,176.41,1477.0,176.3571,176.4629,0,0.0,0.0,0.0795795656025172,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:23:00,176.458,176.458,176.25,176.41,337.0,176.3571,176.4629,0,0.0,0.0,0.0832856031478526,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:24:00,176.33,176.3999,176.33,176.3999,58.0,176.347,176.4528,0,0.0,0.0,0.0891383590250418,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:25:00,176.33,176.4,176.23,176.32,35.0,176.2671,176.3729,0,0.0,0.0,0.0960922558151502,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:26:00,176.31,176.38,176.24,176.3,377.0,176.2471,176.3529,0,0.0,0.0,0.1020846561661328,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:27:00,176.38,176.38,176.3,176.3,650.0,176.2471,176.3529,0,0.0,0.0,0.10307831755995,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:28:00,176.3,176.39,176.2803,176.39,1459.0,176.3371,176.4429,0,0.0,0.0,0.1096992230163425,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:29:00,176.39,176.39,176.3,176.37,212.0,176.3171,176.4229,0,0.0,0.0,0.1142877745669805,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:30:00,176.39,176.39,176.25,176.29,753.0,176.2371,176.3429,0,0.0,0.0,0.1208585839637103,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:31:00,176.34,176.34,176.22,176.22,212.0,176.1671,176.2729,0,0.0,0.0,0.1260553392152109,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:32:00,176.2993,176.38,176.2,176.2,525.0,176.1471,176.2529,0,0.0,0.0,0.1336543279113633,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:33:00,176.28,176.32,176.21,176.32,1534.0,176.2671,176.3729,0,0.0,0.0,0.1425410240160037,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:34:00,176.32,176.35,176.29,176.3428,103.0,176.2899,176.3957,0,0.0,0.0,0.1502533392543083,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:35:00,176.34,176.35,176.212,176.212,188.0,176.1591,176.2649,0,0.0,0.0,0.1607012971047103,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:36:00,176.28,176.39,176.2507,176.38,1075.0,176.3271,176.4329,0,0.0,0.0,0.1690701077308641,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:37:00,176.31,176.39,176.21,176.2999,1090.0,176.247,176.3528,0,0.0,0.0,0.1746735012226242,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:38:00,176.21,176.3,176.08,176.08,866.0,176.0272,176.1328,0,0.0,0.0,0.1752462941941903,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:39:00,176.11,176.21,176.1,176.21,142.0,176.1571,176.2629,0,0.0,0.0,0.1761163419722999,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:40:00,176.16,176.2,176.16,176.19,153.0,176.1371,176.2429,0,0.0,0.0,0.1781978230180132,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:41:00,176.2,176.34,176.19,176.22,743.0,176.1671,176.2729,0,0.0,0.0,0.1794427369431792,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:42:00,176.26,176.375,176.24,176.24,239.0,176.1871,176.2929,0,0.0,0.0,0.1816639387019101,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:43:00,176.24,176.3145,176.21,176.3145,183.0,176.2616,176.3674,0,0.0,0.0,0.1833015601927934,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:44:00,176.24,176.29,176.21,176.22,263.0,176.1671,176.2729,0,0.0,0.0,0.1860669843346701,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:45:00,176.22,176.32,176.22,176.26,2625.0,176.2071,176.3129,0,0.0,0.0,0.1916330514843491,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:46:00,176.3057,176.32,176.21,176.21,164.0,176.1571,176.2629,0,0.0,0.0,0.1906208087121036,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:47:00,176.21,176.2185,176.13,176.14,2986.0,176.0872,176.1928,0,0.0,0.0,0.1926295618960911,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:48:00,176.19,176.2087,176.08,176.2087,894.0,176.1558,176.2616,0,0.0,0.0,0.1919893579428957,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:49:00,176.2072,176.2072,176.1,176.1143,18.0,176.0615,176.1671,0,0.0,0.0,0.1932850777691506,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:50:00,176.2,176.25,176.1448,176.1455,48.0,176.0927,176.1983,0,0.0,0.0,0.1945757179112463,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:51:00,176.18,176.2832,176.1507,176.26,912.0,176.2071,176.3129,0,0.0,0.0,0.191769558301399,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:52:00,176.24,176.4,176.24,176.4,1670.0,176.3471,176.4529,0,0.0,0.0,0.1943801237048011,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:53:00,176.3004,176.3899,176.3004,176.3899,151.0,176.337,176.4428,0,0.0,0.0,0.1939107971875595,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:54:00,176.3,176.39,176.3,176.34,57.0,176.2871,176.3929,0,0.0,0.0,0.1874928363967619,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:55:00,176.31,176.34,176.2591,176.3,593.0,176.2471,176.3529,0,0.0,0.0,0.1860280608801059,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:56:00,176.3,176.38,176.24,176.25,412.0,176.1971,176.3029,0,0.0,0.0,0.1831846400923744,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:57:00,176.13,176.29,176.13,176.27,139.0,176.2171,176.3229,0,0.0,0.0,0.1801936984553913,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:58:00,176.26,176.31,176.22,176.31,236.0,176.2571,176.3629,0,0.0,0.0,0.1829735403273092,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 13:59:00,176.1987,176.28,176.13,176.2,500.0,176.1471,176.2529,0,0.0,0.0,0.1867601878230426,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 14:00:00,176.22,176.35,176.22,176.35,1313.0,176.2971,176.4029,0,0.0,0.0,0.1869614207788738,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 14:01:00,176.3,176.3,175.95,176.19,600322.0,176.1371,176.2429,0,0.0,0.0,0.1863316611067611,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 14:02:00,176.19,176.35,176.13,176.26,358.0,176.2071,176.3129,0,0.0,0.0,0.184618515928805,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 14:03:00,176.26,176.32,176.26,176.3,154.0,176.2471,176.3529,0,0.0,0.0,0.1835458430445672,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 14:04:00,176.29,176.35,176.22,176.32,212.0,176.2671,176.3729,0,0.0,0.0,0.1807876921637503,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 14:05:00,176.35,176.38,176.31,176.34,262.0,176.2871,176.3929,0,0.0,0.0,0.1776422635541995,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 14:06:00,176.31,176.39,176.3,176.31,339.0,176.2571,176.3629,0,0.0,0.0,0.1740425248069963,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 14:07:00,176.36,176.36,176.26,176.34,191.0,176.2871,176.3929,0,0.0,0.0,0.1727230478357611,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 14:08:00,176.3478,176.3478,176.278,176.34,71.0,176.2871,176.3929,0,0.0,0.0,0.1757941204470174,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 14:09:00,176.34,176.39,176.294,176.294,1490.0,176.2411,176.3469,0,0.0,0.0,0.1748611781454221,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 14:10:00,176.39,176.39,176.3019,176.32,284.0,176.2671,176.3729,0,0.0,0.0,0.1738231831787528,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 14:11:00,176.35,176.39,176.31,176.35,1971.0,176.2971,176.4029,0,0.0,0.0,0.1781046108086429,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 14:12:00,176.38,176.38,176.1867,176.1867,869.0,176.1338,176.2396,0,0.0,0.0,0.1843622568645695,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 14:13:00,176.25,176.25,176.1515,176.22,95.0,176.1671,176.2729,0,0.0,0.0,0.1943552999541783,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 14:14:00,176.23,176.35,176.1924,176.25,1701.0,176.1971,176.3029,0,0.0,0.0,0.2083715141479763,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 14:15:00,176.17,176.3499,176.17,176.31,50.0,176.2571,176.3629,0,0.0,0.0,0.2163625702664977,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 14:16:00,176.25,176.34,176.145,176.3,243.0,176.2471,176.3529,0,0.0,0.0,0.2233102333999047,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 14:17:00,176.3,176.33,176.22,176.22,89.0,176.1671,176.2729,0,0.0,0.0,0.2293159431787174,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 14:18:00,176.3169,176.33,176.22,176.33,91.0,176.2771,176.3829,0,0.0,0.0,0.2514778548359137,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 14:19:00,176.26,176.35,176.22,176.26,198.0,176.2071,176.3129,0,0.0,0.0,0.270348491984767,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 14:20:00,176.25,176.33,176.23,176.3,193.0,176.2471,176.3529,0,0.0,0.0,0.2943973769987784,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 14:21:00,176.2274,176.33,176.2274,176.33,73.0,176.2771,176.3829,0,0.0,0.0,0.3102009007919737,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 14:22:00,176.32,176.34,176.24,176.32,3378.0,176.2671,176.3729,0,0.0,0.0,0.3291257029280373,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 14:23:00,176.33,176.44,176.31,176.43,4940.0,176.3771,176.4829,0,0.0,0.0,0.3390953749998636,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 14:24:00,176.42,176.48,176.33,176.39,3186.0,176.3371,176.4429,0,0.0,0.0,0.3558677649188026,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 14:25:00,176.35,176.37,176.05,176.1999,4207.0,176.147,176.2528,0,0.0,0.0,0.3789709818514205,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 14:26:00,176.14,176.32,175.9,176.1,10091.0,176.0472,176.1528,0,0.0,0.0,0.3989640992719874,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 14:27:00,176.17,176.3,175.93,176.01,8523.0,175.9572,176.0628,0,0.0,0.0,0.4103433612054181,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 14:28:00,176.0,176.03,175.85,175.93,4680.0,175.8772,175.9828,0,0.0,0.0,0.4221686717951528,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 14:29:00,175.88,176.03,175.85,176.01,3312.0,175.9572,176.0628,0,0.0,0.0,0.4317576445181471,,0,0,0.0,0.0,No trade,0,0.0
2025-06-18 14:30:00,176.01,176.5,175.98,176.17,463860.0,176.1171,176.2229,1,0.0,0.106,0.4382284703766729,0.07323657721281052,0,0,0.0,0.0,Hold,0,-0.106
2025-06-18 14:31:00,176.17,176.3094,175.96,176.06,80335.0,176.0072,176.1128,0,0.0,0.216,0.4387455812885052,0.0884886309504509,0,0,0.0,0.0,Hold,0,-0.216
2025-06-18 14:32:00,176.065,176.125,175.65,175.665,89731.0,175.6123,175.7177,0,0.0,0.611,0.4377985638318733,0.09852659702301025,0,0,0.0,0.0,Hold,0,-0.611
2025-06-18 14:33:00,175.6603,175.84,175.63,175.795,53230.0,175.7423,175.8477,0,0.0,0.481,0.4357450125812911,0.11368019878864288,0,0,0.0,0.0,Hold,0,-0.481
2025-06-18 14:34:00,175.78,175.78,175.5,175.64,89068.0,175.5873,175.6927,0,0.0,0.636,0.4465236901958031,0.12051364779472351,0,0,0.0,0.0,Hold,0,-0.636
2025-06-18 14:35:00,175.65,175.92,175.64,175.92,71697.0,175.8672,175.9728,0,0.0,0.356,0.4449905043557225,0.1323455423116684,0,0,0.0,0.0,Hold,0,-0.356
2025-06-18 14:36:00,175.915,175.97,175.6,175.81,70943.0,175.7573,175.8627,0,0.0,0.466,0.4416988495853606,0.1449953019618988,0,0,0.0,0.0,Hold,0,-0.466
2025-06-18 14:37:00,175.8,176.17,175.8,176.085,66641.0,176.0322,176.1378,0,0.0,0.191,0.4366698126218212,0.15623781085014343,0,0,0.0,0.0,Hold,0,-0.191
2025-06-18 14:38:00,176.09,176.11,175.88,175.9,52246.0,175.8472,175.9528,0,0.0,0.376,0.4351556640462594,0.16925697028636932,0,0,0.0,0.0,Hold,0,-0.376
2025-06-18 14:39:00,175.91,175.98,175.52,175.57,51780.0,175.5173,175.6227,0,0.0,0.706,0.4341709217451185,0.18161697685718536,0,0,0.0,0.0,Hold,0,-0.706
2025-06-18 14:40:00,175.54,175.8,175.49,175.8,64161.0,175.7473,175.8527,0,0.0,0.476,0.4419659280623321,0.19171452522277832,0,0,0.0,0.0,Hold,0,-0.476
2025-06-18 14:41:00,175.81,176.07,175.78,176.061,64447.0,176.0082,176.1138,0,0.0,0.215,0.4397199334890285,0.19880437850952148,0,0,0.0,0.0,Hold,0,-0.215
2025-06-18 14:42:00,176.07,176.1,175.82,175.91,77196.0,175.8572,175.9628,0,0.0,0.366,0.4345679216212963,0.20511533319950104,0,0,0.0,0.0,Hold,0,-0.366
2025-06-18 14:43:00,175.919,176.03,175.87,176.0,40928.0,175.9472,176.0528,0,0.0,0.276,0.4223055747150193,0.21036915481090546,0,0,0.0,0.0,Hold,0,-0.276
2025-06-18 14:44:00,176.01,176.18,175.9,176.11,66120.0,176.0572,176.1628,0,0.0,0.166,0.4124703663299846,0.21340247988700867,0,0,0.0,0.0,Hold,0,-0.166
