,open,high,low,close,volume,ask,bid,open_orig,high_orig,low_orig,close_orig,volume_orig,ask_orig,bid_orig,signal,signal_smooth,signal_norm,signal_smooth_norm,trade_action,Position,Cash,NetValue,Action,TradedAmount,StrategyEarning,BuyHoldEarning,EarningDiff
2025-06-12 13:30:00,199.02,199.0967,198.92,199.0453,3661.0,199.105,198.9856,199.1,199.15,198.86,199.136,4990.0,199.1957,199.0763,1.8711688354288775e-91,1.8711688354288775e-91,2.0675898734020328e-91,0.0,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-12 13:31:00,199.08,199.1467,198.9467,199.0953,4217.0,199.155,199.0356,199.14,199.15,199.03,199.15,2976.0,199.2097,199.0903,3.487230916272554e-91,2.4098561957101032e-91,3.853293830135341e-91,1.048609320492945e-91,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-12 13:32:00,199.1267,199.15,198.89,199.1453,5014.0,199.205,199.0856,199.14,199.15,198.78,199.15,7075.0,199.2097,199.0903,6.334971359124573e-91,3.7182279168482596e-91,6.999968352623696e-91,3.5954869393377967e-91,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-12 13:33:00,199.1367,199.15,198.96,199.13,4922.0,199.1897,199.0703,199.13,199.15,199.07,199.09,4715.0,199.1497,199.0303,1.4472897849779788e-90,7.303117894492103e-91,1.5992152320198338e-90,1.0573837130321648e-90,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-12 13:34:00,199.12,199.1433,198.9533,199.1233,4685.0,199.183,199.0636,199.09,199.13,199.01,199.13,2265.0,199.1897,199.0703,3.200603748357996e-90,1.5537424424188056e-90,3.5365787274673275e-90,2.6602745939927563e-90,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-12 13:35:00,199.1166,199.1433,199.06,199.1233,3958.0,199.183,199.0636,199.1299,199.15,199.1,199.15,4893.0,199.2097,199.0903,6.91255596744098e-90,3.3400136174261974e-90,7.638183389437393e-90,6.1374317377259405e-90,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-12 13:36:00,199.1213,199.1733,199.0733,199.1733,4322.0,199.2331,199.1136,199.144,199.24,199.11,199.24,5807.0,199.2998,199.1802,1.232582441074767e-89,6.335283881866689e-90,1.3619695481488864e-89,1.1968027642274273e-89,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-12 13:37:00,199.1713,199.23,199.1333,199.23,9759.0,199.2898,199.1702,199.24,199.3,199.19,199.3,18576.0,199.3598,199.2402,2.024403012350931e-89,1.0971532629080895e-89,2.236909405912586e-89,2.0992953799655272e-89,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-12 13:38:00,199.2247,199.29,199.1633,199.28,11343.0,199.3398,199.2202,199.29,199.33,199.19,199.3,9645.0,199.3598,199.2402,3.15772694620921e-89,1.7840111573417965e-89,3.489201045534968e-89,3.4363336011358455e-89,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-12 13:39:00,199.26,199.3367,199.2054,199.3153,10957.0,199.3751,199.2555,199.25,199.38,199.2362,199.346,4649.0,199.4058,199.2862,4.968072796880022e-89,2.8453650371878715e-89,5.4895832009722896e-89,5.502366058565182e-89,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-12 13:40:00,199.2967,199.39,199.2354,199.332,6181.0,199.3918,199.2722,199.35,199.46,199.28,199.35,4249.0,199.4098,199.2902,8.837701435036061e-89,4.8428105031372685e-89,9.765415950315893e-89,9.390595275002415e-89,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-12 13:41:00,199.2967,199.4467,199.2387,199.3853,6793.0,199.4451,199.3255,199.29,199.5,199.2,199.46,11482.0,199.5198,199.4002,6.044333618133814e-89,5.243318208136118e-89,6.678821677495793e-89,1.0170223948992057e-88,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-12 13:42:00,199.37,199.4833,199.2767,199.4133,6802.0,199.4731,199.3535,199.47,199.49,199.35,199.43,4674.0,199.4898,199.3702,0.0,3.495545472090746e-89,0.0,6.768007902631061e-89,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-12 13:43:00,199.3833,199.46,199.2767,199.4233,5808.0,199.4831,199.3635,199.39,199.39,199.28,199.38,1268.0,199.4398,199.3202,0.0,2.3303636480604974e-89,0.0,4.499863871723729e-89,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-12 13:44:00,199.4133,199.42,199.3042,199.3767,3118.0,199.4365,199.3169,199.38,199.38,199.2825,199.32,3412.0,199.3798,199.2602,8.209485889611802e-88,2.8918528730746336e-88,9.071255126642693e-88,5.625641094562235e-88,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-12 13:45:00,199.3832,199.4,199.2975,199.3633,2490.0,199.4231,199.3035,199.3797,199.43,199.3301,199.39,2791.0,199.4498,199.3302,2.4865394784791877e-87,1.0216366843647048e-87,2.7475574347835775e-87,1.9883546855732e-87,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-12 13:46:00,199.3832,199.4,199.2675,199.3167,3520.0,199.3765,199.2569,199.39,199.39,199.19,199.24,4358.0,199.2998,199.1802,1.07291884425781e-86,4.2574872704358365e-87,1.1855456842627497e-86,8.287264469729509e-87,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-12 13:47:00,199.3232,199.39,199.2367,199.3203,3099.0,199.3801,199.2605,199.2,199.35,199.19,199.3309,2147.0,199.3907,199.2711,2.2278421863359114e-86,1.026446546807693e-86,2.4617040732993e-86,1.9980453860243397e-86,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-12 13:48:00,199.2605,199.3633,199.1905,199.3003,3361.0,199.3601,199.2405,199.1915,199.35,199.1915,199.33,3578.0,199.3898,199.2702,5.88444298212864e-86,2.6457786919146756e-86,6.502146941578477e-86,5.150238857663508e-86,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-12 13:49:00,199.2438,199.3467,199.2085,199.307,2475.0,199.3668,199.2472,199.34,199.34,199.244,199.26,1700.0,199.3198,199.2002,1.1932809495330125e-85,5.741455626386492e-86,1.3185424856718103e-85,1.1176286480216774e-85,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-12 13:50:00,199.2672,199.34,199.2085,199.26,2274.0,199.3198,199.2002,199.27,199.33,199.19,199.19,1543.0,199.2498,199.1302,3.753215426338245e-85,1.633835517205181e-85,4.1471993661195245e-85,3.18042210694208e-85,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
