TimeStamp,macd_feature,close,Ask,Bid,Volume,Position,Cash,NetValue,Action
2025-05-20 15:30:00,0.773,348.73,348.82,348.64,13332.0,1,-348.82,-0.18,Buy
2025-05-20 15:31:00,0.898,350.04,350.24,350.02,13941.0,1,-348.82,1.2,Hold
2025-05-20 15:32:00,1.095,351.59,351.73,351.55,13206.0,1,-348.82,2.73,Hold
2025-05-20 15:33:00,1.296,352.23,352.35,352.23,9064.0,1,-348.82,3.41,Hold
2025-05-20 15:34:00,1.471,352.4,352.46,352.35,12475.0,1,-348.82,3.53,Hold
2025-05-20 15:35:00,1.683,353.58,353.69,353.57,10160.0,1,-348.82,4.75,Hold
2025-05-20 15:36:00,1.886,354.08,354.26,354.08,9881.0,1,-348.82,5.26,Hold
2025-05-20 15:37:00,2.006,353.4,353.47,353.34,6453.0,1,-348.82,4.52,Hold
2025-05-20 15:38:00,2.142,354.15,354.16,354.08,7608.0,1,-348.82,5.26,Hold
2025-05-20 15:39:00,2.24,354.07,354.2,354.03,7461.0,1,-348.82,5.21,Hold
2025-05-20 15:40:00,2.158,351.58,351.65,351.6,8032.0,1,-348.82,2.78,Hold
2025-05-20 15:41:00,2.03,350.86,350.87,350.77,11217.0,1,-348.82,1.95,Hold
2025-05-20 15:42:00,1.93,351.22,351.24,351.08,10154.0,1,-348.82,2.26,Hold
2025-05-20 15:43:00,1.752,349.93,350.0,349.88,6688.0,1,-348.82,1.06,Hold
2025-05-20 15:44:00,1.589,349.93,349.97,349.9,6826.0,1,-348.82,1.08,Hold
2025-05-20 15:45:00,1.414,349.54,349.58,349.5,5487.0,1,-348.82,0.68,Hold
2025-05-20 15:46:00,1.112,347.22,347.37,347.22,8742.0,1,-348.82,-1.6,Hold
2025-05-20 15:47:00,0.723,345.21,345.31,345.19,11433.0,1,-348.82,-3.63,Hold
2025-05-20 15:48:00,0.461,346.47,346.47,346.38,8549.0,1,-348.82,-2.44,Hold
2025-05-20 15:49:00,0.203,345.98,346.08,345.91,6489.0,1,-348.82,-2.91,Hold
2025-05-20 15:50:00,-0.102,344.68,344.68,344.61,7862.0,0,-4.21,-4.21,Sell
2025-05-20 15:51:00,-0.391,344.23,344.23,344.13,9286.0,0,-4.21,-4.21,Hold
2025-05-20 15:52:00,-0.536,345.89,345.96,345.85,8287.0,0,-4.21,-4.21,Hold
2025-05-20 15:53:00,-0.702,345.2,345.24,345.1,6529.0,0,-4.21,-4.21,Hold
2025-05-20 15:54:00,-0.806,345.78,345.85,345.78,5576.0,0,-4.21,-4.21,Hold
2025-05-20 15:55:00,-0.968,344.55,344.66,344.55,4603.0,0,-4.21,-4.21,Hold
2025-05-20 15:56:00,-1.099,344.59,344.68,344.59,5335.0,0,-4.21,-4.21,Hold
2025-05-20 15:57:00,-1.215,344.47,344.54,344.43,3915.0,0,-4.21,-4.21,Hold
2025-05-20 15:58:00,-1.377,343.34,343.37,343.31,8967.0,0,-4.21,-4.21,Hold
2025-05-20 15:59:00,-1.448,344.35,344.3,344.16,4984.0,0,-4.21,-4.21,Hold
2025-05-20 16:00:00,-1.425,345.6,345.6,345.52,5387.0,0,-4.21,-4.21,Hold
2025-05-20 16:01:00,-1.455,344.68,344.68,344.55,4697.0,0,-4.21,-4.21,Hold
2025-05-20 16:02:00,-1.502,344.2,344.26,344.14,3471.0,0,-4.21,-4.21,Hold
2025-05-20 16:03:00,-1.508,344.64,344.7,344.58,3571.0,0,-4.21,-4.21,Hold
2025-05-20 16:04:00,-1.519,344.42,344.43,344.29,3236.0,0,-4.21,-4.21,Hold
2025-05-20 16:05:00,-1.462,345.37,345.4,345.29,4216.0,0,-4.21,-4.21,Hold
2025-05-20 16:06:00,-1.447,344.7,344.77,344.62,3334.0,0,-4.21,-4.21,Hold
2025-05-20 16:07:00,-1.458,344.18,344.22,344.06,4957.0,0,-4.21,-4.21,Hold
2025-05-20 16:08:00,-1.461,344.15,344.2,344.06,2323.0,0,-4.21,-4.21,Hold
2025-05-20 16:09:00,-1.504,343.37,343.45,343.32,2350.0,0,-4.21,-4.21,Hold
2025-05-20 16:10:00,-1.501,343.87,343.95,343.8,4552.0,0,-4.21,-4.21,Hold
2025-05-20 16:11:00,-1.469,344.23,344.25,344.13,2742.0,0,-4.21,-4.21,Hold
2025-05-20 16:12:00,-1.416,344.5,344.56,344.46,2499.0,0,-4.21,-4.21,Hold
2025-05-20 16:13:00,-1.351,344.7,344.74,344.67,3762.0,0,-4.21,-4.21,Hold
2025-05-20 16:14:00,-1.29,344.65,344.7,344.61,2802.0,0,-4.21,-4.21,Hold
2025-05-20 16:15:00,-1.204,345.08,345.1,345.02,2482.0,0,-4.21,-4.21,Hold
2025-05-20 16:16:00,-1.139,344.82,344.86,344.78,2769.0,0,-4.21,-4.21,Hold
2025-05-20 16:17:00,-1.055,345.17,345.2,345.12,2393.0,0,-4.21,-4.21,Hold
2025-05-20 16:18:00,-0.917,346.15,346.17,346.11,5557.0,0,-4.21,-4.21,Hold
2025-05-20 16:19:00,-0.821,345.69,345.72,345.65,3305.0,0,-4.21,-4.21,Hold
2025-05-20 16:20:00,-0.671,346.73,346.78,346.73,3523.0,0,-4.21,-4.21,Hold
2025-05-20 16:21:00,-0.551,346.5,346.54,346.48,6404.0,0,-4.21,-4.21,Hold
2025-05-20 16:22:00,-0.415,347.0,347.04,346.94,3688.0,0,-4.21,-4.21,Hold
2025-05-20 16:23:00,-0.296,346.98,347.0,346.95,2822.0,0,-4.21,-4.21,Hold
2025-05-20 16:24:00,-0.202,346.82,346.94,346.81,3438.0,0,-4.21,-4.21,Hold
2025-05-20 16:25:00,-0.138,346.53,346.65,346.54,3492.0,0,-4.21,-4.21,Hold
2025-05-20 16:26:00,-0.043,347.15,347.15,347.09,1946.0,0,-4.21,-4.21,Hold
2025-05-20 16:27:00,0.022,346.88,346.91,346.82,2294.0,1,-351.12,-4.3,Buy
2025-05-20 16:28:00,0.008,345.72,345.78,345.71,4514.0,1,-351.12,-5.41,Hold
2025-05-20 16:29:00,-0.015,345.55,345.6,345.51,2680.0,0,-5.61,-5.61,Sell
2025-05-20 16:30:00,-0.036,345.5,345.5,345.42,2709.0,0,-5.61,-5.61,Hold
2025-05-20 16:31:00,-0.066,345.3,345.39,345.3,2424.0,0,-5.61,-5.61,Hold
2025-05-20 16:32:00,-0.109,344.99,344.99,344.91,3515.0,0,-5.61,-5.61,Hold
2025-05-20 16:33:00,-0.105,345.64,345.68,345.61,2288.0,0,-5.61,-5.61,Hold
2025-05-20 16:34:00,-0.112,345.45,345.5,345.41,1633.0,0,-5.61,-5.61,Hold
2025-05-20 16:35:00,-0.09,345.89,345.92,345.85,2185.0,0,-5.61,-5.61,Hold
2025-05-20 16:36:00,-0.108,345.26,345.26,345.2,2292.0,0,-5.61,-5.61,Hold
2025-05-20 16:37:00,-0.105,345.54,345.54,345.47,2176.0,0,-5.61,-5.61,Hold
2025-05-20 16:38:00,-0.08,345.89,345.92,345.85,2403.0,0,-5.61,-5.61,Hold
2025-05-20 16:39:00,-0.023,346.45,346.49,346.41,3340.0,0,-5.61,-5.61,Hold
2025-05-20 16:40:00,0.035,346.6,346.67,346.6,2903.0,1,-352.28,-5.68,Buy
2025-05-20 16:41:00,0.097,346.79,346.82,346.75,4041.0,1,-352.28,-5.53,Hold
2025-05-20 16:42:00,0.138,346.58,346.59,346.53,2011.0,1,-352.28,-5.75,Hold
2025-05-20 16:43:00,0.145,346.14,346.19,346.11,1433.0,1,-352.28,-6.17,Hold
2025-05-20 16:44:00,0.19,346.77,346.83,346.77,1755.0,1,-352.28,-5.51,Hold
2025-05-20 16:45:00,0.229,346.78,346.82,346.75,1537.0,1,-352.28,-5.53,Hold
2025-05-20 16:46:00,0.251,346.62,346.7,346.61,1771.0,1,-352.28,-5.67,Hold
2025-05-20 16:47:00,0.267,346.58,346.62,346.54,1436.0,1,-352.28,-5.74,Hold
2025-05-20 16:48:00,0.279,346.57,346.6,346.54,1173.0,1,-352.28,-5.74,Hold
2025-05-20 16:49:00,0.277,346.37,346.41,346.35,1103.0,1,-352.28,-5.93,Hold
2025-05-20 16:50:00,0.274,346.39,346.45,346.37,1948.0,1,-352.28,-5.91,Hold
2025-05-20 16:51:00,0.213,345.44,345.49,345.43,2446.0,1,-352.28,-6.85,Hold
2025-05-20 16:52:00,0.183,345.81,345.84,345.8,1719.0,1,-352.28,-6.48,Hold
2025-05-20 16:53:00,0.175,346.11,346.14,346.07,1206.0,1,-352.28,-6.21,Hold
2025-05-20 16:54:00,0.193,346.54,346.6,346.51,2063.0,1,-352.28,-5.77,Hold
2025-05-20 16:55:00,0.199,346.38,346.42,346.32,1586.0,1,-352.28,-5.96,Hold
2025-05-20 16:56:00,0.18,346.01,346.07,346.01,1166.0,1,-352.28,-6.27,Hold
2025-05-20 16:57:00,0.145,345.7,345.78,345.65,1936.0,1,-352.28,-6.63,Hold
2025-05-20 16:58:00,0.098,345.43,345.49,345.41,2268.0,1,-352.28,-6.87,Hold
2025-05-20 16:59:00,0.049,345.29,345.32,345.25,1439.0,1,-352.28,-7.03,Hold
2025-05-20 17:00:00,0.029,345.65,345.7,345.6,2947.0,1,-352.28,-6.68,Hold
2025-05-20 17:01:00,-0.002,345.42,345.47,345.38,1664.0,0,-6.9,-6.9,Sell
2025-05-20 17:02:00,0.007,345.98,345.98,345.93,1791.0,1,-352.88,-6.95,Buy
2025-05-20 17:03:00,0.013,345.96,345.99,345.93,1423.0,1,-352.88,-6.95,Hold
2025-05-20 17:04:00,0.006,345.75,345.78,345.71,1165.0,1,-352.88,-7.17,Hold
2025-05-20 17:05:00,-0.018,345.45,345.49,345.4,1396.0,0,-7.48,-7.48,Sell
2025-05-20 17:06:00,-0.032,345.55,345.59,345.54,792.0,0,-7.48,-7.48,Hold
