TimeStamp,obv_feature,close,Ask,Bid,Volume,Position,Cash,NetValue,Action
2025-05-20 15:30:00,16113.733,348.73,348.82,348.64,13332.0,1,-348.82,-0.18,Buy
2025-05-20 15:31:00,29725.233,350.04,350.24,350.02,13941.0,1,-348.82,1.2,Hold
2025-05-20 15:32:00,42453.522,351.59,351.73,351.55,13206.0,1,-348.82,2.73,Hold
2025-05-20 15:33:00,50940.056,352.23,352.35,352.23,9064.0,1,-348.82,3.41,Hold
2025-05-20 15:34:00,62699.856,352.4,352.46,352.35,12475.0,1,-348.82,3.53,Hold
2025-05-20 15:35:00,72032.422,353.58,353.69,353.57,10160.0,1,-348.82,4.75,Hold
2025-05-20 15:36:00,80975.6,354.08,354.26,354.08,9881.0,1,-348.82,5.26,Hold
2025-05-20 15:37:00,73659.256,353.4,353.47,353.34,6453.0,1,-348.82,4.52,Hold
2025-05-20 15:38:00,80317.233,354.15,354.16,354.08,7608.0,1,-348.82,5.26,Hold
2025-05-20 15:39:00,71990.822,354.07,354.2,354.03,7461.0,1,-348.82,5.21,Hold
2025-05-20 15:40:00,63184.944,351.58,351.65,351.6,8032.0,1,-348.82,2.78,Hold
2025-05-20 15:41:00,51317.133,350.86,350.87,350.77,11217.0,1,-348.82,1.95,Hold
2025-05-20 15:42:00,60708.778,351.22,351.24,351.08,10154.0,1,-348.82,2.26,Hold
2025-05-20 15:43:00,53333.656,349.93,350.0,349.88,6688.0,1,-348.82,1.06,Hold
2025-05-20 15:44:00,59395.856,349.93,349.97,349.9,6826.0,1,-348.82,1.08,Hold
2025-05-20 15:45:00,53206.967,349.54,349.58,349.5,5487.0,1,-348.82,0.68,Hold
2025-05-20 15:46:00,43860.967,347.22,347.37,347.22,8742.0,1,-348.82,-1.6,Hold
2025-05-20 15:47:00,31949.744,345.21,345.31,345.19,11433.0,1,-348.82,-3.63,Hold
2025-05-20 15:48:00,39924.367,346.47,346.47,346.38,8549.0,1,-348.82,-2.44,Hold
2025-05-20 15:49:00,32932.733,345.98,346.08,345.91,6489.0,1,-348.82,-2.91,Hold
2025-05-20 15:50:00,24654.656,344.68,344.68,344.61,7862.0,1,-348.82,-4.21,Hold
2025-05-20 15:51:00,15056.9,344.23,344.23,344.13,9286.0,1,-348.82,-4.69,Hold
2025-05-20 15:52:00,22939.533,345.89,345.96,345.85,8287.0,1,-348.82,-2.97,Hold
2025-05-20 15:53:00,16076.989,345.2,345.24,345.1,6529.0,1,-348.82,-3.72,Hold
2025-05-20 15:54:00,21256.467,345.78,345.85,345.78,5576.0,1,-348.82,-3.04,Hold
2025-05-20 15:55:00,16309.078,344.55,344.66,344.55,4603.0,1,-348.82,-4.27,Hold
2025-05-20 15:56:00,21241.378,344.59,344.68,344.59,5335.0,1,-348.82,-4.23,Hold
2025-05-20 15:57:00,16968.056,344.47,344.54,344.43,3915.0,1,-348.82,-4.39,Hold
2025-05-20 15:58:00,7740.144,343.34,343.37,343.31,8967.0,1,-348.82,-5.51,Hold
2025-05-20 15:59:00,12407.522,344.35,344.3,344.16,4984.0,1,-348.82,-4.66,Hold
2025-05-20 16:00:00,17416.578,345.6,345.6,345.52,5387.0,1,-348.82,-3.3,Hold
2025-05-20 16:01:00,12392.789,344.68,344.68,344.55,4697.0,1,-348.82,-4.27,Hold
2025-05-20 16:02:00,8634.744,344.2,344.26,344.14,3471.0,1,-348.82,-4.68,Hold
2025-05-20 16:03:00,11876.467,344.64,344.7,344.58,3571.0,1,-348.82,-4.24,Hold
2025-05-20 16:04:00,8348.344,344.42,344.43,344.29,3236.0,1,-348.82,-4.53,Hold
2025-05-20 16:05:00,12224.333,345.37,345.4,345.29,4216.0,1,-348.82,-3.53,Hold
2025-05-20 16:06:00,8584.756,344.7,344.77,344.62,3334.0,1,-348.82,-4.2,Hold
2025-05-20 16:07:00,3375.567,344.18,344.22,344.06,4957.0,1,-348.82,-4.76,Hold
2025-05-20 16:08:00,829.367,344.15,344.2,344.06,2323.0,1,-348.82,-4.76,Hold
2025-05-20 16:09:00,-1720.7,343.37,343.45,343.32,2350.0,0,-5.5,-5.5,Sell
