,Intl_Calls,Intl_Charge,Total_Minutes,Total_Charge,Min_Call,Total_Calls,Cost_Call,Region_Code
0,3,2.7,717.2,75.56,2.37,303,4.01,3
1,3,3.7,625.2,59.24,1.88,332,5.6,3
2,5,3.29,539.4,62.29,1.62,333,5.35,4
3,7,1.78,564.8,66.8,2.21,255,3.82,3
4,3,2.73,512,52.09,1.43,359,6.89,6
5,6,1.7,654.2,67.61,2.03,323,4.78,5
6,7,2.03,786.8,78.31,2.45,321,4.1,4
7,6,1.92,479,46.9,1.74,275,5.86,3
8,4,2.35,760.6,73.32,2.81,271,3.7,5
9,5,3.02,818.2,80.54,2.75,297,3.69,5
10,6,3.43,579.1,54.2,1.72,337,6.22,3
11,5,2.46,556.2,57.08,1.49,374,6.55,4
12,2,3.02,386,40.19,1.3,297,7.39,3
13,5,3.32,608.8,59.64,2.15,283,4.75,2
14,6,3.54,644,59.31,2.57,251,4.23,3
15,9,1.46,816.7,92.29,2.71,301,3.26,4
16,4,3.73,580.4,65.02,1.88,308,4.74,2
17,3,2.19,546.6,58.99,1.57,349,5.92,4
18,5,2.7,578.2,60.5,2.37,244,4.03,5
19,2,3.51,589.7,63.9,2.32,254,3.97,6
20,4,2.86,614.2,59,1.77,347,5.88,5
21,6,1.54,447.6,36.02,1.6,280,7.77,2
22,19,2.57,447.2,48.06,1.45,308,6.41,6
23,6,2.08,445,41.05,1.41,316,7.7,5
24,2,2.78,573.6,48.08,2.09,275,5.72,5
25,5,4.19,667.6,60.15,2.17,308,5.12,3
26,3,2.57,596.3,63.24,1.73,345,5.46,2
27,4,3.97,406.6,44.61,1.66,245,5.49,2
28,6,1.7,636,64.12,2.11,301,4.69,3
29,1,3,524.2,49.6,1.65,317,6.39,7
30,6,3.83,486.2,41.14,1.56,312,7.58,3
31,5,2.78,684.1,69.43,2.17,315,4.54,4
32,10,3.4,549.1,55.29,1.69,324,5.86,5
33,3,3.19,794,79.68,2.41,330,4.14,6
34,4,2.24,593.6,58.49,2.05,289,4.94,6
35,6,3.97,604.8,66.72,2.34,259,3.88,5
36,6,3.92,452.6,48.42,1.4,323,6.67,7
37,5,2.7,592.3,54.2,2.02,293,5.41,4
38,6,2.84,503.7,58.03,1.58,318,5.48,7
39,9,3,611.6,58.44,2.02,303,5.18,4
40,2,2.54,490.3,46.64,1.51,324,6.95,5
41,15,3.94,513.8,56.2,1.8,285,5.07,5
42,4,2.7,728.5,61.93,2.78,262,4.23,5
43,4,2.48,438.8,39.15,1.55,283,7.23,2
44,3,0.95,648.6,58.26,2.37,274,4.7,3
45,5,2.3,505.5,48.3,1.63,310,6.42,1
46,5,3.56,521.8,59.36,1.43,365,6.15,3
47,5,2,571.2,56.13,1.68,339,6.04,5
48,3,2.38,542.4,55.53,1.67,325,5.85,2
49,3,2.97,432,47.25,1.57,275,5.82,2
50,5,2.11,706.3,68.32,2.39,296,4.33,3
51,3,1.84,687.5,68.49,2.26,304,4.44,3
52,6,3.08,670.5,63.62,2.78,241,3.79,5
53,5,2.51,665.5,62.76,2.59,257,4.09,2
54,3,2.62,584.3,56.14,1.78,329,5.86,2
55,3,2.75,705.2,65.94,2.79,253,3.84,3
56,2,2.16,455.7,45.37,1.57,290,6.39,2
57,3,1.57,460.7,49.85,1.61,286,5.74,2
58,3,3.27,537.2,55.36,1.58,340,6.14,3
59,8,3.24,608,65.82,1.83,332,5.04,6
60,4,3.08,540,57.68,2.17,249,4.32,2
61,3,3.13,624.7,71.42,1.87,334,4.68,1
62,3,3.94,592.4,64,2.1,282,4.41,3
63,3,3.4,646.6,62.03,3.05,212,3.42,3
64,6,2.21,461.3,45.51,1.5,307,6.75,5
65,5,1.67,537.9,50.89,2,269,5.29,1
66,4,2.51,631.4,70.46,2.26,280,3.97,2
67,8,2.24,469.2,46.88,1.31,359,7.66,3
68,1,2.11,589.8,63.43,2.8,211,3.33,2
69,3,3.73,510.4,55.2,1.63,314,5.69,6
70,7,3.19,719.4,72.08,2.51,287,3.98,4
71,2,3.27,679.8,68.96,2.79,244,3.54,3
72,4,2.16,578,64.84,2.06,281,4.33,6
73,4,1.97,589.8,62.68,1.59,372,5.93,2
74,3,3.24,593.2,65.16,1.94,305,4.68,7
75,2,1.65,567.9,55.5,2.07,275,4.95,3
76,4,3.16,763.1,81.75,2.67,286,3.5,7
77,7,2.21,319.9,27.02,1.04,308,11.4,4
78,3,2.21,564.2,60.57,1.93,292,4.82,3
79,2,4.05,569,56.46,2.05,278,4.92,5
80,2,3.56,741.8,73.63,2.52,294,3.99,5
81,5,3.4,711.3,69.96,2.39,297,4.25,1
82,2,2.97,488.4,50.6,1.58,310,6.13,2
83,4,2.65,741.7,77.16,2.74,271,3.51,5
84,1,3.35,663.6,68.94,2.46,270,3.92,6
85,7,2.32,736.8,66.54,2.68,275,4.13,4
86,5,2.16,510.5,50.71,1.73,295,5.82,3
87,2,3.24,617.2,65.6,2.1,294,4.48,5
