,bag,box,candle,sign
0,TRUE,FALSE,FALSE,TRUE
1,TRUE,FALSE,FALSE,FALSE
2,FALSE,TRUE,FALSE,FALSE
3,TRUE,FALSE,TRUE,TRUE
4,FALSE,TRUE,FALSE,FALSE
5,TRUE,FALSE,FALSE,FALSE
6,TRUE,FALSE,FALSE,TRUE
7,FALSE,FALSE,FALSE,TRUE
8,FALSE,TRUE,FALSE,FALSE
9,TRUE,FALSE,FALSE,FALSE
10,TRUE,FALSE,FALSE,FALSE
11,TRUE,FALSE,FALSE,FALSE
12,TRUE,FALSE,FALSE,TRUE
13,FALSE,FALSE,FALSE,TRUE
14,FALSE,TRUE,FALSE,FALSE
15,FALSE,FALSE,TRUE,TRUE
16,FALSE,FALSE,FALSE,TRUE
17,TRUE,FALSE,FALSE,FALSE
18,TRUE,FALSE,FALSE,FALSE
19,FALSE,FALSE,TRUE,FALSE
20,TRUE,FALSE,FALSE,FALSE
21,TRUE,FALSE,FALSE,FALSE
22,FALSE,FALSE,FALSE,TRUE
23,TRUE,FALSE,FALSE,TRUE
24,FALSE,TRUE,FALSE,TRUE
25,TRUE,TRUE,FALSE,FALSE
26,TRUE,FALSE,FALSE,FALSE
27,TRUE,FALSE,TRUE,FALSE
28,TRUE,FALSE,FALSE,FALSE
29,FALSE,FALSE,FALSE,TRUE
30,FALSE,FALSE,FALSE,TRUE
31,FALSE,FALSE,FALSE,TRUE
32,TRUE,FALSE,FALSE,TRUE
33,TRUE,FALSE,FALSE,FALSE
34,FALSE,TRUE,FALSE,FALSE
35,FALSE,FALSE,FALSE,TRUE
36,FALSE,FALSE,TRUE,FALSE
37,FALSE,TRUE,FALSE,TRUE
38,TRUE,FALSE,FALSE,FALSE
39,TRUE,FALSE,FALSE,TRUE
40,TRUE,FALSE,FALSE,TRUE
41,FALSE,TRUE,FALSE,FALSE
42,TRUE,FALSE,FALSE,FALSE
43,TRUE,FALSE,FALSE,TRUE
44,TRUE,TRUE,FALSE,FALSE
45,TRUE,FALSE,FALSE,TRUE
46,FALSE,FALSE,FALSE,TRUE
47,FALSE,FALSE,FALSE,TRUE
48,TRUE,FALSE,FALSE,FALSE
49,FALSE,FALSE,TRUE,FALSE
50,FALSE,FALSE,FALSE,TRUE
51,TRUE,FALSE,FALSE,FALSE
52,TRUE,FALSE,FALSE,FALSE
53,FALSE,FALSE,TRUE,FALSE
54,FALSE,FALSE,TRUE,FALSE
55,TRUE,TRUE,FALSE,FALSE
56,FALSE,FALSE,TRUE,FALSE
57,FALSE,FALSE,FALSE,TRUE
58,FALSE,FALSE,FALSE,TRUE
59,TRUE,FALSE,FALSE,TRUE
60,TRUE,FALSE,FALSE,FALSE
61,FALSE,FALSE,FALSE,TRUE
62,TRUE,FALSE,FALSE,FALSE
63,FALSE,TRUE,FALSE,FALSE
64,FALSE,FALSE,FALSE,TRUE
65,TRUE,FALSE,FALSE,FALSE
66,FALSE,TRUE,FALSE,FALSE
67,FALSE,TRUE,FALSE,TRUE
68,FALSE,FALSE,FALSE,TRUE
69,TRUE,FALSE,FALSE,TRUE
70,TRUE,FALSE,FALSE,TRUE
71,TRUE,FALSE,FALSE,FALSE
72,TRUE,FALSE,TRUE,TRUE
73,FALSE,TRUE,FALSE,FALSE
74,TRUE,FALSE,FALSE,FALSE
75,TRUE,FALSE,FALSE,FALSE
76,TRUE,FALSE,FALSE,FALSE
77,FALSE,TRUE,FALSE,FALSE
78,TRUE,FALSE,FALSE,FALSE
79,TRUE,FALSE,FALSE,FALSE
80,FALSE,FALSE,FALSE,TRUE
81,FALSE,FALSE,FALSE,TRUE
82,TRUE,FALSE,FALSE,FALSE
83,TRUE,TRUE,FALSE,FALSE
84,TRUE,FALSE,FALSE,FALSE
85,FALSE,TRUE,FALSE,FALSE
86,FALSE,FALSE,FALSE,TRUE
87,TRUE,FALSE,FALSE,FALSE
88,TRUE,TRUE,FALSE,FALSE
89,TRUE,FALSE,FALSE,FALSE
90,TRUE,FALSE,FALSE,FALSE
91,FALSE,TRUE,FALSE,FALSE
92,FALSE,TRUE,FALSE,TRUE
93,FALSE,FALSE,FALSE,TRUE
94,TRUE,TRUE,FALSE,FALSE
95,FALSE,TRUE,FALSE,FALSE
96,TRUE,FALSE,FALSE,TRUE
97,FALSE,FALSE,FALSE,TRUE
98,FALSE,FALSE,FALSE,TRUE
99,FALSE,TRUE,FALSE,TRUE
100,FALSE,FALSE,FALSE,TRUE
101,FALSE,TRUE,FALSE,FALSE
102,FALSE,TRUE,FALSE,FALSE
103,TRUE,FALSE,FALSE,FALSE
104,FALSE,TRUE,FALSE,FALSE
105,FALSE,TRUE,FALSE,FALSE
106,FALSE,TRUE,TRUE,FALSE
107,TRUE,FALSE,FALSE,FALSE
108,FALSE,FALSE,FALSE,TRUE
109,FALSE,FALSE,TRUE,FALSE
110,FALSE,TRUE,FALSE,FALSE
111,TRUE,FALSE,FALSE,FALSE
112,TRUE,FALSE,FALSE,FALSE
113,TRUE,FALSE,FALSE,FALSE
114,TRUE,FALSE,FALSE,FALSE
115,TRUE,FALSE,FALSE,FALSE
116,TRUE,FALSE,FALSE,FALSE
117,TRUE,FALSE,FALSE,FALSE
118,FALSE,FALSE,FALSE,TRUE
119,TRUE,FALSE,FALSE,FALSE
120,FALSE,FALSE,FALSE,TRUE
121,FALSE,FALSE,FALSE,TRUE
122,TRUE,FALSE,FALSE,FALSE
123,TRUE,FALSE,FALSE,FALSE
124,FALSE,TRUE,FALSE,TRUE
125,FALSE,TRUE,FALSE,TRUE
126,FALSE,FALSE,FALSE,TRUE
127,TRUE,FALSE,FALSE,FALSE
128,FALSE,TRUE,FALSE,FALSE
129,TRUE,FALSE,FALSE,FALSE
130,TRUE,FALSE,FALSE,TRUE
131,FALSE,TRUE,FALSE,FALSE
132,TRUE,FALSE,FALSE,FALSE
133,TRUE,FALSE,FALSE,FALSE
134,TRUE,FALSE,FALSE,FALSE
135,FALSE,FALSE,TRUE,FALSE
136,TRUE,FALSE,FALSE,FALSE
137,TRUE,FALSE,FALSE,TRUE
138,TRUE,FALSE,TRUE,FALSE
139,FALSE,FALSE,FALSE,TRUE
140,TRUE,FALSE,FALSE,FALSE
141,TRUE,FALSE,FALSE,FALSE
142,TRUE,FALSE,FALSE,FALSE
143,FALSE,TRUE,FALSE,FALSE
144,TRUE,FALSE,FALSE,FALSE
145,TRUE,FALSE,FALSE,FALSE
146,FALSE,FALSE,FALSE,TRUE
147,FALSE,TRUE,FALSE,FALSE
148,FALSE,TRUE,TRUE,FALSE
149,FALSE,FALSE,FALSE,TRUE
150,FALSE,FALSE,FALSE,TRUE
151,FALSE,FALSE,FALSE,TRUE
152,TRUE,FALSE,FALSE,TRUE
153,TRUE,FALSE,FALSE,FALSE
154,FALSE,TRUE,FALSE,FALSE
155,TRUE,FALSE,FALSE,FALSE
156,TRUE,FALSE,FALSE,FALSE
157,TRUE,FALSE,FALSE,FALSE
158,FALSE,FALSE,FALSE,TRUE
159,TRUE,FALSE,FALSE,FALSE
160,FALSE,FALSE,FALSE,TRUE
161,TRUE,FALSE,FALSE,TRUE
162,TRUE,FALSE,FALSE,FALSE
163,FALSE,TRUE,TRUE,FALSE
164,TRUE,FALSE,FALSE,FALSE
165,FALSE,TRUE,FALSE,FALSE
166,TRUE,FALSE,FALSE,FALSE
167,TRUE,FALSE,FALSE,TRUE
168,FALSE,TRUE,FALSE,FALSE
169,TRUE,FALSE,FALSE,FALSE
170,FALSE,TRUE,FALSE,FALSE
171,TRUE,FALSE,FALSE,FALSE
172,TRUE,TRUE,FALSE,FALSE
173,FALSE,TRUE,FALSE,FALSE
174,FALSE,FALSE,FALSE,TRUE
175,FALSE,FALSE,FALSE,TRUE
176,FALSE,TRUE,FALSE,FALSE
177,TRUE,FALSE,FALSE,FALSE
178,FALSE,TRUE,FALSE,FALSE
