,Hunger,Potter,Twilight
0,FALSE,TRUE,FALSE
1,FALSE,TRUE,TRUE
2,FALSE,FALSE,FALSE
3,FALSE,TRUE,FALSE
4,FALSE,FALSE,FALSE
5,TRUE,TRUE,FALSE
6,FALSE,TRUE,FALSE
7,FALSE,TRUE,TRUE
8,FALSE,TRUE,FALSE
9,FALSE,TRUE,FALSE
10,FALSE,TRUE,FALSE
11,FALSE,TRUE,FALSE
12,FALSE,FALSE,FALSE
13,FALSE,FALSE,TRUE
14,FALSE,FALSE,FALSE
15,FALSE,TRUE,FALSE
16,FALSE,FALSE,FALSE
17,FALSE,FALSE,FALSE
18,FALSE,FALSE,FALSE
19,TRUE,FALSE,FALSE
20,FALSE,TRUE,FALSE
21,FALSE,TRUE,FALSE
22,FALSE,TRUE,FALSE
23,FALSE,FALSE,FALSE
24,FALSE,FALSE,FALSE
25,FALSE,TRUE,FALSE
26,FALSE,TRUE,FALSE
27,FALSE,FALSE,FALSE
28,FALSE,FALSE,FALSE
29,FALSE,FALSE,FALSE
30,FALSE,TRUE,FALSE
31,FALSE,TRUE,FALSE
32,FALSE,FALSE,FALSE
33,FALSE,FALSE,FALSE
34,FALSE,TRUE,TRUE
35,FALSE,TRUE,FALSE
36,TRUE,TRUE,TRUE
37,FALSE,TRUE,FALSE
38,FALSE,FALSE,TRUE
39,FALSE,TRUE,FALSE
40,FALSE,FALSE,FALSE
41,FALSE,FALSE,FALSE
42,FALSE,TRUE,FALSE
43,FALSE,FALSE,FALSE
44,FALSE,FALSE,FALSE
45,FALSE,FALSE,FALSE
46,FALSE,FALSE,FALSE
47,FALSE,TRUE,FALSE
48,FALSE,FALSE,FALSE
49,FALSE,FALSE,FALSE
50,TRUE,TRUE,FALSE
51,FALSE,TRUE,FALSE
52,FALSE,TRUE,FALSE
53,FALSE,TRUE,FALSE
54,FALSE,FALSE,FALSE
55,FALSE,TRUE,FALSE
56,FALSE,FALSE,FALSE
57,FALSE,TRUE,FALSE
58,FALSE,TRUE,FALSE
59,FALSE,TRUE,FALSE
60,TRUE,FALSE,FALSE
61,FALSE,TRUE,FALSE
62,FALSE,FALSE,FALSE
63,FALSE,FALSE,FALSE
64,FALSE,FALSE,FALSE
65,FALSE,TRUE,FALSE
66,FALSE,FALSE,FALSE
67,FALSE,TRUE,FALSE
68,FALSE,FALSE,FALSE
69,FALSE,TRUE,FALSE
70,FALSE,TRUE,FALSE
71,FALSE,FALSE,FALSE
72,TRUE,TRUE,TRUE
73,FALSE,TRUE,FALSE
74,FALSE,TRUE,FALSE
75,FALSE,FALSE,FALSE
76,FALSE,TRUE,FALSE
77,FALSE,TRUE,FALSE
78,FALSE,TRUE,FALSE
79,FALSE,FALSE,FALSE
80,FALSE,FALSE,FALSE
81,FALSE,TRUE,FALSE
82,FALSE,FALSE,FALSE
83,TRUE,FALSE,FALSE
84,FALSE,TRUE,TRUE
85,TRUE,TRUE,FALSE
86,FALSE,FALSE,TRUE
87,FALSE,TRUE,FALSE
88,FALSE,FALSE,FALSE
89,TRUE,FALSE,FALSE
90,FALSE,FALSE,FALSE
91,FALSE,FALSE,FALSE
92,FALSE,TRUE,TRUE
93,FALSE,TRUE,FALSE
94,FALSE,TRUE,FALSE
95,FALSE,FALSE,FALSE
96,FALSE,FALSE,FALSE
97,FALSE,FALSE,FALSE
98,FALSE,FALSE,FALSE
99,FALSE,FALSE,FALSE
100,FALSE,TRUE,FALSE
101,FALSE,TRUE,FALSE
102,FALSE,TRUE,FALSE
103,FALSE,FALSE,FALSE
