date,open,high,low,close,adjusted_close,volume
2004-01-02,85.0,85.19,83.11,83.3701,37.7488,3099673
2004-01-05,83.5799,85.0,83.3201,84.96,38.4687,3570299
2004-01-06,84.5,84.96,84.4,84.7,38.351,3567788
2004-01-07,84.1199,84.2499,82.7001,83.24,37.6899,5135146
2004-01-08,83.24,83.25,82.38,82.68,37.4363,4173203
2004-01-09,82.35,83.2,82.02,82.4,37.3095,3959478
2004-01-12,82.54,83.31,82.24,83.17,37.6582,3398195
2004-01-13,83.05,83.4499,82.51,82.88,37.5269,2583001
2004-01-14,83.13,83.97,83.1,83.7,37.8982,2497607
2004-01-15,83.7,84.5301,83.1,84.2999,38.1698,3109122
2004-01-16,84.95,85.87,84.81,85.48,38.7042,4348536
2004-01-20,86.2,86.2,80.0999,80.41,36.4085,11645811
2004-01-21,80.9499,82.63,80.0999,81.7499,37.0152,9223791
2004-01-22,81.9801,82.76,81.7499,82.1099,37.1782,4551258
2004-01-23,82.6501,82.68,81.7499,81.96,37.1103,3149786
2004-01-26,81.96,82.6501,81.9,82.4699,37.3412,3499137
2004-01-27,82.67,83.11,82.0,82.1,37.1737,3441251
2004-01-28,82.25,82.64,79.56,80.0,36.2229,5122946
2004-01-29,80.0201,80.25,79.16,79.52,36.0055,5610197
2004-01-30,79.2,79.3501,78.41,79.09,35.8109,4054081
2004-02-02,78.89,79.6,77.57,78.0,35.3173,4735203
2004-02-03,79.1,79.28,77.5999,78.9,35.7248,4488588
2004-02-04,78.9,79.82,78.4499,79.45,35.9739,4136007
2004-02-05,79.1,79.4799,78.69,79.0,35.7701,3116058
2004-02-06,79.0,80.0999,79.0,79.81,36.1369,3251565
2004-02-09,79.8,80.24,79.23,79.39,35.9467,2483853
2004-02-10,79.55,81.4,79.1,81.25,36.7889,4004088
2004-02-11,80.75,81.46,80.74,81.4,36.8568,3399032
2004-02-12,81.4,81.41,80.8701,80.98,36.6666,2462205
2004-02-13,81.05,81.0799,79.68,79.68,36.078,3395803
2004-02-17,80.4,80.72,79.75,80.32,36.3678,3223459
2004-02-18,80.2001,80.32,79.2,79.6601,36.2313,2733219
2004-02-19,79.98,80.26,78.93,79.1,35.9766,2886546
2004-02-20,79.38,80.25,79.15,79.7,36.2495,2867410
2004-02-23,79.75,80.63,79.6,80.44,36.5861,2702721
2004-02-24,80.25,80.71,79.14,79.4799,36.1494,2897071
2004-02-25,79.05,79.7,78.1901,78.57,35.7356,3704610
2004-02-26,78.3199,79.0401,78.0,78.18,35.5582,4212073
2004-02-27,78.25,78.84,77.5999,78.02,35.4854,3524134
2004-03-01,78.47,79.1,78.0899,78.78,35.8311,2828301
2004-03-02,78.95,79.28,78.31,78.31,35.6173,2651293
2004-03-03,78.3199,79.41,78.31,78.95,35.9084,3394128
2004-03-04,79.01,79.3501,78.39,78.89,35.8811,2333755
2004-03-05,78.8,79.5,78.4,78.66,35.7765,3412068
2004-03-08,78.62,78.77,77.56,77.67,35.3262,2842892
2004-03-09,77.67,78.15,77.25,77.85,35.4081,3114623
2004-03-10,77.77,78.11,75.8,76.0001,34.5667,5005858
2004-03-11,75.27,76.9,75.13,75.35,34.271,5259410
2004-03-12,75.35,76.3,75.0,76.22,34.6667,3976102
2004-03-15,76.1,76.1,74.3501,74.87,34.0527,4154426
2004-03-16,77.31,79.34,77.31,78.8099,35.8447,8949548
2004-03-17,79.45,79.78,78.82,79.56,36.1858,4442422
2004-03-18,79.2201,80.25,78.7,79.88,36.3314,4250345
2004-03-19,79.88,80.5899,79.7,79.76,36.2768,4278451
2004-03-22,79.1,79.99,79.02,79.7101,36.2541,4614288
2004-03-23,80.0,80.5,79.5,79.6,36.204,3838921
2004-03-24,79.6,80.1501,79.1199,79.4299,36.1267,3132802
2004-03-25,80.0,81.02,79.21,81.02,36.8499,3839519
2004-03-26,80.6,80.84,79.5,79.98,36.3769,3128377
2004-03-29,80.0,80.89,79.99,80.8,36.7498,3171194
2004-03-30,80.57,81.78,80.39,81.68,37.1501,3588837
2004-03-31,81.9299,81.9801,81.0001,81.87,37.2365,3571734
2004-04-01,81.87,82.0,80.9,81.05,36.8635,3427736
2004-04-02,82.0,82.15,81.2,81.78,37.1955,3455124
2004-04-05,81.9,82.77,81.82,82.75,37.6367,2675811
2004-04-06,82.35,82.89,82.1,82.8301,37.6731,1976988
2004-04-07,82.62,82.99,82.28,82.75,37.6367,3531310
2004-04-08,82.95,83.24,82.09,82.43,37.4912,2799597
2004-04-12,82.63,83.62,82.5999,83.62,38.0324,1809428
2004-04-13,83.52,83.65,82.31,82.39,37.473,2867769
2004-04-14,81.64,82.97,81.6,82.66,37.5958,2226234
2004-04-15,82.66,83.12,82.1,82.85,37.6822,2484929
2004-04-16,83.3,83.83,82.58,83.73,38.0825,2672342
2004-04-19,83.95,85.12,82.76,83.7599,38.0961,6306747
2004-04-20,84.0,84.91,83.18,83.2,37.8414,3258861
2004-04-21,83.2,84.38,82.9,83.95,38.1825,2614336
2004-04-22,83.78,87.18,83.78,86.95,39.547,5728362
