date,open,high,low,close,adjusted_close,volume
2004-01-02,50.8,50.99,50.01,50.35,13.3489,7210200
2004-01-05,50.35,50.59,50.06,50.41,13.3648,9740200
2004-01-06,50.22,50.37,50.12,50.2,13.3091,8223200
2004-01-07,50.2,50.24,49.72,49.88,13.2243,10242800
2004-01-08,49.81,50.16,49.66,50.12,13.2879,9070800
2004-01-09,50.12,50.81,49.58,49.59,13.1474,13127800
2004-01-12,49.5,50.06,49.45,50.01,13.2588,9204400
2004-01-13,49.76,50.2,49.59,49.71,13.1792,8906000
2004-01-14,49.72,49.85,49.6,49.8,13.2031,7565200
2004-01-15,49.4,49.79,49.18,49.73,13.1845,9990200
2004-01-16,49.73,50.03,49.59,49.88,13.2243,8282800
2004-01-20,49.7,50.06,49.65,49.93,13.2376,8777000
2004-01-21,49.82,49.99,49.66,49.78,13.1978,7990200
2004-01-22,49.53,49.7,49.03,49.33,13.0785,11138600
2004-01-23,49.4,50.15,49.35,50.04,13.2667,11214600
2004-01-26,49.9,50.4,49.83,50.19,13.3065,8437000
2004-01-27,50.04,50.58,49.98,49.99,13.2535,8519400
2004-01-28,49.8,50.29,49.14,49.39,13.0944,10017800
2004-01-29,49.25,50.15,49.1,49.59,13.1474,8916600
2004-01-30,49.1,49.4,48.65,49.24,13.0546,12398200
2004-02-02,49.0,49.97,48.92,49.61,13.1527,8595600
2004-02-03,49.46,50.0,49.32,49.83,13.211,7749600
2004-02-04,49.43,49.98,49.39,49.75,13.1898,9109400
2004-02-05,49.6,50.58,49.58,50.38,13.3569,10215800
2004-02-06,50.25,51.0,50.23,50.99,13.5186,10103000
2004-02-09,51.1,52.78,51.1,52.4,13.8924,11581000
2004-02-10,52.35,52.4,51.91,52.17,13.8314,10408000
2004-02-11,51.6,51.94,51.11,51.8,13.7333,11974200
2004-02-12,51.32,51.7,51.29,51.54,13.6644,6958200
2004-02-13,51.98,51.98,51.05,51.14,13.5584,8566200
2004-02-17,51.3,51.38,50.9,51.14,13.5584,7491600
2004-02-18,51.14,51.35,50.91,51.24,13.5849,7385200
2004-02-19,51.15,51.38,50.85,51.0,13.5212,9698800
2004-02-20,50.45,50.97,50.16,50.94,13.5053,14664600
2004-02-23,50.55,51.1,50.25,50.34,13.3463,11319600
2004-02-24,50.22,50.45,49.54,49.78,13.1978,14578400
2004-02-25,49.6,50.04,49.57,49.65,13.1633,10332400
2004-02-26,49.64,49.95,49.47,49.83,13.211,9824000
2004-02-27,49.12,50.34,48.62,49.96,13.2455,14180400
2004-03-01,49.73,49.83,49.3,49.62,13.1554,15142800
2004-03-02,49.4,49.71,49.02,49.28,13.0652,12598600
2004-03-03,49.0,49.31,49.0,49.14,13.0281,11588800
2004-03-04,48.9,49.05,48.55,48.83,12.9459,8508000
2004-03-05,48.75,50.25,48.58,50.1,13.2826,22941800
2004-03-08,49.98,50.2,49.76,49.86,13.219,12211400
2004-03-09,49.75,50.6,49.62,50.18,13.3038,12788400
2004-03-10,50.18,50.47,49.72,49.9,13.2296,11676000
2004-03-11,49.55,49.62,48.1,48.18,12.8379,18371000
2004-03-12,48.34,48.45,47.68,48.45,12.9099,15979600
2004-03-15,48.65,48.76,47.58,47.71,12.7127,16688400
2004-03-16,48.0,48.45,47.85,48.16,12.8326,11500800
2004-03-17,48.38,49.01,48.2,48.88,13.0244,9687000
2004-03-18,48.87,49.5,48.87,49.04,13.0671,9101600
2004-03-19,49.05,49.22,48.62,48.78,12.9978,12974200
2004-03-22,48.35,48.78,47.95,48.25,12.8566,11216800
2004-03-23,48.3,48.49,48.07,48.13,12.8246,8855600
2004-03-24,48.3,48.6,48.15,48.49,12.9205,10076200
2004-03-25,48.65,48.77,48.13,48.76,12.9925,8376600
2004-03-26,48.6,49.16,48.35,48.78,12.9978,8349200
2004-03-29,49.38,49.82,49.18,49.4,13.163,9608200
2004-03-30,49.55,50.36,49.46,50.23,13.3842,14505400
2004-03-31,50.06,50.48,49.83,50.3,13.4028,10403200
2004-04-01,50.48,50.66,50.23,50.58,13.4774,8979400
2004-04-02,51.05,51.06,50.63,50.93,13.5707,9452800
2004-04-05,50.75,50.85,50.49,50.58,13.4774,9491000
2004-04-06,50.2,51.12,50.14,50.87,13.5547,9925800
2004-04-07,50.7,51.25,50.58,51.08,13.6106,11291200
2004-04-08,51.32,51.57,51.0,51.24,13.6533,8024800
2004-04-12,51.05,51.22,50.77,50.85,13.5494,9983600
2004-04-13,50.86,50.99,50.55,50.89,13.56,12863000
2004-04-14,50.8,51.5,50.71,51.19,13.64,8876400
2004-04-15,51.44,51.7,51.02,51.2,13.6426,8750000
2004-04-16,51.45,52.05,51.26,51.93,13.8371,10517000
2004-04-19,52.3,53.5,52.3,53.0,14.1222,17597800
2004-04-20,53.05,53.08,52.21,52.28,13.9304,9239600
2004-04-21,51.6,52.7,51.5,52.13,13.8904,14946400
2004-04-22,50.7,51.6,50.7,51.46,13.7119,18415600
2004-04-23,51.25,51.35,50.75,51.05,13.6026,13696000
2004-04-26,51.05,51.18,50.52,50.69,13.5067,11161600
2004-04-27,50.75,50.79,50.51,50.71,13.5121,11534200
2004-04-28,50.7,50.79,50.15,50.21,13.3788,9501200
2004-04-29,50.14,50.64,49.78,50.46,13.4454,10371400
2004-04-30,50.46,51.23,50.25,50.57,13.4747,10971200
2004-05-03,50.65,50.95,50.28,50.62,13.4881,8053800
2004-05-04,50.52,50.55,49.9,50.27,13.3948,10786000
2004-05-05,50.8,51.22,50.35,51.09,13.6133,11156200
2004-05-06,50.75,51.43,50.75,51.07,13.608,9009600
2004-05-07,50.9,51.58,50.66,50.74,13.52,10231800
2004-05-10,50.5,50.6,49.76,49.93,13.3042,13490400
2004-05-11,49.4,50.1,49.3,50.05,13.3362,10300800
2004-05-12,50.0,50.0,49.27,49.92,13.3015,8902400
2004-05-13,49.67,49.89,49.25,49.61,13.2189,7085000
2004-05-14,49.36,50.04,49.29,50.0,13.3229,8548800
2004-05-17,49.63,50.12,49.51,49.81,13.2722,7597800
2004-05-18,49.7,50.48,49.53,50.1,13.3495,9899400
2004-05-19,50.03,50.16,49.31,49.36,13.1523,9078400
2004-05-20,49.18,49.95,49.17,49.63,13.2243,7053400
2004-05-21,50.27,50.27,49.3,49.38,13.1577,9992000
2004-05-24,49.6,49.91,49.4,49.83,13.2776,9990000
2004-05-25,49.7,50.52,49.53,50.39,13.4268,11520800
2004-05-26,50.42,50.71,49.96,50.22,13.3815,7401600
2004-05-27,50.9,51.41,50.83,51.32,13.6746,11214800
2004-05-28,51.38,51.5,51.19,51.35,13.6826,7948400
2004-06-01,51.2,51.55,50.72,51.07,13.608,6464000
2004-06-02,51.6,52.01,51.49,51.94,13.8398,11810600
2004-06-03,51.95,52.17,51.7,51.77,13.7945,8386800
2004-06-04,52.02,52.49,51.8,52.27,13.9277,7293600
2004-06-07,52.27,52.75,52.11,52.71,14.045,7378000
2004-06-08,52.4,52.65,52.27,52.61,14.0183,8212000
2004-06-09,51.9,52.0,51.42,51.76,13.7918,13833400
2004-06-10,52.0,52.0,51.23,51.63,13.7572,9386000
2004-06-14,51.23,51.49,51.0,51.38,13.7575,7353400
2004-06-15,51.85,51.85,50.95,51.23,13.7174,9286200
2004-06-16,51.09,51.23,50.75,51.19,13.7066,7924400
2004-06-17,51.19,51.22,50.96,51.09,13.6799,6106800
2004-06-18,50.85,51.47,50.69,51.39,13.7602,10107400
2004-06-21,51.3,51.68,51.15,51.17,13.7013,5516800
2004-06-22,50.98,51.28,50.8,51.02,13.6611,7195000
2004-06-23,51.06,51.38,50.7,51.3,13.7361,6094000
2004-06-24,51.15,51.39,50.95,51.04,13.6665,6205600
2004-06-25,51.12,51.34,50.1,50.1,13.4148,10580800
2004-06-28,50.35,50.76,50.26,50.39,13.4924,7731600
2004-06-29,50.4,50.85,50.4,50.54,13.5326,6743400
2004-06-30,50.45,50.64,50.24,50.48,13.5165,8854000
2004-07-01,50.51,50.88,50.2,50.36,13.4844,9761200
2004-07-02,50.6,51.14,50.46,50.53,13.5299,6780200
2004-07-06,50.46,51.05,50.42,50.66,13.5647,5764600
2004-07-07,50.51,50.7,50.18,50.42,13.5005,6745000
2004-07-08,50.53,51.13,50.41,50.56,13.538,8869200
2004-07-09,50.57,51.02,50.35,51.02,13.6611,6813400
2004-07-12,51.02,51.39,50.53,50.83,13.6102,6718600
2004-07-13,50.42,50.8,50.39,50.66,13.5647,5210600
2004-07-14,50.51,51.35,50.5,51.16,13.6986,8310000
2004-07-15,51.35,51.36,50.77,50.84,13.6129,8425000
2004-07-16,51.25,51.25,50.31,50.58,13.5433,7449600
2004-07-19,50.65,50.69,50.05,50.34,13.479,9049600
2004-07-20,50.09,50.33,49.82,50.08,13.4094,8366800
2004-07-21,49.95,50.34,49.2,49.2,13.1738,9999800
2004-07-22,49.05,49.23,48.55,48.97,13.1122,8141800
2004-07-23,46.86,46.86,44.11,45.17,12.0947,50347800
2004-07-26,45.35,45.47,44.12,44.3,11.8618,21925000
2004-07-27,44.35,44.56,43.45,43.75,11.7145,27922000
2004-07-28,43.75,44.16,43.54,43.68,11.6958,25208600
2004-07-29,43.68,43.68,42.8,43.06,11.5298,26268800
2004-07-30,43.07,43.98,43.06,43.86,11.744,17788200
2004-08-02,43.79,44.6,43.67,44.21,11.8377,15973400
2004-08-03,44.29,44.37,43.9,44.11,11.8109,12271600
2004-08-04,43.86,44.52,43.82,44.2,11.835,10292400
2004-08-05,44.2,44.48,43.75,43.85,11.7413,15254600
2004-08-06,43.74,43.89,43.23,43.5,11.6476,17143200
2004-08-09,43.5,43.66,43.15,43.22,11.5726,9179800
2004-08-10,43.25,43.47,43.06,43.46,11.6369,10483200
2004-08-11,43.46,44.62,43.25,44.45,11.9019,13898400
