,open_orig,high_orig,low_orig,close_orig,volume_orig,ask_orig,bid_orig,open,high,low,close,volume,ask,bid,signal,signal_smooth,signal_norm,signal_smooth_norm,trade_action,Position,Cash,NetValue,Action,TradedAmount,StrategyEarning,BuyHoldEarning,EarningDiff
2025-03-12 13:30:00,221.03,222.45,221.03,222.01,18511,222.0766,221.9434,220.948,221.1171,220.8858,221.0323,5714.0,221.0986,220.966,5.41114777014084e-08,5.41114777014084e-08,1.596208781752472e-08,1.9605749933480977e-08,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-03-12 13:31:00,222.0,222.01,221.11,221.71,5253,221.7765,221.6435,221.0257,221.1859,220.9144,221.0958,5922.0,221.1622,221.0295,1.1870251509237047e-07,8.640699639688944e-08,3.5015491177690665e-08,3.130710961560957e-08,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-03-12 13:32:00,221.53,221.71,220.85,221.1,20558,221.1663,221.0337,221.0798,221.2441,220.9286,221.1194,6964.0,221.1857,221.053,2.788066627085811e-07,1.5054021850078665e-07,8.224385330636671e-08,5.4543952673855546e-08,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-03-12 13:33:00,221.11,221.47,220.97,221.38,22469,221.4464,221.3136,221.1021,221.2776,220.9455,221.1476,8128.0,221.214,221.0813,6.470926887732838e-07,2.746783360689109e-07,1.908827990481677e-07,9.952185742973248e-08,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-03-12 13:34:00,221.37,221.4699,220.97,221.29,17861,221.3564,221.2236,221.1298,221.3112,220.9555,221.1712,9055.0,221.2375,221.1048,1.512011630988042e-06,5.221449950527371e-07,4.460211300849715e-07,1.8918434012302306e-07,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-03-12 13:35:00,221.24,221.25,220.85,221.19,23016,221.2564,221.1236,221.1504,221.3323,220.9603,221.1912,10221.0,221.2575,221.1248,3.553072128468445e-06,1.2219371252061445e-06,1.0481038727045637e-06,4.4273405068375646e-07,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-03-12 13:36:00,221.13,221.58,220.85,221.29,21908,221.3564,221.2236,221.1669,221.3694,220.9631,221.2129,11108.0,221.2793,221.1466,8.296478037323982e-06,2.8574922296524668e-06,2.447338654077889e-06,1.0353307740101338e-06,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-03-12 13:37:00,221.28,221.3,221.15,221.27,11271,221.3364,221.2036,221.1893,221.3894,220.9778,221.2318,11451.0,221.2981,221.1654,1.9457741701385558e-05,6.693279237387863e-06,5.739746814568054e-06,2.4251187462908846e-06,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-03-12 13:38:00,221.23,221.32,221.01,221.1081,15323,221.1744,221.0418,221.2057,221.4082,220.9831,221.2393,12131.0,221.3057,221.1729,4.693274849416701e-05,1.595041039846661e-05,1.3844468582350252e-05,5.779176080430559e-06,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-03-12 13:39:00,221.08,221.21,221.01,221.02,14131,221.0863,220.9537,221.211,221.4182,220.9867,221.2405,12138.0,221.3069,221.1741,0.00011507168724570175,3.8662345521409346e-05,3.394445051495652e-05,1.4008197712088367e-05,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-03-12 13:40:00,221.03,221.18,220.9,221.002,10401,221.0683,220.9357,221.2128,221.4171,220.9837,221.2377,12289.0,221.304,221.1713,0.00028512112021906777,9.497595513952921e-05,8.41065251383687e-05,3.4411827310172524e-05,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-03-12 13:41:00,221.07,221.3,220.98,221.27,9919,221.3364,221.2036,221.2082,221.4206,220.9794,221.2435,12700.0,221.3099,221.1772,0.000690634226640566,0.00023144350486017763,0.00020372691051344282,8.38569499997027e-05,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-03-12 13:42:00,221.27,221.42,221.22,221.39,8917,221.4564,221.3236,221.2129,221.4265,220.99,221.2559,12748.0,221.3223,221.1895,0.001642680488828278,0.0005560880542855561,0.0004845665158785517,0.00020148263910809517,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-03-12 13:43:00,221.36,221.4,221.1,221.25,7879,221.3164,221.1836,221.2271,221.4423,220.9959,221.2706,13140.0,221.337,221.2042,0.003877039791846638,0.0013221094629560501,0.0011436695551170109,0.00047902863895972454,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-03-12 13:44:00,221.25,221.47,220.97,221.4,10346,221.4664,221.3336,221.2418,221.46,220.9947,221.2841,13682.0,221.3505,221.2177,0.009167108881067013,0.0031325169017203127,0.002704161911819198,0.0011349781164067627,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-03-12 13:45:00,221.4681,221.47,221.13,221.29,7111,221.3564,221.2236,221.2646,221.4771,221.0029,221.2953,13825.0,221.3617,221.2289,0.021794747781501575,0.007434442233976814,0.006429129139086058,0.0026936580098322715,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-03-12 13:46:00,221.2,221.45,221.2,221.39,1446,221.4564,221.3236,221.2734,221.4976,221.0176,221.3153,13313.0,221.3817,221.2489,0.05030045168582888,0.017356405725814476,0.014837891352751993,0.00628859836876159,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-03-12 13:47:00,221.4463,221.45,221.26,221.39,1563,221.4564,221.3236,221.2979,221.4388,221.0312,221.2788,12316.0,221.3452,221.2124,0.13855894003960373,0.044739657635969564,0.04087284366949993,0.016210138347368428,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-03-12 13:48:00,221.4329,221.5,221.35,221.43,7136,221.4964,221.3636,221.2645,221.4088,221.0453,221.2624,12427.0,221.3287,221.196,0.3571999999999946,0.11540424967759914,0.10536873156342101,0.04181343693707927,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-03-12 13:49:00,221.35,221.5,221.26,221.49,4843,221.5564,221.4236,221.254,221.3965,221.0694,221.2853,11502.0,221.3517,221.2189,0.33430000000000176,0.18043082790138612,0.09861356932153517,0.06537396209443096,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-03-12 13:50:00,221.4999,221.7,221.4,221.6,8471,221.6665,221.5335,221.2769,221.41,221.0947,221.2982,10679.0,221.3646,221.2319,0.32139999999999985,0.24035187834508576,0.09480825958702131,0.08708464494129944,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-03-12 13:51:00,221.57,221.64,221.49,221.5999,4781,221.6664,221.5334,221.2887,221.42,221.1253,221.3165,9910.0,221.3829,221.2501,0.30310000000001763,0.2909117880079235,0.08941002949853094,0.10540358553610019,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-03-12 13:52:00,221.5984,221.6,221.44,221.57,3680,221.6365,221.5035,221.3097,221.4406,221.16,221.3388,8772.0,221.4052,221.2724,0.2808000000000163,0.31936000000000603,0.08283185840708507,0.11571098341292638,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-03-12 13:53:00,221.57,221.6,221.46,221.55,4229,221.6165,221.4835,221.3356,221.4418,221.1959,221.3541,7732.0,221.4205,221.2877,0.26550000000002,0.3010200000000111,0.07831858407080294,0.10906600772469854,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-03-12 13:54:00,221.55,221.64,221.5,221.64,3087,221.7065,221.5735,221.3515,221.4618,221.2165,221.3759,7251.0,221.4423,221.3095,0.24370000000000686,0.28290000000001214,0.07188790560472232,0.10250074275901071,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-03-12 13:55:00,221.6,221.6,221.54,221.55,3036,221.6165,221.4835,221.3733,221.4782,221.2476,221.4019,6528.0,221.4683,221.3355,0.2176999999999964,0.26216000000001144,0.06421828908554514,0.09498619555214657,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-03-12 13:56:00,221.56,221.64,221.56,221.64,3147,221.7065,221.5735,221.4015,221.5035,221.28,221.4383,5882.0,221.5048,221.3719,0.18130000000001018,0.23780000000000995,0.053480825958705465,0.0861600446380089,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-03-12 13:57:00,221.67,221.86,221.55,221.62,6131,221.6865,221.5535,221.4392,221.5435,221.3182,221.4747,5631.0,221.5411,221.4083,0.14489999999999553,0.2106200000000058,0.04274336283185741,0.07631214718947509,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-03-12 13:58:00,221.8481,221.8481,221.55,221.68,4317,221.7465,221.6135,221.4849,221.5758,221.3518,221.4988,5301.0,221.5653,221.4324,0.12080000000001972,0.18168000000000575,0.03563421828909163,0.06582656396061101,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-03-12 13:59:00,221.68,221.75,221.6,221.72,5058,221.7865,221.6535,221.509,221.5952,221.3741,221.5182,5074.0,221.5847,221.4518,0.10140000000000099,0.15322000000000455,0.029911504424779276,0.055514895035473355,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-03-12 14:00:00,221.7583,222.01,221.68,221.8,12376,221.8665,221.7335,221.5325,221.6311,221.4082,221.5506,5339.0,221.617,221.4841,0.06900000000000545,0.12348000000000639,0.020353982300886714,0.0447394546337319,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-03-12 14:01:00,221.88,222.0,221.6,222.0,8895,222.0666,221.9334,221.5695,221.6622,221.4453,221.5859,5253.0,221.6524,221.5194,0.0336999999999989,0.09396000000000412,0.009941002949852257,0.03404372495453042,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-03-12 14:02:00,221.97,222.01,221.84,221.9601,12217,222.0267,221.8935,221.5991,221.694,221.4871,221.6253,5554.0,221.6918,221.5588,0.0,0.064980000000005,0.0,0.023543648867022773,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-03-12 14:03:00,221.99,222.14,221.92,222.02,11633,222.0866,221.9534,221.6455,221.7346,221.5294,221.6624,6153.0,221.7289,221.5959,0.0,0.040820000000001064,0.0,0.014789962246103735,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
