TimeStamp,bb_feature,close,ask,bid,Position,Cash,NetValue,Action
2025-05-20 15:30:00,0.0601,133.98,133.99,133.97,1,-133.99,-0.02,Buy
2025-05-20 15:33:00,0.0,134.22,134.23,134.21,1,-133.99,0.22,Hold
2025-05-20 15:36:00,0.0,134.0,134.01,134.0,1,-133.99,0.01,Hold
2025-05-20 15:39:00,0.01,133.74,133.75,133.74,2,-267.74,-0.26,Buy
2025-05-20 15:42:00,0.0,133.77,133.78,133.76,2,-267.74,-0.22,Hold
2025-05-20 15:45:00,0.0864,133.16,133.17,133.16,3,-400.91,-1.43,Buy
2025-05-20 15:48:00,0.0,132.9,132.9,132.89,3,-400.91,-2.24,Hold
2025-05-20 15:51:00,0.0,133.51,133.52,133.51,3,-400.91,-0.38,Hold
2025-05-20 15:54:00,0.0,133.27,133.28,133.27,3,-400.91,-1.1,Hold
2025-05-20 15:57:00,0.0,133.14,133.15,133.14,3,-400.91,-1.49,Hold
2025-05-20 16:00:00,0.0,132.91,132.92,132.91,3,-400.91,-2.18,Hold
2025-05-20 16:03:00,0.0,133.15,133.15,133.13,3,-400.91,-1.52,Hold
2025-05-20 16:06:00,0.0,132.79,132.8,132.79,3,-400.91,-2.54,Hold
2025-05-20 16:09:00,0.0,132.81,132.82,132.81,3,-400.91,-2.48,Hold
2025-05-20 16:12:00,0.0,132.99,132.99,132.98,3,-400.91,-1.97,Hold
2025-05-20 16:15:00,0.0,133.29,133.3,133.29,3,-400.91,-1.04,Hold
2025-05-20 16:18:00,0.0,133.33,133.34,133.33,3,-400.91,-0.92,Hold
2025-05-20 16:21:00,0.0,133.2,133.21,133.2,3,-400.91,-1.31,Hold
2025-05-20 16:24:00,0.0,133.27,133.27,133.26,3,-400.91,-1.13,Hold
2025-05-20 16:27:00,0.068,132.89,132.9,132.89,4,-533.81,-2.25,Buy
2025-05-20 16:30:00,0.0,132.95,132.95,132.94,4,-533.81,-2.05,Hold
2025-05-20 16:33:00,0.0,133.21,133.23,133.21,4,-533.81,-0.97,Hold
2025-05-20 16:36:00,-0.0127,133.53,133.54,133.53,3,-400.28,0.31,Sell
2025-05-20 16:39:00,0.0,133.5,133.51,133.5,3,-400.28,0.22,Hold
2025-05-20 16:42:00,0.0,133.72,133.73,133.72,3,-400.28,0.88,Hold
2025-05-20 16:45:00,0.0,133.7,133.71,133.7,3,-400.28,0.82,Hold
2025-05-20 16:48:00,0.0,133.7,133.7,133.69,3,-400.28,0.79,Hold
2025-05-20 16:51:00,0.0,133.82,133.83,133.82,3,-400.28,1.18,Hold
2025-05-20 16:54:00,0.0,133.75,133.75,133.74,3,-400.28,0.94,Hold
2025-05-20 16:57:00,0.0153,133.57,133.58,133.57,4,-533.86,0.42,Buy
2025-05-20 17:00:00,0.0,133.67,133.68,133.67,4,-533.86,0.82,Hold
2025-05-20 17:03:00,0.0,133.48,133.48,133.47,4,-533.86,0.02,Hold
2025-05-20 17:06:00,0.0,133.49,133.49,133.48,4,-533.86,0.06,Hold
2025-05-20 17:09:00,0.0,133.48,133.49,133.48,4,-533.86,0.06,Hold
2025-05-20 17:12:00,0.0,133.35,133.36,133.35,4,-533.86,-0.46,Hold
2025-05-20 17:15:00,-0.0045,133.61,133.62,133.61,3,-400.25,0.58,Sell
2025-05-20 17:18:00,0.0,133.49,133.5,133.49,3,-400.25,0.22,Hold
2025-05-20 17:21:00,0.0,133.51,133.51,133.5,3,-400.25,0.25,Hold
