,open,high,low,close,volume,ask,bid,open_orig,high_orig,low_orig,close_orig,volume_orig,ask_orig,bid_orig,signal,signal_smooth,signal_norm,signal_smooth_norm,trade_action,Position,Cash,NetValue,Action,TradedAmount,StrategyEarning,BuyHoldEarning,EarningDiff
2025-05-02 13:30:00,206.118,206.3697,206.066,206.2704,12094.0,206.3323,206.2085,206.3,207.0,206.25,206.7621,29343,206.8241,206.7001,4.797770111594721e-05,4.797770111594721e-05,1.1659222628419743e-05,1.4648868415776871e-05,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-05-02 13:31:00,206.292,206.5737,206.071,206.3704,21190.0,206.4323,206.3085,206.77,207.02,205.905,206.48,53224,206.5419,206.4181,9.391286078206746e-05,6.328942100465396e-05,2.282208038446355e-05,1.933963577751012e-05,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-05-02 13:32:00,206.364,206.674,206.121,206.4288,24503.0,206.4907,206.3669,206.31,206.74,206.15,206.3918,24160,206.4537,206.3299,0.00019058539715710102,0.00010572141305546966,4.6314798823110847e-05,3.233873743637034e-05,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-05-02 13:33:00,206.398,206.802,206.129,206.5368,31221.0,206.5987,206.4748,206.4,206.9,206.14,206.75,45735,206.812,206.688,0.00036271457349232653,0.00019138579986775528,8.81444893055472e-05,5.858214527315653e-05,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-05-02 13:34:00,206.476,206.9,206.139,206.6366,34945.0,206.6985,206.5746,206.6,206.84,206.25,206.7989,22263,206.8609,206.7369,0.0006857742089188674,0.00035618193621812604,0.00016665229864371028,0.0001090676781427989,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-05-02 13:35:00,206.57,206.868,206.211,206.634,32853.0,206.6959,206.572,206.77,206.84,206.61,206.7491,18884,206.8111,206.6871,0.0014866038526455227,0.0007329892416939249,0.0003612646057461783,0.00022450313693095039,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-05-02 13:36:00,206.566,206.8513,206.358,206.694,25163.0,206.7559,206.632,206.75,206.9363,206.64,206.78,14775,206.842,206.718,0.002936998433546325,0.0014676589723113915,0.0007137298744948545,0.00044957026322912084,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-05-02 13:37:00,206.654,206.8913,206.468,206.7816,23754.0,206.8436,206.7196,206.75,206.94,206.7,206.83,17114,206.892,206.768,0.00548012516923242,0.002805147704618401,0.0013317436620248902,0.0008593118557995945,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-05-02 13:38:00,206.744,206.8913,206.57,206.7796,18443.0,206.8416,206.7176,206.85,206.9,206.65,206.74,19179,206.802,206.678,0.011878348879902486,0.005829548096379762,0.002886597540681043,0.0017858412561284872,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-05-02 13:39:00,206.768,206.8744,206.598,206.7527,23424.0,206.8147,206.6907,206.72,206.7559,206.39,206.6645,47167,206.7265,206.6025,0.02689076106535576,0.01284995241937176,0.006534814353670906,0.003936552195449575,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-05-02 13:40:00,206.732,206.8424,206.552,206.6929,23417.0,206.7549,206.6309,206.59,206.68,206.38,206.45,18852,206.5119,206.3881,0.06401358113081505,0.02990449532318619,0.015556155803357253,0.00916123588898395,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
