,open,high,low,close,volume,ask,bid,open_orig,high_orig,low_orig,close_orig,volume_orig,ask_orig,bid_orig,signal_raw,signal_norm,signal_scaled,signal_smooth,trade_action,Position,Cash,NetValue,Action,TradedAmount,StrategyEarning,BuyHoldEarning,EarningDiff
2024-12-31 13:00:00,192.1131,192.1685,192.0473,192.1082,736.0,192.1658,192.0505,191.2265,192.72,190.1712,191.8442,14335.0,191.9018,191.7866,0.0,0.0,0.0,0.0,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2024-12-31 13:01:00,192.1104,192.1741,192.0059,192.1021,727.0,192.1597,192.0444,192.25,192.59,190.6,192.06,1379.0,192.1176,192.0024,0.0,0.0,0.0,0.0,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2024-12-31 13:02:00,192.0969,192.1687,191.9808,192.089,760.0,192.1466,192.0314,191.7474,192.0756,191.24,191.755,1466.0,191.8125,191.6975,0.0,0.0,0.0,0.0,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2024-12-31 13:03:00,192.0886,192.1587,191.9639,192.0727,756.0,192.1303,192.015,191.93,191.93,191.58,191.67,565.0,191.7275,191.6125,0.0,0.0,0.0,0.0,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2024-12-31 13:04:00,192.083,192.1531,191.9481,192.0576,762.0,192.1153,192.0,192.06,192.06,191.62,191.6743,293.0,191.7318,191.6168,0.0,0.0,0.0,0.0,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2024-12-31 13:05:00,192.0686,192.1414,191.9232,192.0433,765.0,192.1009,191.9856,191.69,191.8,191.24,191.67,133.0,191.7275,191.6125,0.0,0.0,0.0,0.0,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2024-12-31 13:06:00,192.0564,192.136,191.9081,192.0289,775.0,192.0865,191.9713,191.78,192.06,191.62,191.65,557.0,191.7075,191.5925,0.0,0.0,0.0,0.0,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2024-12-31 13:07:00,192.0425,192.1316,191.8966,192.0203,769.0,192.0779,191.9627,191.67,192.06,191.67,191.85,134.0,191.9076,191.7924,0.0,0.0,0.0,0.0,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2024-12-31 13:08:00,192.0303,192.1223,191.8844,192.0113,729.0,192.0689,191.9537,191.7001,191.898,191.7001,191.898,52.0,191.9556,191.8404,0.0,0.0,0.0,0.0,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2024-12-31 13:09:00,192.0179,192.113,191.8698,191.9976,734.0,192.0552,191.94,191.79,191.95,191.7,191.77,275.0,191.8275,191.7125,0.0,0.0,0.0,0.0,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2024-12-31 13:10:00,192.003,192.1016,191.8552,191.9861,734.0,192.0437,191.9285,191.72,191.86,191.72,191.85,29.0,191.9076,191.7924,0.0,0.0,0.0,0.0,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2024-12-31 13:11:00,191.9906,192.095,191.842,191.9764,740.0,192.034,191.9188,191.81,192.06,191.78,191.92,214.0,191.9776,191.8624,0.0,0.0,0.0,0.0,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2024-12-31 13:12:00,191.9794,192.0857,191.8295,191.9674,745.0,192.0249,191.9098,191.88,191.9611,191.7368,191.9,452.0,191.9576,191.8424,0.0,0.0,0.0,0.0,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
