TimeStamp,adx_feature,close,Ask,Bid,Volume,Position,Cash,NetValue,Action
2025-05-20 15:30:00,-0.049,59.47,59.48,59.47,1299.0,0,0.0,0.0,Hold
2025-05-20 15:31:00,-0.606,59.44,59.44,59.43,2565.0,0,0.0,0.0,Hold
2025-05-20 15:32:00,-0.878,59.41,59.41,59.4,1415.0,0,0.0,0.0,Hold
2025-05-20 15:33:00,-0.762,59.44,59.45,59.44,785.0,0,0.0,0.0,Hold
2025-05-20 15:34:00,-0.413,59.46,59.47,59.46,1401.0,0,0.0,0.0,Hold
2025-05-20 15:35:00,-1.318,59.37,59.38,59.37,2324.0,0,0.0,0.0,Hold
2025-05-20 15:36:00,-2.996,59.3,59.3,59.29,2227.0,0,0.0,0.0,Hold
2025-05-20 15:37:00,-3.644,59.33,59.33,59.32,1016.0,0,0.0,0.0,Hold
2025-05-20 15:38:00,-2.728,59.37,59.37,59.36,1729.0,0,0.0,0.0,Hold
2025-05-20 15:39:00,-2.06,59.42,59.43,59.42,1704.0,0,0.0,0.0,Hold
2025-05-20 15:40:00,-2.199,59.35,59.35,59.34,1141.0,0,0.0,0.0,Hold
2025-05-20 15:41:00,-2.651,59.33,59.33,59.32,1191.0,0,0.0,0.0,Hold
2025-05-20 15:42:00,-4.81,59.26,59.26,59.25,2372.0,0,0.0,0.0,Hold
2025-05-20 15:43:00,-5.021,59.33,59.33,59.32,1921.0,0,0.0,0.0,Hold
2025-05-20 15:44:00,-5.424,59.25,59.26,59.25,3617.0,0,0.0,0.0,Hold
2025-05-20 15:45:00,-5.955,59.27,59.27,59.26,1426.0,0,0.0,0.0,Hold
2025-05-20 15:46:00,-5.786,59.26,59.26,59.25,1670.0,0,0.0,0.0,Hold
2025-05-20 15:47:00,-6.628,59.21,59.22,59.21,1533.0,0,0.0,0.0,Hold
2025-05-20 15:48:00,-5.052,59.3,59.31,59.3,1374.0,0,0.0,0.0,Hold
2025-05-20 15:49:00,-5.014,59.27,59.27,59.26,888.0,0,0.0,0.0,Hold
2025-05-20 15:50:00,-6.819,59.25,59.25,59.24,922.0,0,0.0,0.0,Hold
2025-05-20 15:51:00,-6.894,59.27,59.28,59.27,1176.0,0,0.0,0.0,Hold
2025-05-20 15:52:00,-2.342,59.36,59.36,59.35,999.0,0,0.0,0.0,Hold
2025-05-20 15:53:00,-0.484,59.42,59.42,59.41,1196.0,0,0.0,0.0,Hold
2025-05-20 15:54:00,0.737,59.46,59.46,59.45,1295.0,1,-59.46,-0.01,Buy
2025-05-20 15:55:00,0.936,59.44,59.45,59.44,1370.0,1,-59.46,-0.02,Hold
2025-05-20 15:56:00,0.588,59.43,59.44,59.43,1204.0,1,-59.46,-0.03,Hold
2025-05-20 15:57:00,0.284,59.42,59.43,59.42,595.0,1,-59.46,-0.04,Hold
2025-05-20 15:58:00,-0.836,59.35,59.36,59.35,1315.0,0,-0.11,-0.11,Sell
2025-05-20 15:59:00,-0.974,59.38,59.39,59.38,664.0,0,-0.11,-0.11,Hold
2025-05-20 16:00:00,-0.898,59.36,59.36,59.35,327.0,0,-0.11,-0.11,Hold
2025-05-20 16:01:00,-1.635,59.31,59.31,59.3,643.0,0,-0.11,-0.11,Hold
2025-05-20 16:02:00,-1.986,59.29,59.3,59.29,428.0,0,-0.11,-0.11,Hold
2025-05-20 16:03:00,-1.249,59.36,59.36,59.35,945.0,0,-0.11,-0.11,Hold
2025-05-20 16:04:00,-0.783,59.37,59.38,59.37,744.0,0,-0.11,-0.11,Hold
2025-05-20 16:05:00,0.783,59.47,59.47,59.46,751.0,1,-59.58,-0.12,Buy
2025-05-20 16:06:00,0.875,59.45,59.45,59.44,770.0,1,-59.58,-0.14,Hold
2025-05-20 16:07:00,-0.215,59.41,59.42,59.41,1013.0,0,-0.17,-0.17,Sell
2025-05-20 16:08:00,0.174,59.47,59.47,59.46,930.0,1,-59.64,-0.18,Buy
2025-05-20 16:09:00,0.362,59.44,59.44,59.43,846.0,1,-59.64,-0.21,Hold
