TimeStamp,obv_feature,close,Ask,Bid,Volume,Position,Cash,NetValue,Action
2025-05-20 15:30:00,2753.975,59.47,59.48,59.47,1299.0,1,-59.48,-0.01,Buy
2025-05-20 15:31:00,163.875,59.44,59.44,59.43,2565.0,1,-59.48,-0.05,Hold
2025-05-20 15:32:00,-1264.417,59.41,59.41,59.4,1415.0,0,-0.08,-0.08,Sell
2025-05-20 15:33:00,-499.225,59.44,59.45,59.44,785.0,0,-0.08,-0.08,Hold
2025-05-20 15:34:00,870.492,59.46,59.47,59.46,1401.0,1,-59.55,-0.09,Buy
2025-05-20 15:35:00,-1469.042,59.37,59.38,59.37,2324.0,0,-0.18,-0.18,Sell
2025-05-20 15:36:00,-3692.208,59.3,59.3,59.29,2227.0,0,-0.18,-0.18,Hold
2025-05-20 15:37:00,-2680.475,59.33,59.33,59.32,1016.0,0,-0.18,-0.18,Hold
2025-05-20 15:38:00,-969.917,59.37,59.37,59.36,1729.0,0,-0.18,-0.18,Hold
2025-05-20 15:39:00,701.475,59.42,59.43,59.42,1704.0,1,-59.61,-0.19,Buy
2025-05-20 15:40:00,-462.992,59.35,59.35,59.34,1141.0,0,-0.27,-0.27,Sell
2025-05-20 15:41:00,-1667.492,59.33,59.33,59.32,1191.0,0,-0.27,-0.27,Hold
2025-05-20 15:42:00,-4032.8,59.26,59.26,59.25,2372.0,0,-0.27,-0.27,Hold
2025-05-20 15:43:00,-2121.392,59.33,59.33,59.32,1921.0,0,-0.27,-0.27,Hold
2025-05-20 15:44:00,-5717.817,59.25,59.26,59.25,3617.0,0,-0.27,-0.27,Hold
2025-05-20 15:45:00,-4283.25,59.27,59.27,59.26,1426.0,0,-0.27,-0.27,Hold
2025-05-20 15:46:00,-5931.658,59.26,59.26,59.25,1670.0,0,-0.27,-0.27,Hold
2025-05-20 15:47:00,-7430.958,59.21,59.22,59.21,1533.0,0,-0.27,-0.27,Hold
2025-05-20 15:48:00,-6034.717,59.3,59.31,59.3,1374.0,0,-0.27,-0.27,Hold
2025-05-20 15:49:00,-6893.067,59.27,59.27,59.26,888.0,0,-0.27,-0.27,Hold
2025-05-20 15:50:00,-7778.017,59.25,59.25,59.24,922.0,0,-0.27,-0.27,Hold
2025-05-20 15:51:00,-6575.592,59.27,59.28,59.27,1176.0,0,-0.27,-0.27,Hold
2025-05-20 15:52:00,-5558.492,59.36,59.36,59.35,999.0,0,-0.27,-0.27,Hold
2025-05-20 15:53:00,-4354.342,59.42,59.42,59.41,1196.0,0,-0.27,-0.27,Hold
2025-05-20 15:54:00,-3061.983,59.46,59.46,59.45,1295.0,0,-0.27,-0.27,Hold
2025-05-20 15:55:00,-4422.908,59.44,59.45,59.44,1370.0,0,-0.27,-0.27,Hold
2025-05-20 15:56:00,-5607.717,59.43,59.44,59.43,1204.0,0,-0.27,-0.27,Hold
2025-05-20 15:57:00,-6177.942,59.42,59.43,59.42,595.0,0,-0.27,-0.27,Hold
2025-05-20 15:58:00,-7457.158,59.35,59.36,59.35,1315.0,0,-0.27,-0.27,Hold
2025-05-20 15:59:00,-6762.942,59.38,59.39,59.38,664.0,0,-0.27,-0.27,Hold
2025-05-20 16:00:00,-7024.525,59.36,59.36,59.35,327.0,0,-0.27,-0.27,Hold
2025-05-20 16:01:00,-7597.925,59.31,59.31,59.3,643.0,0,-0.27,-0.27,Hold
2025-05-20 16:02:00,-7953.042,59.29,59.3,59.29,428.0,0,-0.27,-0.27,Hold
2025-05-20 16:03:00,-6943.017,59.36,59.36,59.35,945.0,0,-0.27,-0.27,Hold
2025-05-20 16:04:00,-6140.358,59.37,59.38,59.37,744.0,0,-0.27,-0.27,Hold
2025-05-20 16:05:00,-5336.383,59.47,59.47,59.46,751.0,0,-0.27,-0.27,Hold
2025-05-20 16:06:00,-6046.983,59.45,59.45,59.44,770.0,0,-0.27,-0.27,Hold
2025-05-20 16:07:00,-6992.158,59.41,59.42,59.41,1013.0,0,-0.27,-0.27,Hold
2025-05-20 16:08:00,-6002.083,59.47,59.47,59.46,930.0,0,-0.27,-0.27,Hold
2025-05-20 16:09:00,-6781.008,59.44,59.44,59.43,846.0,0,-0.27,-0.27,Hold
2025-05-20 16:10:00,-5529.942,59.47,59.47,59.46,1194.0,0,-0.27,-0.27,Hold
2025-05-20 16:11:00,-6419.392,59.46,59.46,59.45,955.0,0,-0.27,-0.27,Hold
2025-05-20 16:12:00,-5236.258,59.46,59.46,59.45,1127.0,0,-0.27,-0.27,Hold
2025-05-20 16:13:00,-4825.083,59.47,59.47,59.46,358.0,0,-0.27,-0.27,Hold
2025-05-20 16:14:00,-6087.208,59.44,59.44,59.43,1327.0,0,-0.27,-0.27,Hold
2025-05-20 16:15:00,-5487.65,59.49,59.49,59.48,539.0,0,-0.27,-0.27,Hold
2025-05-20 16:16:00,-3888.817,59.49,59.5,59.49,1551.0,0,-0.27,-0.27,Hold
2025-05-20 16:17:00,-2812.133,59.5,59.5,59.49,1038.0,0,-0.27,-0.27,Hold
2025-05-20 16:18:00,-1379.742,59.6,59.6,59.59,1406.0,0,-0.27,-0.27,Hold
2025-05-20 16:19:00,-2232.867,59.58,59.59,59.58,887.0,0,-0.27,-0.27,Hold
2025-05-20 16:20:00,-41.45,59.66,59.66,59.65,2177.0,0,-0.27,-0.27,Hold
2025-05-20 16:21:00,-1396.667,59.64,59.65,59.64,1380.0,0,-0.27,-0.27,Hold
2025-05-20 16:22:00,-902.733,59.68,59.69,59.68,474.0,0,-0.27,-0.27,Hold
2025-05-20 16:23:00,-1799.492,59.67,59.67,59.66,928.0,0,-0.27,-0.27,Hold
2025-05-20 16:24:00,-2694.875,59.64,59.65,59.64,934.0,0,-0.27,-0.27,Hold
2025-05-20 16:25:00,-3927.35,59.63,59.64,59.63,1282.0,0,-0.27,-0.27,Hold
2025-05-20 16:26:00,-5065.692,59.62,59.63,59.62,1198.0,0,-0.27,-0.27,Hold
2025-05-20 16:27:00,-5845.675,59.6,59.6,59.59,846.0,0,-0.27,-0.27,Hold
2025-05-20 16:28:00,-6752.192,59.55,59.55,59.54,979.0,0,-0.27,-0.27,Hold
2025-05-20 16:29:00,-7241.6,59.53,59.53,59.52,568.0,0,-0.27,-0.27,Hold
2025-05-20 16:30:00,-6418.017,59.55,59.56,59.55,751.0,0,-0.27,-0.27,Hold
2025-05-20 16:31:00,-5581.092,59.58,59.58,59.57,771.0,0,-0.27,-0.27,Hold
2025-05-20 16:32:00,-6515.583,59.52,59.53,59.52,1009.0,0,-0.27,-0.27,Hold
2025-05-20 16:33:00,-8174.242,59.51,59.51,59.5,1749.0,0,-0.27,-0.27,Hold
2025-05-20 16:34:00,-8760.583,59.49,59.49,59.48,678.0,0,-0.27,-0.27,Hold
2025-05-20 16:35:00,-8921.492,59.44,59.44,59.43,253.0,0,-0.27,-0.27,Hold
2025-05-20 16:36:00,-9233.267,59.43,59.44,59.43,409.0,0,-0.27,-0.27,Hold
2025-05-20 16:37:00,-8788.167,59.49,59.5,59.49,352.0,0,-0.27,-0.27,Hold
2025-05-20 16:38:00,-8255.108,59.53,59.53,59.52,443.0,0,-0.27,-0.27,Hold
2025-05-20 16:39:00,-7515.042,59.55,59.56,59.55,656.0,0,-0.27,-0.27,Hold
2025-05-20 16:40:00,-6678.325,59.57,59.57,59.56,758.0,0,-0.27,-0.27,Hold
2025-05-20 16:41:00,-6996.267,59.53,59.54,59.53,399.0,0,-0.27,-0.27,Hold
2025-05-20 16:42:00,-5763.1,59.53,59.54,59.53,1161.0,0,-0.27,-0.27,Hold
2025-05-20 16:43:00,-5098.717,59.56,59.57,59.56,597.0,0,-0.27,-0.27,Hold
2025-05-20 16:44:00,-4458.417,59.57,59.58,59.57,577.0,0,-0.27,-0.27,Hold
2025-05-20 16:45:00,-3992.383,59.58,59.59,59.58,406.0,0,-0.27,-0.27,Hold
2025-05-20 16:46:00,-3015.208,59.66,59.66,59.65,924.0,0,-0.27,-0.27,Hold
2025-05-20 16:47:00,-2378.233,59.66,59.67,59.66,588.0,0,-0.27,-0.27,Hold
2025-05-20 16:48:00,-2773.442,59.63,59.64,59.63,457.0,0,-0.27,-0.27,Hold
2025-05-20 16:49:00,-2315.3,59.63,59.64,59.63,399.0,0,-0.27,-0.27,Hold
2025-05-20 16:50:00,-2954.8,59.56,59.56,59.55,703.0,0,-0.27,-0.27,Hold
2025-05-20 16:51:00,-3965.85,59.51,59.52,59.51,1084.0,0,-0.27,-0.27,Hold
2025-05-20 16:52:00,-4978.05,59.49,59.5,59.49,1095.0,0,-0.27,-0.27,Hold
2025-05-20 16:53:00,-4186.758,59.49,59.5,59.49,714.0,0,-0.27,-0.27,Hold
2025-05-20 16:54:00,-3523.867,59.51,59.51,59.5,590.0,0,-0.27,-0.27,Hold
2025-05-20 16:55:00,-2338.892,59.53,59.53,59.52,1122.0,0,-0.27,-0.27,Hold
2025-05-20 16:56:00,-2674.483,59.51,59.52,59.51,402.0,0,-0.27,-0.27,Hold
2025-05-20 16:57:00,-3365.533,59.47,59.47,59.46,764.0,0,-0.27,-0.27,Hold
2025-05-20 16:58:00,-4033.408,59.45,59.45,59.44,746.0,0,-0.27,-0.27,Hold
2025-05-20 16:59:00,-4158.558,59.42,59.43,59.42,205.0,0,-0.27,-0.27,Hold
2025-05-20 17:00:00,-2779.408,59.46,59.47,59.46,1310.0,0,-0.27,-0.27,Hold
2025-05-20 17:01:00,-1992.483,59.46,59.47,59.46,722.0,0,-0.27,-0.27,Hold
2025-05-20 17:02:00,-1512.3,59.5,59.5,59.49,418.0,0,-0.27,-0.27,Hold
2025-05-20 17:03:00,-1884.017,59.49,59.5,59.49,438.0,0,-0.27,-0.27,Hold
2025-05-20 17:04:00,-992.642,59.49,59.49,59.48,833.0,0,-0.27,-0.27,Hold
2025-05-20 17:05:00,-1947.708,59.47,59.48,59.47,1021.0,0,-0.27,-0.27,Hold
2025-05-20 17:06:00,-1504.85,59.49,59.49,59.48,380.0,0,-0.27,-0.27,Hold
2025-05-20 17:07:00,-496.008,59.54,59.54,59.53,954.0,0,-0.27,-0.27,Hold
2025-05-20 17:08:00,-1266.558,59.52,59.53,59.52,831.0,0,-0.27,-0.27,Hold
2025-05-20 17:09:00,-599.117,59.53,59.54,59.53,612.0,0,-0.27,-0.27,Hold
2025-05-20 17:10:00,-973.858,59.49,59.5,59.49,434.0,0,-0.27,-0.27,Hold
2025-05-20 17:11:00,-548.35,59.53,59.54,59.53,369.0,0,-0.27,-0.27,Hold
2025-05-20 17:12:00,16.608,59.56,59.56,59.55,513.0,1,-59.83,-0.28,Buy
2025-05-20 17:13:00,535.892,59.58,59.59,59.58,471.0,1,-59.83,-0.25,Hold
