TimeStamp,rsi_feature,close,Ask,Bid,Volume,Position,Cash,NetValue,Action
2025-05-20 15:30:00,23.682,70.76,70.77,70.76,4812.0,1,-70.77,-0.01,Buy
2025-05-20 15:31:00,28.192,70.67,70.67,70.66,2854.0,1,-70.77,-0.11,Hold
2025-05-20 15:32:00,29.139,70.65,70.65,70.64,3062.0,1,-70.77,-0.13,Hold
2025-05-20 15:33:00,22.173,70.76,70.76,70.75,2594.0,1,-70.77,-0.02,Hold
2025-05-20 15:34:00,28.792,70.62,70.63,70.62,2018.0,1,-70.77,-0.15,Hold
2025-05-20 15:35:00,30.467,70.58,70.59,70.58,3444.0,1,-70.77,-0.19,Hold
2025-05-20 15:36:00,32.508,70.53,70.54,70.53,2430.0,1,-70.77,-0.24,Hold
2025-05-20 15:37:00,33.32,70.51,70.51,70.5,3278.0,1,-70.77,-0.27,Hold
2025-05-20 15:38:00,20.449,70.73,70.74,70.73,3599.0,1,-70.77,-0.04,Hold
2025-05-20 15:39:00,20.935,70.72,70.72,70.71,3476.0,1,-70.77,-0.06,Hold
2025-05-20 15:40:00,27.993,70.56,70.57,70.56,2969.0,1,-70.77,-0.21,Hold
2025-05-20 15:41:00,29.173,70.53,70.54,70.53,3775.0,1,-70.77,-0.24,Hold
2025-05-20 15:42:00,23.292,70.64,70.64,70.63,2202.0,1,-70.77,-0.14,Hold
2025-05-20 15:43:00,23.74,70.63,70.63,70.62,1362.0,1,-70.77,-0.15,Hold
2025-05-20 15:44:00,26.426,70.57,70.58,70.57,1128.0,1,-70.77,-0.2,Hold
2025-05-20 15:45:00,25.847,70.58,70.59,70.58,1974.0,1,-70.77,-0.19,Hold
2025-05-20 15:46:00,31.736,70.44,70.45,70.44,1955.0,1,-70.77,-0.33,Hold
2025-05-20 15:47:00,42.019,70.08,70.08,70.07,5864.0,1,-70.77,-0.7,Hold
2025-05-20 15:48:00,32.518,70.27,70.27,70.26,3347.0,1,-70.77,-0.51,Hold
2025-05-20 15:49:00,35.353,70.16,70.17,70.16,2323.0,1,-70.77,-0.61,Hold
2025-05-20 15:50:00,36.584,70.11,70.12,70.11,2009.0,1,-70.77,-0.66,Hold
2025-05-20 15:51:00,31.011,70.23,70.23,70.22,5591.0,1,-70.77,-0.55,Hold
2025-05-20 15:52:00,17.794,70.6,70.6,70.59,4918.0,1,-70.77,-0.18,Hold
