,open,high,low,close,volume,bid,ask,trade_action,StrategyEarning,EarningDiff,signal_smooth,pred_signal,pred_action,Position,Cash,NetValue,Action,TradedAmount,BuyHoldEarning
2025-06-18 14:30:00,176.01,176.5,175.98,176.17,463860.0,176.1171,176.2229,1,0.0,0.106,0.4382284703766729,0.07323658,0,0,0.0,0.0,Hold,0,-0.106
2025-06-18 14:31:00,176.17,176.3094,175.96,176.06,80335.0,176.0072,176.1128,0,0.0,0.216,0.4387455812885052,0.08848863,0,0,0.0,0.0,Hold,0,-0.216
2025-06-18 14:32:00,176.065,176.125,175.65,175.665,89731.0,175.6123,175.7177,0,0.0,0.611,0.4377985638318733,0.0985266,0,0,0.0,0.0,Hold,0,-0.611
2025-06-18 14:33:00,175.6603,175.84,175.63,175.795,53230.0,175.7423,175.8477,0,0.0,0.481,0.4357450125812911,0.1136802,0,0,0.0,0.0,Hold,0,-0.481
2025-06-18 14:34:00,175.78,175.78,175.5,175.64,89068.0,175.5873,175.6927,0,0.0,0.636,0.4465236901958031,0.12051365,0,0,0.0,0.0,Hold,0,-0.636
2025-06-18 14:35:00,175.65,175.92,175.64,175.92,71697.0,175.8672,175.9728,0,0.0,0.356,0.4449905043557225,0.13234554,0,0,0.0,0.0,Hold,0,-0.356
2025-06-18 14:36:00,175.915,175.97,175.6,175.81,70943.0,175.7573,175.8627,0,0.0,0.466,0.4416988495853606,0.1449953,0,0,0.0,0.0,Hold,0,-0.466
2025-06-18 14:37:00,175.8,176.17,175.8,176.085,66641.0,176.0322,176.1378,0,0.0,0.191,0.4366698126218212,0.15623781,0,0,0.0,0.0,Hold,0,-0.191
2025-06-18 14:38:00,176.09,176.11,175.88,175.9,52246.0,175.8472,175.9528,0,0.0,0.376,0.4351556640462594,0.16925697,0,0,0.0,0.0,Hold,0,-0.376
2025-06-18 14:39:00,175.91,175.98,175.52,175.57,51780.0,175.5173,175.6227,0,0.0,0.706,0.4341709217451185,0.18161698,0,0,0.0,0.0,Hold,0,-0.706
2025-06-18 14:40:00,175.54,175.8,175.49,175.8,64161.0,175.7473,175.8527,0,0.0,0.476,0.4419659280623321,0.19171453,0,0,0.0,0.0,Hold,0,-0.476
2025-06-18 14:41:00,175.81,176.07,175.78,176.061,64447.0,176.0082,176.1138,0,0.0,0.215,0.4397199334890285,0.19880438,0,0,0.0,0.0,Hold,0,-0.215
2025-06-18 14:42:00,176.07,176.1,175.82,175.91,77196.0,175.8572,175.9628,0,0.0,0.366,0.4345679216212963,0.20511533,0,0,0.0,0.0,Hold,0,-0.366
