TimeStamp,bb_feature,close,ask,bid,Position,Cash,NetValue,Action
2025-05-20 15:30:00,0.0,59.47,59.48,59.47,0,0,0.0,Hold
2025-05-20 15:31:00,0.005968765243856922,59.44,59.44,59.43,0,0,0.0,Hold
2025-05-20 15:32:00,0.0023411639282286956,59.41,59.41,59.4,0,0,0.0,Hold
2025-05-20 15:33:00,0.0,59.44,59.45,59.44,0,0,0.0,Hold
2025-05-20 15:34:00,0.0,59.46,59.47,59.46,0,0,0.0,Hold
2025-05-20 15:35:00,0.006946838575885295,59.37,59.38,59.37,0,0,0.0,Hold
2025-05-20 15:36:00,0.010829582600507592,59.3,59.3,59.29,0,0,0.0,Hold
2025-05-20 15:37:00,0.0,59.33,59.33,59.32,0,0,0.0,Hold
2025-05-20 15:38:00,0.0,59.37,59.37,59.36,0,0,0.0,Hold
2025-05-20 15:39:00,-0.0009590301518471733,59.42,59.43,59.42,0,0,0.0,Hold
2025-05-20 15:40:00,0.0,59.35,59.35,59.34,0,0,0.0,Hold
2025-05-20 15:41:00,0.0,59.33,59.33,59.32,0,0,0.0,Hold
2025-05-20 15:42:00,0.007425194877725971,59.26,59.26,59.25,0,0,0.0,Hold
2025-05-20 15:43:00,0.0,59.33,59.33,59.32,0,0,0.0,Hold
2025-05-20 15:44:00,0.0,59.25,59.26,59.25,0,0,0.0,Hold
2025-05-20 15:45:00,0.0,59.27,59.27,59.26,0,0,0.0,Hold
2025-05-20 15:46:00,0.0,59.26,59.26,59.25,0,0,0.0,Hold
2025-05-20 15:47:00,0.0,59.21,59.22,59.21,0,0,0.0,Hold
2025-05-20 15:48:00,0.0,59.3,59.31,59.3,0,0,0.0,Hold
2025-05-20 15:49:00,0.0,59.27,59.27,59.26,0,0,0.0,Hold
2025-05-20 15:50:00,0.0,59.25,59.25,59.24,0,0,0.0,Hold
2025-05-20 15:51:00,0.0,59.27,59.28,59.27,0,0,0.0,Hold
2025-05-20 15:52:00,-0.012293847814966341,59.36,59.36,59.35,0,0,0.0,Hold
2025-05-20 15:53:00,-0.008051033696098386,59.42,59.42,59.41,0,0,0.0,Hold
2025-05-20 15:54:00,0.0,59.46,59.46,59.45,0,0,0.0,Hold
2025-05-20 15:55:00,0.0,59.44,59.45,59.44,0,0,0.0,Hold
2025-05-20 15:56:00,0.0,59.43,59.44,59.43,0,0,0.0,Hold
2025-05-20 15:57:00,0.0,59.42,59.43,59.42,0,0,0.0,Hold
2025-05-20 15:58:00,0.013875139198304964,59.35,59.36,59.35,0,0,0.0,Hold
2025-05-20 15:59:00,0.0,59.38,59.39,59.38,0,0,0.0,Hold
2025-05-20 16:00:00,0.0,59.36,59.36,59.35,0,0,0.0,Hold
2025-05-20 16:01:00,0.0,59.31,59.31,59.3,0,0,0.0,Hold
2025-05-20 16:02:00,0.0,59.29,59.3,59.29,0,0,0.0,Hold
2025-05-20 16:03:00,0.0,59.36,59.36,59.35,0,0,0.0,Hold
2025-05-20 16:04:00,0.0,59.37,59.38,59.37,0,0,0.0,Hold
2025-05-20 16:05:00,-0.01608514494498081,59.47,59.47,59.46,0,0,0.0,Hold
2025-05-20 16:06:00,0.0,59.45,59.45,59.44,0,0,0.0,Hold
2025-05-20 16:07:00,0.0,59.41,59.42,59.41,0,0,0.0,Hold
2025-05-20 16:08:00,0.0,59.47,59.47,59.46,0,0,0.0,Hold
