TimeStamp,ma_feature,close,ask,bid,Position,Cash,NetValue,Action
2025-05-20 15:30:00,-0.052157150295556676,134.56,134.56,134.54,0,0.0,0.0,Hold
2025-05-20 15:31:00,-0.061220839841922725,134.23,134.23,134.22,0,0.0,0.0,Hold
2025-05-20 15:32:00,-0.07973490152835438,133.98,133.99,133.97,0,0.0,0.0,Hold
2025-05-20 15:33:00,-0.07093470550395864,134.28,134.29,134.28,0,0.0,0.0,Hold
2025-05-20 15:34:00,-0.07648453398263655,134.02,134.03,134.02,0,0.0,0.0,Hold
2025-05-20 15:35:00,-0.05909063390149072,134.22,134.23,134.21,0,0.0,0.0,Hold
2025-05-20 15:36:00,-0.0637876379971658,133.84,133.84,133.83,0,0.0,0.0,Hold
2025-05-20 15:37:00,-0.06548084991416658,133.77,133.78,133.77,0,0.0,0.0,Hold
2025-05-20 15:38:00,-0.051212410341548775,134.0,134.01,134.0,0,0.0,0.0,Hold
2025-05-20 15:39:00,-0.032394192382213305,133.93,133.94,133.93,0,0.0,0.0,Hold
2025-05-20 15:40:00,-0.01617825166775333,133.92,133.93,133.91,0,0.0,0.0,Hold
2025-05-20 15:41:00,-0.005489303542645985,133.74,133.75,133.74,0,0.0,0.0,Hold
2025-05-20 15:42:00,-0.011969807266495991,133.8,133.81,133.8,0,0.0,0.0,Hold
2025-05-20 15:43:00,-0.007890248024835955,133.93,133.93,133.92,0,0.0,0.0,Hold
2025-05-20 15:44:00,-0.004070633688399994,133.77,133.78,133.76,0,0.0,0.0,Hold
2025-05-20 15:45:00,0.013438195522638807,133.65,133.65,133.64,1,-133.65,-0.010000000000019327,Buy
2025-05-20 15:46:00,0.006758421082309951,133.52,133.53,133.52,1,-133.65,-0.12999999999999545,Hold
2025-05-20 15:47:00,-0.03083638155297308,133.16,133.17,133.16,0,-0.4900000000000091,-0.4900000000000091,Sell
2025-05-20 15:48:00,-0.03573183385884704,133.18,133.18,133.17,0,-0.4900000000000091,-0.4900000000000091,Hold
2025-05-20 15:49:00,-0.060432021293138405,132.97,132.97,132.96,0,-0.4900000000000091,-0.4900000000000091,Hold
2025-05-20 15:50:00,-0.06404468529817109,132.9,132.9,132.89,0,-0.4900000000000091,-0.4900000000000091,Hold
2025-05-20 15:51:00,-0.06987243296921974,133.1,133.11,133.1,0,-0.4900000000000091,-0.4900000000000091,Hold
2025-05-20 15:52:00,-0.0518883788480764,133.47,133.47,133.46,0,-0.4900000000000091,-0.4900000000000091,Hold
2025-05-20 15:53:00,-0.015985664825393542,133.51,133.52,133.51,0,-0.4900000000000091,-0.4900000000000091,Hold
2025-05-20 15:54:00,0.019512543277755867,133.59,133.59,133.58,1,-134.08,-0.5,Buy
2025-05-20 15:55:00,0.027656808701379987,133.16,133.17,133.16,1,-134.08,-0.9200000000000159,Hold
2025-05-20 15:56:00,0.035533040947058225,133.27,133.28,133.27,1,-134.08,-0.8100000000000023,Hold
2025-05-20 15:57:00,0.04509141082866108,133.18,133.2,133.18,1,-134.08,-0.9000000000000057,Hold
2025-05-20 15:58:00,0.05445498447508612,132.96,132.97,132.96,1,-134.08,-1.1200000000000045,Hold
2025-05-20 15:59:00,0.07056477808237105,133.14,133.15,133.14,1,-134.08,-0.9400000000000261,Hold
2025-05-20 16:00:00,0.08249418082206716,133.15,133.15,133.14,1,-134.08,-0.9400000000000261,Hold
2025-05-20 16:01:00,0.07851574155264984,132.98,132.98,132.97,1,-134.08,-1.1100000000000136,Hold
2025-05-20 16:02:00,0.051451273858589275,132.91,132.92,132.91,1,-134.08,-1.170000000000016,Hold
2025-05-20 16:03:00,0.04051986462621926,133.07,133.08,133.07,1,-134.08,-1.0100000000000193,Hold
2025-05-20 16:04:00,0.01845488154793884,133.08,133.09,133.08,1,-134.08,-1.0,Hold
2025-05-20 16:05:00,-0.002351978645521058,133.15,133.15,133.13,0,-0.950000000000017,-0.950000000000017,Sell
2025-05-20 16:06:00,-0.013391314648174557,133.08,133.09,133.07,0,-0.950000000000017,-0.950000000000017,Hold
2025-05-20 16:07:00,-0.014550733650480652,132.8,132.81,132.8,0,-0.950000000000017,-0.950000000000017,Hold
2025-05-20 16:08:00,-0.007898558610833106,132.79,132.8,132.79,0,-0.950000000000017,-0.950000000000017,Hold
2025-05-20 16:09:00,0.0075054278821937714,132.76,132.77,132.75,1,-133.72000000000003,-0.9700000000000273,Buy
2025-05-20 16:10:00,0.005650582730282849,132.87,132.88,132.87,1,-133.72000000000003,-0.8500000000000227,Hold
2025-05-20 16:11:00,0.010277593222326686,132.81,132.82,132.81,1,-133.72000000000003,-0.910000000000025,Hold
2025-05-20 16:12:00,0.02032622740287593,132.95,132.96,132.95,1,-133.72000000000003,-0.7700000000000387,Hold
2025-05-20 16:13:00,0.01636878231084893,132.95,132.95,132.94,1,-133.72000000000003,-0.7800000000000296,Hold
2025-05-20 16:14:00,0.027322684521976726,132.99,132.99,132.98,1,-133.72000000000003,-0.7400000000000375,Hold
2025-05-20 16:15:00,0.05224068229006207,133.22,133.22,133.21,1,-133.72000000000003,-0.5100000000000193,Hold
2025-05-20 16:16:00,0.06387726367046298,133.25,133.27,133.26,1,-133.72000000000003,-0.4600000000000364,Hold
2025-05-20 16:17:00,0.06947593904499172,133.29,133.3,133.29,1,-133.72000000000003,-0.43000000000003524,Hold
