TimeStamp,ma_feature,close,Position,Cash,NetValue,Action
2025-05-20 15:25:00,,321.4,0,0.0,0.0,No signal
2025-05-20 15:26:00,,321.26,0,0.0,0.0,No signal
2025-05-20 15:27:00,,320.55,0,0.0,0.0,No signal
2025-05-20 15:28:00,,321.33,0,0.0,0.0,No signal
2025-05-20 15:29:00,,320.34,0,0.0,0.0,No signal
2025-05-20 15:30:00,,321.0,0,0.0,0.0,No signal
2025-05-20 15:31:00,,319.07,0,0.0,0.0,No signal
2025-05-20 15:32:00,,319.56,0,0.0,0.0,No signal
2025-05-20 15:33:00,,317.05,0,0.0,0.0,No signal
2025-05-20 15:34:00,,319.1,0,0.0,0.0,No signal
2025-05-20 15:35:00,,317.88,0,0.0,0.0,No signal
2025-05-20 15:36:00,,315.83,0,0.0,0.0,No signal
2025-05-20 15:37:00,,316.26,0,0.0,0.0,No signal
2025-05-20 15:38:00,,315.15,0,0.0,0.0,No signal
2025-05-20 15:39:00,,316.26,0,0.0,0.0,No signal
2025-05-20 15:40:00,,318.07,0,0.0,0.0,No signal
2025-05-20 15:41:00,,317.05,0,0.0,0.0,No signal
2025-05-20 15:42:00,,316.02,0,0.0,0.0,No signal
2025-05-20 15:43:00,,315.17,0,0.0,0.0,No signal
2025-05-20 15:44:00,-0.45137208012818064,315.52,0,0.0,0.0,Hold
2025-05-20 15:45:00,-0.3567890248779122,315.79,0,0.0,0.0,Hold
2025-05-20 15:46:00,-0.30804721298471804,314.54,0,0.0,0.0,Hold
2025-05-20 15:47:00,-0.25387604984331347,314.84,0,0.0,0.0,Hold
2025-05-20 15:48:00,-0.10203071176300682,315.65,0,0.0,0.0,Hold
2025-05-20 15:49:00,0.0739722131668259,317.0,1,-317.0,0.0,Buy
2025-05-20 15:50:00,0.24864152619852575,316.26,1,-317.0,-0.7400000000000091,Hold
2025-05-20 15:51:00,0.29429471417961395,315.41,1,-317.0,-1.589999999999975,Hold
2025-05-20 15:52:00,0.4110047414006317,316.15,1,-317.0,-0.8500000000000227,Hold
2025-05-20 15:53:00,0.46343286126722205,317.39,1,-317.0,0.38999999999998636,Hold
2025-05-20 15:54:00,0.5995344935274716,317.12,1,-317.0,0.12000000000000455,Hold
2025-05-20 15:55:00,0.6629597798582267,316.94,1,-317.0,-0.060000000000002274,Hold
2025-05-20 15:56:00,0.6015112293955553,316.48,1,-317.0,-0.5199999999999818,Hold
2025-05-20 15:57:00,0.5462244456436451,316.08,1,-317.0,-0.9200000000000159,Hold
