TimeStamp,obv_feature,close,ask,bid,Position,Cash,NetValue,Action
2025-05-20 15:30:00,233.3,34.1,34.12,34.09,1,-34.12,-0.02999999999999403,Buy
2025-05-20 15:31:00,426.9,34.1,34.11,34.09,1,-34.12,-0.02999999999999403,Hold
2025-05-20 15:32:00,319.69999999999993,34.03,34.04,34.02,1,-34.12,-0.09999999999999432,Hold
2025-05-20 15:33:00,366.20000000000005,34.07,34.08,34.04,1,-34.12,-0.0799999999999983,Hold
2025-05-20 15:34:00,397.29999999999995,34.15,34.15,34.13,1,-34.12,0.010000000000005116,Hold
2025-05-20 15:35:00,484.4000000000001,34.22,34.22,34.2,1,-34.12,0.0800000000000054,Hold
2025-05-20 15:36:00,434.5999999999999,34.15,34.17,34.15,1,-34.12,0.030000000000001137,Hold
2025-05-20 15:37:00,469.0999999999999,34.2,34.2,34.18,1,-34.12,0.060000000000002274,Hold
2025-05-20 15:38:00,403.60000000000036,34.16,34.17,34.15,1,-34.12,0.030000000000001137,Hold
2025-05-20 15:39:00,436.6999999999998,34.19,34.2,34.18,1,-34.12,0.060000000000002274,Hold
2025-05-20 15:40:00,159.89999999999964,34.13,34.14,34.13,1,-34.12,0.010000000000005116,Hold
2025-05-20 15:41:00,-88.79999999999973,34.1,34.1,34.08,0,-0.03999999999999915,-0.03999999999999915,Sell
2025-05-20 15:42:00,72.70000000000027,34.15,34.16,34.15,1,-34.199999999999996,-0.04999999999999716,Buy
2025-05-20 15:43:00,101.09999999999945,34.29,34.29,34.27,1,-34.199999999999996,0.07000000000000739,Hold
2025-05-20 15:44:00,5.100000000000364,34.26,34.27,34.25,1,-34.199999999999996,0.05000000000000426,Hold
2025-05-20 15:45:00,-108.5,34.25,34.25,34.23,0,0.030000000000001137,0.030000000000001137,Sell
2025-05-20 15:46:00,13.0,34.25,34.26,34.24,1,-34.23,0.010000000000005116,Buy
2025-05-20 15:47:00,11.100000000000364,34.25,34.25,34.24,1,-34.23,0.010000000000005116,Hold
2025-05-20 15:48:00,38.899999999999636,34.23,34.23,34.22,1,-34.23,-0.00999999999999801,Hold
2025-05-20 15:49:00,41.100000000000364,34.28,34.29,34.27,1,-34.23,0.04000000000000625,Hold
2025-05-20 15:50:00,131.0,34.29,34.3,34.29,1,-34.23,0.060000000000002274,Hold
2025-05-20 15:51:00,235.29999999999927,34.35,34.35,34.34,1,-34.23,0.11000000000000654,Hold
2025-05-20 15:52:00,217.40000000000055,34.35,34.36,34.35,1,-34.23,0.12000000000000455,Hold
2025-05-20 15:53:00,190.80000000000018,34.37,34.38,34.37,1,-34.23,0.14000000000000057,Hold
2025-05-20 15:54:00,365.39999999999964,34.39,34.39,34.38,1,-34.23,0.15000000000000568,Hold
2025-05-20 15:55:00,348.3000000000002,34.37,34.38,34.37,1,-34.23,0.14000000000000057,Hold
2025-05-20 15:56:00,302.59999999999945,34.39,34.39,34.38,1,-34.23,0.15000000000000568,Hold
2025-05-20 15:57:00,240.30000000000018,34.36,34.36,34.35,1,-34.23,0.12000000000000455,Hold
2025-05-20 15:58:00,305.5,34.37,34.38,34.36,1,-34.23,0.13000000000000256,Hold
2025-05-20 15:59:00,247.60000000000036,34.35,34.37,34.36,1,-34.23,0.13000000000000256,Hold
2025-05-20 16:00:00,352.3000000000002,34.36,34.36,34.35,1,-34.23,0.12000000000000455,Hold
2025-05-20 16:01:00,337.2999999999993,34.36,34.37,34.36,1,-34.23,0.13000000000000256,Hold
2025-05-20 16:02:00,335.3000000000002,34.37,34.38,34.37,1,-34.23,0.14000000000000057,Hold
2025-05-20 16:03:00,308.6999999999998,34.39,34.4,34.39,1,-34.23,0.1600000000000037,Hold
2025-05-20 16:04:00,181.5,34.36,34.36,34.35,1,-34.23,0.12000000000000455,Hold
2025-05-20 16:05:00,246.10000000000036,34.4,34.4,34.39,1,-34.23,0.1600000000000037,Hold
2025-05-20 16:06:00,246.20000000000073,34.41,34.42,34.41,1,-34.23,0.17999999999999972,Hold
2025-05-20 16:07:00,262.1999999999989,34.37,34.37,34.36,1,-34.23,0.13000000000000256,Hold
2025-05-20 16:08:00,269.3000000000011,34.4,34.41,34.4,1,-34.23,0.1700000000000017,Hold
2025-05-20 16:09:00,354.09999999999854,34.42,34.44,34.42,1,-34.23,0.19000000000000483,Hold
2025-05-20 16:10:00,224.90000000000146,34.44,34.44,34.43,1,-34.23,0.20000000000000284,Hold
2025-05-20 16:11:00,166.39999999999964,34.4,34.41,34.4,1,-34.23,0.1700000000000017,Hold
2025-05-20 16:12:00,165.0,34.4,34.41,34.4,1,-34.23,0.1700000000000017,Hold
2025-05-20 16:13:00,169.1999999999989,34.4,34.41,34.4,1,-34.23,0.1700000000000017,Hold
2025-05-20 16:14:00,167.20000000000073,34.37,34.37,34.36,1,-34.23,0.13000000000000256,Hold
2025-05-20 16:15:00,177.10000000000036,34.4,34.4,34.39,1,-34.23,0.1600000000000037,Hold
2025-05-20 16:16:00,100.19999999999891,34.38,34.39,34.38,1,-34.23,0.15000000000000568,Hold
2025-05-20 16:17:00,133.70000000000073,34.38,34.39,34.38,1,-34.23,0.15000000000000568,Hold
2025-05-20 16:18:00,114.39999999999964,34.38,34.39,34.38,1,-34.23,0.15000000000000568,Hold
2025-05-20 16:19:00,67.30000000000109,34.38,34.39,34.38,1,-34.23,0.15000000000000568,Hold
2025-05-20 16:20:00,28.5,34.37,34.38,34.37,1,-34.23,0.14000000000000057,Hold
2025-05-20 16:21:00,28.799999999999272,34.36,34.36,34.35,1,-34.23,0.12000000000000455,Hold
2025-05-20 16:22:00,-38.100000000000364,34.35,34.36,34.35,0,0.12000000000000455,0.12000000000000455,Sell
2025-05-20 16:23:00,-86.10000000000036,34.33,34.34,34.33,0,0.12000000000000455,0.12000000000000455,Hold
