,open,high,low,close,volume,ask,bid,open_orig,high_orig,low_orig,close_orig,volume_orig,ask_orig,bid_orig,signal,signal_smooth,signal_norm,signal_smooth_norm,trade_action,Position,Cash,NetValue,Action,TradedAmount,StrategyEarning,BuyHoldEarning,EarningDiff
2025-04-02 13:30:00,221.474,221.5533,221.2645,221.3551,5840.0,221.4215,221.2887,221.1,221.42,220.89,221.3,1854,221.3664,221.2336,8.689329373802707e-22,8.689329373802707e-22,2.940551395533887e-22,3.3959274543439885e-22,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-04-02 13:31:00,221.4546,221.5427,221.2562,221.3345,5853.0,221.4009,221.2681,221.17,221.37,221.17,221.2,1469,221.2664,221.1336,1.9470373867754685e-21,1.4079851620778696e-21,6.588959007700348e-22,5.502628869869528e-22,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-04-02 13:32:00,221.4322,221.5174,221.2392,221.3169,5809.0,221.3833,221.2505,221.17,221.3,221.17,221.19,261,221.2564,221.1236,4.358294281430065e-21,2.391421535195268e-21,1.4748880817022095e-21,9.346053874725005e-22,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-04-02 13:33:00,221.4158,221.5067,221.2327,221.301,5779.0,221.3674,221.2346,221.18,221.3188,221.17,221.1701,400,221.2365,221.1037,9.749993301573024e-21,4.231064476789707e-21,3.299490118975616e-21,1.6535669669915757e-21,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-04-02 13:34:00,221.4075,221.5074,221.2304,221.3028,5835.0,221.3692,221.2364,221.26,221.41,221.23,221.3,1302,221.3664,221.2336,2.1686303154136666e-20,9.435407030978806e-21,7.338850475173093e-21,3.687506411716181e-21,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-04-02 13:35:00,221.4087,221.5021,221.2245,221.3045,5885.0,221.3709,221.2381,221.3001,221.38,221.17,221.38,2066,221.4464,221.3136,4.823704853763246e-20,2.1007909818693054e-20,1.6323874293614913e-20,8.210223671203904e-21,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-04-02 13:36:00,221.404,221.495,221.211,221.2892,5787.0,221.3556,221.2228,221.36,221.41,221.19,221.26,110,221.3264,221.1936,1.078884578678822e-19,4.689045071530609e-20,3.651047643583124e-20,1.8325530323519667e-20,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-04-02 13:37:00,221.3899,221.4874,221.2009,221.2816,5775.0,221.348,221.2152,221.25,221.37,221.21,221.35,924,221.4164,221.2836,2.40701544747234e-19,1.0462833857672133e-19,8.145568350160136e-20,4.0890410777419056e-20,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-04-02 13:38:00,221.3846,221.4921,221.2039,221.2935,5762.0,221.3599,221.2271,221.31,221.48,221.3,221.47,2141,221.5364,221.4036,5.336303892218833e-19,2.32614360093658e-19,1.8058558010892688e-19,9.09093737542383e-20,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-04-02 13:39:00,221.3946,221.4966,221.2109,221.2935,5740.0,221.3599,221.2271,221.47,221.4773,221.37,221.4,347,221.4664,221.3336,1.1876162719006635e-18,5.1745916593441575e-19,4.0190059962797084e-19,2.0223123241208174e-19,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
