,open,high,low,close,volume,ask,bid,open_orig,high_orig,low_orig,close_orig,volume_orig,ask_orig,bid_orig,signal,signal_smooth,signal_norm,signal_smooth_norm,trade_action,Position,Cash,NetValue,Action,TradedAmount,StrategyEarning,BuyHoldEarning,EarningDiff
2025-06-03 13:30:00,343.736,343.8516,343.6581,343.7634,6286.0,343.8665,343.6602,343.93,343.94,343.75,343.77,5611,343.8731,343.6669,1.2158152738803775e-08,1.2158152738803775e-08,1.3221363756246457e-09,1.411898290210362e-09,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-03 13:31:00,343.7581,343.8642,343.6765,343.7792,6397.0,343.8823,343.676,343.87,343.94,343.8,343.94,3310,344.0432,343.8368,3.234014725121145e-08,2.2249149995007612e-08,3.5168241419946965e-09,2.583742572695782e-09,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-03 13:32:00,343.7707,343.8695,343.6923,343.7792,6144.0,343.8823,343.676,343.93,343.95,343.85,343.85,5108,343.9532,343.7468,8.635393219493523e-08,4.3617410728316824e-08,9.390544549482381e-09,5.065189503185394e-09,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-03 13:33:00,343.7731,343.8716,343.6981,343.7831,6107.0,343.8863,343.68,343.865,343.94,343.81,343.92,4398,344.0232,343.8168,2.3036160623210376e-07,9.030345960426356e-08,2.505063603739129e-08,1.048673289063193e-08,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-03 13:34:00,343.7794,343.8726,343.6986,343.7847,5719.0,343.8878,343.6815,343.92,343.95,343.81,343.92,6883,344.0232,343.8168,6.148667731407253e-07,1.952161223115559e-07,6.686358893466934e-08,2.2669998908099023e-08,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-03 13:35:00,343.7815,343.8732,343.7065,343.7905,5638.0,343.8936,343.6873,343.92,343.95,343.85,343.89,6023,343.9932,343.7868,1.6394842621762572e-06,4.3592747895567283e-07,1.7828545395463034e-07,5.062325465190569e-08,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-03 13:36:00,343.7873,343.8737,343.7112,343.8015,5539.0,343.9047,343.6984,343.89,343.9,343.65,343.8599,7494,343.9631,343.7567,4.365969517822937e-06,9.973620559367105e-07,4.7477665714454905e-07,1.1582135968759688e-07,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-03 13:37:00,343.7984,343.88,343.7181,343.8152,5496.0,343.9184,343.712,343.81,343.92,343.68,343.82,3926,343.9231,343.7169,1.1618856385920389e-05,2.65546180353408e-06,1.2634906799579712e-06,3.0837266652874564e-07,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-03 13:38:00,343.8103,343.8905,343.7258,343.8281,5541.0,343.9313,343.7249,343.76,343.94,343.68,343.8999,3490,344.0031,343.7967,3.092620915717537e-05,7.068871662094675e-06,3.3630656700320875e-06,8.208917939955017e-07,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-03 13:39:00,343.8229,343.9,343.7327,343.8336,5547.0,343.9368,343.7305,343.85,343.92,343.74,343.78,3060,343.8831,343.6769,8.24666718437008e-05,1.8837488506595513e-05,8.967825044118102e-06,2.1875541774890024e-06,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-03 13:40:00,343.835,343.9095,343.7411,343.8457,5514.0,343.9489,343.7426,343.88,343.92,343.77,343.9,1652,344.0032,343.7968,0.00021954392237581092,5.016799718796392e-05,2.3874268736068882e-05,5.825894029682473e-06,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-03 13:41:00,343.8492,343.921,343.7537,343.861,5270.0,343.9642,343.7578,343.9,343.9197,343.74,343.79,4144,343.8931,343.6869,0.0005840039028317726,0.00013350928805348276,6.350741103756003e-05,1.5504126291183727e-05,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-03 13:42:00,343.865,343.93,343.7642,343.8689,5641.0,343.9721,343.7657,343.8,343.88,343.7,343.77,9706,343.8731,343.6669,0.0015563369820528173,0.0003556089305950029,0.00016924361627195387,4.1296046519318466e-05,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-03 13:43:00,343.8708,343.9279,343.7564,343.8573,6086.0,343.9605,343.7541,343.77,343.86,343.51,343.63,13216,343.7331,343.5269,0.00416768200566412,0.0009503683643301882,0.00045321391333885805,0.00011036409045802394,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-03 13:44:00,343.8613,343.9158,343.7468,343.8463,6105.0,343.9494,343.7431,343.63,343.7,343.6,343.68,5235,343.7831,343.5769,0.011158800073194643,0.0025428228238742914,0.0012134619297886177,0.0002952921611091088,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-03 13:45:00,343.8461,343.9026,343.7316,343.832,5604.0,343.9352,343.7289,343.61,343.7,343.51,343.65,3682,343.7531,343.5469,0.02990132663071321,0.006810022884096582,0.003251614983559544,0.0007908322812611266,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-03 13:46:00,343.8302,343.8916,343.7175,343.8153,5323.0,343.9184,343.7121,343.6383,343.73,343.5326,343.6,2099,343.7031,343.4969,0.08017036392797075,0.018251151063543303,0.008718113406976733,0.0021194641599413875,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-03 13:47:00,343.816,343.8895,343.707,343.8131,5361.0,343.9163,343.71,343.61,343.9,343.6,343.88,7517,343.9832,343.7768,0.21418465720949872,0.04881759581884658,0.023291476302446552,0.005669075027230781,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-03 13:48:00,343.8139,343.8895,343.7029,343.8153,5302.0,343.9184,343.7121,343.88,343.94,343.7732,343.94,4191,344.0432,343.8368,0.5716024816460727,0.130391664067881,0.062158820473573656,0.01514208379432141,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-03 13:49:00,343.8133,343.8905,343.7061,343.8174,5529.0,343.9205,343.7142,343.92,343.96,343.81,343.81,9922,343.9131,343.7069,1.5254935971347057,0.3480969869468314,0.16588955731055607,0.040423701795505314,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
2025-06-03 13:50:00,343.8107,343.891,343.7071,343.8153,5589.0,343.9184,343.7121,343.82,343.95,343.82,343.9,4441,344.0032,343.7968,4.075438616163695,0.9297071203979786,0.44318292069635046,0.10796474776113525,0,0,0.0,0.0,No trade,0,0.0,0.0,0.0
