TimeStamp,obv_feature,close,Ask,Bid,Volume,Position,Cash,NetValue,Action
2025-05-20 15:30:00,2327.556,34.1,34.12,34.09,2334.0,1,-34.12,-0.03,Buy
2025-05-20 15:31:00,4235.956,34.1,34.11,34.09,1957.0,1,-34.12,-0.03,Hold
2025-05-20 15:32:00,3127.344,34.03,34.04,34.02,1072.0,1,-34.12,-0.1,Hold
2025-05-20 15:33:00,3550.567,34.07,34.08,34.04,465.0,1,-34.12,-0.08,Hold
2025-05-20 15:34:00,3817.322,34.15,34.15,34.13,312.0,1,-34.12,0.01,Hold
2025-05-20 15:35:00,4633.422,34.22,34.22,34.2,871.0,1,-34.12,0.08,Hold
2025-05-20 15:36:00,4087.056,34.15,34.17,34.15,497.0,1,-34.12,0.03,Hold
2025-05-20 15:37:00,4365.144,34.2,34.2,34.18,331.0,1,-34.12,0.06,Hold
2025-05-20 15:38:00,3664.256,34.16,34.17,34.15,655.0,1,-34.12,0.03,Hold
2025-05-20 15:39:00,3935.8,34.19,34.2,34.18,321.0,1,-34.12,0.06,Hold
2025-05-20 15:40:00,3457.167,34.13,34.14,34.13,434.0,1,-34.12,0.01,Hold
2025-05-20 15:41:00,2888.422,34.1,34.1,34.08,530.0,1,-34.12,-0.04,Hold
2025-05-20 15:42:00,3386.644,34.15,34.16,34.15,543.0,1,-34.12,0.03,Hold
2025-05-20 15:43:00,4082.567,34.29,34.29,34.27,749.0,1,-34.12,0.15,Hold
2025-05-20 15:44:00,3388.689,34.26,34.27,34.25,648.0,1,-34.12,0.13,Hold
2025-05-20 15:45:00,3080.767,34.25,34.25,34.23,265.0,1,-34.12,0.11,Hold
2025-05-20 15:46:00,3747.867,34.25,34.26,34.24,718.0,1,-34.12,0.12,Hold
2025-05-20 15:47:00,4005.5,34.25,34.25,34.24,312.0,1,-34.12,0.12,Hold
2025-05-20 15:48:00,3578.311,34.23,34.23,34.22,377.0,1,-34.12,0.1,Hold
2025-05-20 15:49:00,3867.344,34.28,34.29,34.27,343.0,1,-34.12,0.15,Hold
2025-05-20 15:50:00,4273.256,34.29,34.3,34.29,465.0,1,-34.12,0.17,Hold
2025-05-20 15:51:00,4721.478,34.35,34.35,34.34,513.0,1,-34.12,0.22,Hold
2025-05-20 15:52:00,5016.656,34.35,34.36,34.35,364.0,1,-34.12,0.23,Hold
2025-05-20 15:53:00,5425.522,34.37,34.38,34.37,483.0,1,-34.12,0.25,Hold
2025-05-20 15:54:00,6437.522,34.39,34.39,34.38,1098.0,1,-34.12,0.26,Hold
2025-05-20 15:55:00,5920.367,34.37,34.38,34.37,436.0,1,-34.12,0.25,Hold
2025-05-20 15:56:00,6097.356,34.39,34.39,34.38,261.0,1,-34.12,0.26,Hold
2025-05-20 15:57:00,5705.8,34.36,34.36,34.35,311.0,1,-34.12,0.23,Hold
2025-05-20 15:58:00,5897.2,34.37,34.38,34.36,275.0,1,-34.12,0.24,Hold
2025-05-20 15:59:00,5580.222,34.35,34.37,34.36,236.0,1,-34.12,0.24,Hold
