TimeStamp,obv_feature,close,Ask,Bid,Volume,Position,Cash,NetValue,Action
2025-05-20 15:30:00,24060.122,134.56,134.56,134.54,11174.0,1,-134.56,-0.02,Buy
2025-05-20 15:31:00,11938.822,134.23,134.23,134.22,11973.0,1,-134.56,-0.34,Hold
2025-05-20 15:32:00,-1268.667,133.98,133.99,133.97,13204.0,0,-0.59,-0.59,Sell
2025-05-20 15:33:00,6276.2,134.28,134.29,134.28,7635.0,1,-134.88,-0.6,Buy
2025-05-20 15:34:00,-920.767,134.02,134.03,134.02,7187.0,0,-0.86,-0.86,Sell
2025-05-20 15:35:00,9440.0,134.22,134.23,134.21,10485.0,1,-135.09,-0.88,Buy
2025-05-20 15:36:00,386.533,133.84,133.84,133.83,9031.0,1,-135.09,-1.26,Hold
2025-05-20 15:37:00,-10023.544,133.77,133.78,133.77,10506.0,0,-1.32,-1.32,Sell
2025-05-20 15:38:00,-2777.644,134.0,134.01,134.0,7232.0,0,-1.32,-1.32,Hold
2025-05-20 15:39:00,-10251.967,133.93,133.94,133.93,7571.0,0,-1.32,-1.32,Hold
2025-05-20 15:40:00,-16313.056,133.92,133.93,133.91,6229.0,0,-1.32,-1.32,Hold
2025-05-20 15:41:00,-22807.289,133.74,133.75,133.74,6738.0,0,-1.32,-1.32,Hold
2025-05-20 15:42:00,-15866.6,133.8,133.81,133.8,6770.0,0,-1.32,-1.32,Hold
2025-05-20 15:43:00,-11169.211,133.93,133.93,133.92,4578.0,0,-1.32,-1.32,Hold
2025-05-20 15:44:00,-18009.411,133.77,133.78,133.76,7038.0,0,-1.32,-1.32,Hold
2025-05-20 15:45:00,-22757.8,133.65,133.65,133.64,5002.0,0,-1.32,-1.32,Hold
2025-05-20 15:46:00,-30184.167,133.52,133.53,133.52,7769.0,0,-1.32,-1.32,Hold
2025-05-20 15:47:00,-43297.9,133.16,133.17,133.16,13609.0,0,-1.32,-1.32,Hold
2025-05-20 15:48:00,-27936.4,133.18,133.18,133.17,15032.0,0,-1.32,-1.32,Hold
2025-05-20 15:49:00,-36112.389,132.97,132.97,132.96,8602.0,0,-1.32,-1.32,Hold
2025-05-20 15:50:00,-44360.5,132.9,132.9,132.89,8770.0,0,-1.32,-1.32,Hold
2025-05-20 15:51:00,-33800.278,133.1,133.11,133.1,10150.0,0,-1.32,-1.32,Hold
2025-05-20 15:52:00,-23002.978,133.47,133.47,133.46,10504.0,0,-1.32,-1.32,Hold
2025-05-20 15:53:00,-14362.544,133.51,133.52,133.51,8445.0,0,-1.32,-1.32,Hold
2025-05-20 15:54:00,-5387.544,133.59,133.59,133.58,8876.0,0,-1.32,-1.32,Hold
2025-05-20 15:55:00,-12458.811,133.16,133.17,133.16,7252.0,0,-1.32,-1.32,Hold
2025-05-20 15:56:00,-6875.922,133.27,133.28,133.27,5467.0,0,-1.32,-1.32,Hold
2025-05-20 15:57:00,-12769.833,133.18,133.2,133.18,6082.0,0,-1.32,-1.32,Hold
2025-05-20 15:58:00,-20131.533,132.96,132.97,132.96,7630.0,0,-1.32,-1.32,Hold
2025-05-20 15:59:00,-14489.833,133.14,133.15,133.14,5427.0,0,-1.32,-1.32,Hold
2025-05-20 16:00:00,-8339.711,133.15,133.15,133.14,6006.0,0,-1.32,-1.32,Hold
2025-05-20 16:01:00,-14457.789,132.98,132.98,132.97,6339.0,0,-1.32,-1.32,Hold
2025-05-20 16:02:00,-20296.256,132.91,132.92,132.91,6130.0,0,-1.32,-1.32,Hold
2025-05-20 16:03:00,-15179.333,133.07,133.08,133.07,4878.0,0,-1.32,-1.32,Hold
2025-05-20 16:04:00,-10892.811,133.08,133.09,133.08,4092.0,0,-1.32,-1.32,Hold
2025-05-20 16:05:00,-5626.278,133.15,133.15,133.13,5131.0,0,-1.32,-1.32,Hold
2025-05-20 16:06:00,-9570.622,133.08,133.09,133.07,4120.0,0,-1.32,-1.32,Hold
2025-05-20 16:07:00,-18108.889,132.8,132.81,132.8,8809.0,0,-1.32,-1.32,Hold
2025-05-20 16:08:00,-26746.689,132.79,132.8,132.79,9001.0,0,-1.32,-1.32,Hold
2025-05-20 16:09:00,-31639.822,132.76,132.77,132.75,5321.0,0,-1.32,-1.32,Hold
2025-05-20 16:10:00,-23113.522,132.87,132.88,132.87,8188.0,0,-1.32,-1.32,Hold
2025-05-20 16:11:00,-28321.489,132.81,132.82,132.81,5610.0,0,-1.32,-1.32,Hold
2025-05-20 16:12:00,-23858.578,132.95,132.96,132.95,4103.0,0,-1.32,-1.32,Hold
2025-05-20 16:13:00,-19803.856,132.95,132.95,132.94,3734.0,0,-1.32,-1.32,Hold
2025-05-20 16:14:00,-14859.422,132.99,132.99,132.98,4677.0,0,-1.32,-1.32,Hold
2025-05-20 16:15:00,-9175.711,133.22,133.22,133.21,5475.0,0,-1.32,-1.32,Hold
2025-05-20 16:16:00,-994.767,133.25,133.27,133.26,8064.0,0,-1.32,-1.32,Hold
2025-05-20 16:17:00,3670.967,133.29,133.3,133.29,4598.0,1,-134.62,-1.33,Buy
2025-05-20 16:18:00,7943.867,133.41,133.42,133.41,4251.0,1,-134.62,-1.21,Hold
2025-05-20 16:19:00,2951.956,133.34,133.34,133.33,5068.0,1,-134.62,-1.29,Hold
2025-05-20 16:20:00,-403.078,133.33,133.34,133.33,3467.0,0,-1.29,-1.29,Sell
2025-05-20 16:21:00,-5132.956,133.26,133.27,133.26,4893.0,0,-1.29,-1.29,Hold
2025-05-20 16:22:00,-1317.256,133.29,133.3,133.29,3692.0,0,-1.29,-1.29,Hold
2025-05-20 16:23:00,-4203.656,133.2,133.21,133.2,3046.0,0,-1.29,-1.29,Hold
2025-05-20 16:24:00,-8330.933,133.11,133.11,133.1,4337.0,0,-1.29,-1.29,Hold
2025-05-20 16:25:00,-12124.611,133.07,133.08,133.07,4046.0,0,-1.29,-1.29,Hold
2025-05-20 16:26:00,-7750.656,133.27,133.27,133.26,4167.0,0,-1.29,-1.29,Hold
2025-05-20 16:27:00,-10510.878,133.15,133.16,133.15,2999.0,0,-1.29,-1.29,Hold
2025-05-20 16:28:00,-17259.167,132.96,132.96,132.95,7067.0,0,-1.29,-1.29,Hold
2025-05-20 16:29:00,-19923.367,132.89,132.9,132.89,3015.0,0,-1.29,-1.29,Hold
2025-05-20 16:30:00,-23555.644,132.83,132.83,132.82,4031.0,0,-1.29,-1.29,Hold
2025-05-20 16:31:00,-16682.2,132.99,133.0,132.99,6544.0,0,-1.29,-1.29,Hold
2025-05-20 16:32:00,-20481.278,132.95,132.95,132.94,4172.0,0,-1.29,-1.29,Hold
2025-05-20 16:33:00,-16922.744,133.14,133.14,133.13,3219.0,0,-1.29,-1.29,Hold
2025-05-20 16:34:00,-13153.156,133.15,133.15,133.14,3470.0,0,-1.29,-1.29,Hold
2025-05-20 16:35:00,-9738.722,133.21,133.23,133.21,3154.0,0,-1.29,-1.29,Hold
2025-05-20 16:36:00,-13573.544,133.19,133.19,133.18,4130.0,0,-1.29,-1.29,Hold
2025-05-20 16:37:00,-10098.011,133.32,133.33,133.32,3213.0,0,-1.29,-1.29,Hold
