TimeStamp,ma_feature,close,Ask,Bid,Volume,Position,Cash,NetValue,Action
2025-05-20 15:30:00,-0.099,70.76,70.77,70.76,4812.0,0,0.0,0.0,Hold
2025-05-20 15:31:00,-0.107,70.67,70.67,70.66,2854.0,0,0.0,0.0,Hold
2025-05-20 15:32:00,-0.116,70.65,70.65,70.64,3062.0,0,0.0,0.0,Hold
2025-05-20 15:33:00,-0.105,70.76,70.76,70.75,2594.0,0,0.0,0.0,Hold
2025-05-20 15:34:00,-0.118,70.62,70.63,70.62,2018.0,0,0.0,0.0,Hold
2025-05-20 15:35:00,-0.136,70.58,70.59,70.58,3444.0,0,0.0,0.0,Hold
2025-05-20 15:36:00,-0.159,70.53,70.54,70.53,2430.0,0,0.0,0.0,Hold
2025-05-20 15:37:00,-0.182,70.51,70.51,70.5,3278.0,0,0.0,0.0,Hold
2025-05-20 15:38:00,-0.163,70.73,70.74,70.73,3599.0,0,0.0,0.0,Hold
2025-05-20 15:39:00,-0.149,70.72,70.72,70.71,3476.0,0,0.0,0.0,Hold
2025-05-20 15:40:00,-0.164,70.56,70.57,70.56,2969.0,0,0.0,0.0,Hold
2025-05-20 15:41:00,-0.18,70.53,70.54,70.53,3775.0,0,0.0,0.0,Hold
2025-05-20 15:42:00,-0.175,70.64,70.64,70.63,2202.0,0,0.0,0.0,Hold
2025-05-20 15:43:00,-0.171,70.63,70.63,70.62,1362.0,0,0.0,0.0,Hold
2025-05-20 15:44:00,-0.178,70.57,70.58,70.57,1128.0,0,0.0,0.0,Hold
2025-05-20 15:45:00,-0.181,70.58,70.59,70.58,1974.0,0,0.0,0.0,Hold
2025-05-20 15:46:00,-0.206,70.44,70.45,70.44,1955.0,0,0.0,0.0,Hold
2025-05-20 15:47:00,-0.284,70.08,70.08,70.07,5864.0,0,0.0,0.0,Hold
2025-05-20 15:48:00,-0.315,70.27,70.27,70.26,3347.0,0,0.0,0.0,Hold
2025-05-20 15:49:00,-0.356,70.16,70.17,70.16,2323.0,0,0.0,0.0,Hold
2025-05-20 15:50:00,-0.396,70.11,70.12,70.11,2009.0,0,0.0,0.0,Hold
2025-05-20 15:51:00,-0.407,70.23,70.23,70.22,5591.0,0,0.0,0.0,Hold
