trial,col_signal,sign_thresh,reset_peak,rsi_min_thresh,rsi_max_thresh,vol_thresh,adx_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,avg_daily_pnl
21,ema_21,ema_50,0,50,71,5.31856,55.41374,4.89441,-14.13261,0.90268,0.2924,5.45084,15.29169
0,ema_21,ema_50,0,28,100,4.36367,54.01882,1.94196,3.41236,0.54515,0.18754,14.5674,14.85993
9,ema_21,ema_50,0,26,80,3.65408,51.97129,3.12006,-13.76354,0.99121,0.63476,4.05407,14.14733
14,ema_9,ema_21,0,34,95,3.37776,58.49363,1.28744,1.09247,0.46326,0.95172,12.2389,13.58881
11,ema_21,ema_50,0,36,78,3.9998,53.83872,3.87873,-2.50726,0.31172,0.10383,9.87853,13.24013
13,ema_21,ema_50,0,54,89,5.73829,45.47118,1.40475,-0.88243,0.85906,0.83689,3.35385,12.69447
18,ema_9,ema_21,0,46,58,3.53869,52.2264,1.26887,-11.2119,0.21997,0.53741,9.61113,10.002
1,ema_9,ema_21,0,21,73,3.64959,50.38797,2.98737,-7.49508,0.1613,0.23732,10.11396,9.43362
12,ema_21,ema_50,0,33,64,4.70839,53.99448,1.32106,-5.00526,0.28301,0.22029,6.17138,9.36298
19,ema_21,ema_50,0,29,98,4.69912,48.47912,3.68101,1.40628,0.73602,0.18473,14.2354,8.68787
20,ema_21,ema_50,0,20,85,3.95706,48.59394,3.28102,-3.42579,0.24114,0.53225,4.68472,8.40463
2,ema_21,ema_50,0,38,65,3.82979,45.4551,1.00967,-3.14521,0.77718,0.46296,13.06171,5.62536
3,ema_9,ema_21,0,26,51,4.60332,42.15939,5.24066,-14.81542,0.22465,0.99951,9.73063,4.37236
6,ema_9,ema_21,0,35,69,4.64912,46.26601,1.57071,0.92952,0.4625,0.64312,8.44078,4.0005
5,ema_9,ema_21,0,30,78,3.69001,49.81281,2.54011,-1.31573,0.85728,0.4911,14.56062,3.74075
17,ema_9,ema_21,0,29,94,5.7627,37.81713,2.69818,-4.01341,0.48858,0.99214,11.30127,-2.41439
8,ema_9,ema_21,0,23,80,5.93908,35.71661,5.16665,-16.23996,0.7247,0.24677,6.88185,-3.24277
7,ema_9,ema_21,0,29,52,5.08552,43.86015,2.41834,-6.3365,0.57417,0.74965,6.70608,-4.01252
16,ema_9,ema_21,0,22,84,4.00887,33.57105,1.51569,-4.85706,0.21723,0.14464,11.3046,-6.75308
10,ema_21,ema_50,0,25,89,5.81391,34.64584,3.55719,2.55302,0.88937,0.1444,3.13017,-6.76748
4,ema_9,ema_21,0,22,89,4.92795,32.841,1.21937,-19.34933,0.45187,0.98377,14.10153,-19.8887
15,ema_21,ema_50,0,34,76,3.84292,31.56041,2.31358,-14.31689,0.60579,0.97485,6.66045,-41.86461
