trial,min_prof_thr,max_down_prop,gain_tightfact,tau_time,tau_dur,thresh_mode,reset_peak,rsi_min_thresh,rsi_max_thresh,adx_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,avg_daily_pnl
1537,0.01126,0.00544,0.05605,9.00006,6.25263,median_nonzero,0,0,71,7.18961,0.20003,-1.87947,0.00102,0.01263,12.57153,153261925530.23605
926,0.01109,0.00439,0.04973,9.00197,6.23025,median_nonzero,0,1,72,7.12091,0.20011,-1.94564,0.00162,0.01138,21.50626,152981123914.1697
774,0.01275,0.00516,0.05026,9.00085,6.19588,median_nonzero,0,1,74,7.09317,0.20007,-2.2701,0.00143,0.0095,20.4385,152820949597.5196
1188,0.01154,0.00527,0.05786,9.00121,6.27878,median_nonzero,0,0,74,7.23388,0.20017,-2.00857,0.00189,0.01125,10.4856,152783222644.70605
1528,0.01251,0.00523,0.05697,9.0008,6.24252,median_nonzero,0,0,71,7.18376,0.20014,-1.94976,0.00115,0.01354,12.38849,152758438291.44324
594,0.01003,0.00498,0.05772,9.00012,6.22614,median_nonzero,0,0,76,7.26564,0.20351,-2.0723,0.00128,0.01193,24.12829,152738873667.10522
1209,0.01072,0.00506,0.05135,9.0007,6.28864,median_nonzero,0,1,74,7.22287,0.20005,-1.99393,0.0025,0.00885,14.21379,152695448445.11438
1091,0.01073,0.00483,0.05224,9.00105,6.32824,median_nonzero,0,1,71,7.18938,0.20005,-2.00121,0.00157,0.00988,19.64728,152661733936.70584
1038,0.01103,0.00494,0.05105,9.00025,6.31714,median_nonzero,0,1,71,7.19099,0.20001,-1.94881,0.00191,0.01065,15.57041,152651427817.0416
1006,0.01002,0.00532,0.05422,9.00159,6.34659,median_nonzero,0,1,70,7.22526,0.20019,-1.91338,0.00191,0.01212,18.3723,152642869986.06247
1026,0.01106,0.00501,0.05383,9.00029,6.28482,median_nonzero,0,1,72,7.17591,0.20007,-2.00814,0.00204,0.01192,17.17481,152619772358.91638
934,0.01095,0.005,0.05079,9.00192,6.28416,median_nonzero,0,1,72,7.17997,0.20012,-1.98659,0.00167,0.01231,21.5971,152606964038.90582
974,0.01086,0.00551,0.05188,9.00036,6.32907,median_nonzero,0,1,71,7.21557,0.20019,-1.91544,0.00211,0.0123,19.26506,152533442161.2986
1163,0.01132,0.00516,0.05114,9.00047,6.30185,median_nonzero,0,1,72,7.19846,0.20011,-1.82188,0.00223,0.00895,13.39909,152473981918.69016
939,0.01144,0.00512,0.05121,9.0004,6.32749,median_nonzero,0,1,71,7.18114,0.20008,-1.9503,0.00183,0.01201,20.46327,152426742396.94308
1276,0.01153,0.00468,0.05197,9.00016,6.32519,median_nonzero,0,1,76,7.11118,0.20009,-1.97909,0.0018,0.01165,12.70774,152375770574.2752
941,0.01088,0.00529,0.05148,9.00046,6.3295,median_nonzero,0,1,71,7.19055,0.20073,-1.9154,0.00178,0.01211,20.16615,152355091696.27603
582,0.01107,0.00545,0.05705,9.00172,6.23996,median_nonzero,0,0,76,7.25427,0.20498,-2.00875,0.00117,0.01249,24.2312,152331918144.63617
1114,0.01277,0.00512,0.05159,9.00044,6.24267,median_nonzero,0,1,71,7.17962,0.20024,-1.9232,0.00227,0.01077,5.98794,152329191109.50616
1147,0.01134,0.00473,0.05161,9.00016,6.30637,median_nonzero,0,1,73,7.13776,0.20002,-2.02193,0.00208,0.01035,11.2901,152322264769.70248
1108,0.01273,0.0052,0.05299,9.00003,6.23269,median_nonzero,0,1,72,7.17616,0.20008,-1.92964,0.0023,0.01038,19.16873,152318098413.99854
731,0.01061,0.00495,0.0494,9.00178,6.20407,median_nonzero,0,1,75,7.13538,0.20327,-2.13739,0.00115,0.00829,23.41777,152287326367.1897
768,0.01199,0.00492,0.05044,9.00112,6.25926,median_nonzero,0,1,75,7.11065,0.20001,-2.26883,0.00142,0.00918,21.66232,152229777593.46814
1248,0.01131,0.00479,0.05302,9.00158,6.34528,median_nonzero,0,1,75,7.21309,0.20002,-1.8841,0.00181,0.01059,14.55979,152161822728.19113
1367,0.01223,0.00457,0.0497,9.00035,6.26024,median_nonzero,0,1,70,7.12764,0.20005,-1.97745,0.00131,0.01244,19.8884,152146419881.66092
566,0.01002,0.00513,0.05701,9.00057,6.36771,median_nonzero,0,0,75,7.28891,0.20369,-1.87447,0.00144,0.01075,23.14221,152087319059.894
1307,0.01286,0.00492,0.0581,9.00038,6.33022,median_nonzero,0,1,73,7.19552,0.20008,-1.9574,0.00159,0.0113,9.54889,152087276178.56177
733,0.01072,0.00499,0.04964,9.00271,6.21521,median_nonzero,0,1,75,7.12555,0.20414,-2.24152,0.00118,0.00839,22.81704,152084613445.22556
840,0.01169,0.00446,0.05048,9.00145,6.11832,median_nonzero,0,1,76,7.0725,0.20541,-2.22449,0.00135,0.01039,20.15927,152072697820.41992
1017,0.01076,0.00516,0.05422,9.00003,6.40576,median_nonzero,0,1,72,7.15531,0.2,-1.8457,0.00185,0.0108,16.41981,152055441438.2902
944,0.01119,0.00535,0.05144,9.00083,6.3574,median_nonzero,0,1,71,7.17523,0.20012,-1.90629,0.00227,0.01244,20.09731,152025427821.40344
1130,0.0119,0.00532,0.05108,9.00119,6.22144,median_nonzero,0,1,73,7.13646,0.20015,-1.94646,0.00245,0.0098,11.45225,152008683971.46228
1200,0.01206,0.00461,0.05134,9.00073,6.26484,median_nonzero,0,1,71,7.20005,0.20009,-2.00412,0.00174,0.01169,9.75592,152000466260.8562
1443,0.01074,0.00593,0.05741,9.0001,6.34683,median_nonzero,0,1,69,7.22479,0.20011,-2.06479,0.00183,0.01108,14.54984,151988064964.58368
1536,0.01261,0.00525,0.05664,9.00041,6.17657,median_nonzero,0,0,71,7.13283,0.20644,-2.06297,0.00129,0.01448,12.09647,151976370886.119
567,0.01045,0.00521,0.05672,9.0007,6.34464,median_nonzero,0,0,75,7.2745,0.2032,-1.94495,0.00154,0.0109,22.87062,151954245102.9175
935,0.01147,0.0051,0.05125,9.00072,6.33984,median_nonzero,0,1,71,7.18216,0.20077,-1.93458,0.00226,0.01202,21.04158,151869918554.02585
1464,0.01138,0.00511,0.05647,9.00107,6.22696,median_nonzero,0,1,77,7.13384,0.20396,-1.86803,0.00135,0.01351,13.24024,151829107209.1087
852,0.01225,0.00507,0.04876,9.00088,6.11566,median_nonzero,0,1,74,7.09971,0.20384,-2.11818,0.00138,0.01022,22.13408,151778236976.52316
1343,0.01075,0.00542,0.05257,9.00119,6.22666,median_nonzero,0,1,71,7.22401,0.20657,-1.92994,0.00253,0.00896,12.58524,151758068672.9303
1503,0.01114,0.00518,0.05345,9.00061,6.17342,median_nonzero,0,1,73,7.25731,0.20349,-1.93537,0.00239,0.01338,17.58073,151743365688.93414
947,0.01141,0.00535,0.05275,9.00259,6.36302,median_nonzero,0,1,70,7.18618,0.20031,-1.91173,0.00215,0.01387,19.96047,151743098570.37393
909,0.01192,0.00436,0.05023,9.00133,6.21912,median_nonzero,0,1,72,7.06338,0.20407,-2.08487,0.0012,0.01108,21.15543,151741693685.3108
1222,0.01,0.00521,0.05136,9.00055,6.25727,median_nonzero,0,0,70,7.24922,0.20687,-2.03221,0.00164,0.01341,15.43369,151680636420.92987
1029,0.0101,0.00503,0.05442,9.00003,6.29423,median_nonzero,0,1,72,7.20783,0.20394,-2.01536,0.00177,0.01161,16.90825,151673882360.9621
1396,0.01122,0.00513,0.05367,9.00074,6.21209,median_nonzero,0,1,72,7.27028,0.2038,-1.82368,0.0023,0.01103,18.02005,151670558303.57037
1363,0.01071,0.00543,0.05146,9.00105,6.28983,median_nonzero,0,1,73,7.21012,0.20362,-2.05404,0.0022,0.00921,14.003,151663010271.01434
1007,0.01001,0.00513,0.05138,9.00116,6.3173,median_nonzero,0,1,69,7.21167,0.20655,-1.88418,0.00193,0.01136,17.07114,151660330801.1566
1172,0.01213,0.00508,0.05072,9.00149,6.30521,median_nonzero,0,1,72,7.13912,0.20008,-1.80578,0.00239,0.01004,13.3594,151642889418.0245
727,0.0107,0.00495,0.05011,9.02915,6.19096,median_nonzero,0,1,75,7.13071,0.20011,-2.22172,0.00131,0.00729,23.35634,151632006855.72894
945,0.01154,0.00536,0.05258,9.00035,6.34681,median_nonzero,0,1,71,7.1976,0.20071,-1.91505,0.00226,0.01341,20.25138,151631245122.19376
956,0.01176,0.00527,0.05288,9.00145,6.34767,median_nonzero,0,1,70,7.17901,0.20015,-1.9031,0.00219,0.01291,20.08092,151626865739.54416
1065,0.01082,0.00518,0.05085,9.0001,6.3014,median_nonzero,0,1,72,7.2198,0.20378,-1.94184,0.00215,0.01179,16.64574,151593151665.94345
957,0.01228,0.0053,0.05286,9.0016,6.32667,median_nonzero,0,1,70,7.1738,0.20019,-1.90298,0.00243,0.0127,18.52939,151538990895.7182
949,0.0116,0.00536,0.05273,9.0014,6.35997,median_nonzero,0,1,70,7.18899,0.20058,-1.90329,0.00237,0.01366,19.7184,151508922119.46442
1246,0.01071,0.00599,0.05053,9.0012,6.2229,median_nonzero,0,1,76,7.25859,0.20363,-1.92417,0.002,0.01199,15.35167,151467597554.9316
960,0.01199,0.00549,0.05321,9.00017,6.34477,median_nonzero,0,1,70,7.1871,0.20037,-1.92743,0.00243,0.01285,18.64545,151418993196.00128
1484,0.01074,0.00528,0.0517,9.00009,6.23482,median_nonzero,0,1,77,7.12879,0.20696,-2.10894,0.00117,0.01387,21.19663,151369018619.8719
930,0.01095,0.00487,0.05042,9.00082,6.32827,median_nonzero,0,1,72,7.08943,0.20381,-1.92555,0.00199,0.01316,21.4532,151364401995.73178
1493,0.01074,0.00498,0.05141,9.00075,6.19301,median_nonzero,0,1,75,7.19574,0.20686,-2.07944,0.00214,0.00809,8.70126,151357854403.1257
1195,0.01178,0.00554,0.05827,9.00114,6.2844,median_nonzero,0,0,74,7.23844,0.20357,-2.06131,0.00223,0.01113,10.72181,151350277754.45212
1231,0.0127,0.00547,0.05195,9.00001,6.29003,median_nonzero,0,0,74,7.26196,0.2035,-1.95753,0.00309,0.0088,20.03474,151310994470.7986
881,0.01191,0.00509,0.05061,9.00031,6.26594,median_nonzero,0,1,74,7.12734,0.20341,-2.08827,0.001,0.01099,21.71016,151226006434.67783
1344,0.01224,0.00517,0.05132,9.00026,6.32404,median_nonzero,0,0,75,7.17903,0.20375,-1.87307,0.00147,0.01248,10.52786,151214293356.72348
772,0.01284,0.00514,0.04948,9.00054,6.17589,median_nonzero,0,1,74,7.13218,0.20697,-2.18881,0.00146,0.00841,20.67619,151198213582.30893
1474,0.01078,0.00486,0.05121,9.00044,6.15038,median_nonzero,0,1,59,7.23079,0.20722,-2.02713,0.00199,0.00805,15.42612,151184151293.8459
1441,0.01238,0.00483,0.05148,9.00092,6.26366,median_nonzero,0,1,76,7.17786,0.20399,-1.98888,0.00156,0.00898,11.76474,151112397180.08865
1204,0.01135,0.00521,0.0508,9.00046,6.17212,median_nonzero,0,0,70,7.13692,0.20994,-1.97499,0.00207,0.00811,11.96973,151076882151.68982
389,0.01087,0.00398,0.05722,9.00013,6.24292,median_nonzero,0,0,71,7.94416,0.20435,-1.6779,0.00535,0.02053,22.89544,151075292228.631
958,0.01215,0.00548,0.05315,9.00109,6.38775,median_nonzero,0,1,70,7.17849,0.20041,-1.89345,0.00231,0.01273,17.89119,151074078092.11703
775,0.0133,0.00473,0.051,9.00162,6.23203,median_nonzero,0,1,74,7.09737,0.20035,-2.3328,0.00135,0.00937,21.27342,151068857553.4929
741,0.01076,0.0048,0.05011,9.00221,6.21212,median_nonzero,0,2,75,7.1011,0.20004,-2.26447,0.00119,0.00849,21.84921,151064630027.3626
1103,0.0116,0.00525,0.05731,9.00023,6.3438,median_nonzero,0,1,73,7.18986,0.20403,-1.9525,0.00153,0.01329,20.74178,151063809724.03067
990,0.01305,0.00541,0.05334,9.00041,6.3913,median_nonzero,0,1,70,7.16638,0.20004,-1.91933,0.00212,0.01196,20.02042,151045141072.52786
1132,0.01226,0.00519,0.05071,9.00034,6.222,median_nonzero,0,1,73,7.14494,0.2039,-1.97599,0.00245,0.00985,8.67731,150982685356.73065
1024,0.01006,0.00544,0.05194,9.00053,6.4068,median_nonzero,0,1,72,7.17519,0.20384,-1.97417,0.00175,0.01073,17.32779,150976928664.7371
