trial,min_prof_thr,max_down_prop,gain_tightfact,tau_time,tau_dur,thresh_choice,reset_peak,rsi_min_thresh,rsi_max_thresh,adx_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,avg_daily_pnl
429,0.00183,0.00403,0.02501,5.40005,6.3577,median_nonzero,0,1,87,7.91864,0.08036,-0.3379,0.00638,0.00669,9.16297,1749514181675.5522
291,0.00109,0.00395,0.025,5.40007,6.313,median_nonzero,0,1,86,7.93828,0.08002,-1.45803,0.00653,0.00676,6.18079,1748736638533.3337
418,0.00112,0.00393,0.02524,5.40008,6.35191,median_nonzero,0,1,87,7.91776,0.08025,-0.94824,0.00654,0.00684,8.16766,1748661947825.82
197,0.0012,0.00341,0.02548,5.40007,6.34418,median_nonzero,0,1,87,7.94644,0.08051,-1.60142,0.00655,0.00684,5.95648,1748590288858.6238
348,0.00111,0.00341,0.02544,5.40005,6.30698,median_nonzero,0,1,86,7.94375,0.08039,-1.58372,0.00652,0.00687,4.68449,1748420230314.085
184,0.00106,0.00352,0.02572,5.40009,6.34133,median_nonzero,0,1,86,7.93383,0.08001,-1.64269,0.00649,0.00673,5.77578,1748386213904.0896
353,0.00121,0.00349,0.02567,5.40003,6.30554,median_nonzero,0,1,86,7.92171,0.08038,-1.7274,0.00652,0.00682,6.80487,1748349435131.1548
360,0.00118,0.00342,0.02542,5.4001,6.30675,median_nonzero,0,1,86,7.91886,0.08041,2.40549,0.00661,0.00679,5.90564,1748337111224.3594
180,0.00117,0.00353,0.02562,5.40002,6.32782,median_nonzero,0,1,87,7.92791,0.08055,-1.38643,0.00653,0.00692,6.08235,1748316139106.7864
266,0.00113,0.00351,0.02501,5.40001,6.30085,median_nonzero,0,1,87,7.93093,0.08003,-1.08502,0.00697,0.00675,5.22375,1748316109292.8047
385,0.00107,0.00345,0.02535,5.40016,6.34975,median_nonzero,0,1,87,7.96097,0.08037,-1.07058,0.00655,0.00674,4.28214,1748207436449.3972
224,0.00118,0.00353,0.02548,5.40002,6.31506,median_nonzero,0,1,86,7.92987,0.08001,-1.3074,0.00657,0.00672,5.99507,1748138429733.17
265,0.00117,0.0034,0.02559,5.40014,6.34877,median_nonzero,0,1,87,7.93344,0.08032,-1.15687,0.00668,0.00675,5.32546,1748071805451.8394
340,0.00116,0.00354,0.02524,5.40002,6.36172,median_nonzero,0,1,86,7.93152,0.08037,-1.56901,0.00649,0.00681,4.99752,1748027944988.4788
417,0.00116,0.00387,0.02526,5.40027,6.35154,median_nonzero,0,1,86,7.92672,0.08031,-1.19719,0.00656,0.00677,5.9608,1748001526255.2722
