trial,min_prof_thr,max_down_prop,gain_tightfact,tau_time,tau_dur,thresh_choice,reset_peak,rsi_min_thresh,rsi_max_thresh,adx_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,avg_daily_pnl,thresh_window,thresh_value
12,0.00339,0.00327,0.03916,8.04728,6.1421,median,0,4,94,8.56082,0.14218,0.18351,0.00338,0.00322,15.08565,214511643147.06104,,
4,0.00165,0.00322,0.03804,8.01294,6.32803,mean,0,5,96,8.62054,0.13388,0.10671,0.00484,0.00101,20.44446,189994714751.16843,,
5,0.00269,0.00309,0.0322,8.36007,5.94281,median,0,0,86,8.89507,0.15268,0.6751,0.00312,0.00264,15.96901,187502727820.3192,,
11,0.00174,0.00317,0.03048,8.46729,6.5339,median,0,2,100,8.57257,0.15198,0.07708,0.00357,0.00106,17.7735,170602701293.1065,,
2,0.00799,0.00249,0.05191,9.30044,5.89426,median_nonzero,0,5,81,8.82743,0.11614,-1.1727,0.00172,0.00356,20.35107,149776472780.87115,,
1,0.00401,0.00279,0.04741,8.39867,6.76409,mean,0,3,89,8.93606,0.1345,-1.27283,0.00911,0.00799,20.47302,148230870965.783,,
10,0.00102,0.00443,0.03545,8.63661,6.46322,mean,0,4,70,8.51621,0.15407,-0.42286,0.00686,0.0014,24.03098,125480648183.92432,,
8,0.00642,0.0038,0.0586,9.11557,6.09192,roll_median,0,3,83,7.66378,0.11068,-2.85046,0.00732,0.00975,7.29976,46098937556.12312,129.0,
7,0.00641,0.00379,0.05922,8.26356,6.33418,numeric,0,1,79,8.24434,0.17631,0.86302,0.00495,0.00924,12.1001,414266169.25473,,0.43593
9,0.0082,0.00282,0.04125,8.17048,6.84712,roll_p90,0,0,99,8.94624,0.11833,-2.23884,0.00998,0.00857,22.914,4251856.06472,152.0,
3,0.00808,0.00241,0.04969,9.12102,5.88984,p95,0,0,82,8.8786,0.17813,0.92192,0.0049,0.00731,14.97479,223772.65773,,
6,0.00866,0.00372,0.05831,8.0805,5.738,roll_p95,0,1,85,7.96328,0.12701,0.70928,0.00171,0.00907,8.23172,176118.54014,165.0,
0,0.00817,0.00494,0.05113,8.90631,5.53942,p99,0,5,91,7.55675,0.12507,-0.51103,0.0098,0.00918,7.55867,1519.14434,,
