trial,min_prof_thr,max_down_prop,gain_tightfact,tau_time,tau_dur,thresh_mode,reset_peak,rsi_min_thresh,rsi_max_thresh,vol_thresh,adx_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,avg_daily_pnl,thresh_window
22,0.10794,0.31116,0.02304,531.79581,510.14035,median_nonzero,0,26,43,1.60682,17.7542,5.39418,-4.4591,0.27183,0.37708,7.30157,26725.05176,
0,1.40716,0.41443,0.04941,296.74406,478.0811,median_nonzero,1,12,40,3.48735,13.30776,2.64781,-3.36665,0.46255,0.33131,7.54087,1727.81043,
7,0.37463,0.42775,0.01443,133.78518,173.79921,mean_nonzero,1,17,79,3.88649,20.36581,2.17968,4.0415,0.10388,0.07299,3.13258,1658.62362,
1,1.08299,0.18948,0.02635,165.66614,148.06299,median_nonzero,1,6,90,0.5332,20.83586,1.40338,4.89501,0.63539,0.97139,4.92571,1610.84903,
3,1.24295,0.28415,0.0332,183.74144,34.00724,median_nonzero,0,14,95,1.368,31.64411,0.6667,3.69081,0.23215,0.88931,2.05768,1419.87951,
5,0.87365,0.22981,0.01311,31.61767,82.40556,roll_mean,0,39,66,1.37567,40.41874,5.88867,-3.59537,0.39674,0.63962,7.97786,1106.33323,46.0
20,0.44744,0.10472,0.02766,207.72634,34.99826,median_nonzero,1,27,41,5.47865,18.96969,1.24836,-4.63574,0.83967,0.35691,1.17485,1084.7943,
9,0.17195,0.41484,0.01965,45.8333,375.73241,mean_nonzero,0,47,62,3.23028,20.15912,1.20702,3.09909,0.49085,0.3345,7.04091,405.43734,
11,1.29398,0.47102,0.04236,52.08668,128.4723,mean_nonzero,0,36,98,5.42219,20.70237,1.25188,-3.50049,0.35846,0.51569,5.90625,304.66041,
19,0.71402,0.38632,0.03637,236.69085,363.70966,roll_mean,0,54,73,3.51188,14.6874,2.05813,-2.90316,0.29653,0.54356,5.43229,303.66492,96.0
10,0.9974,0.43049,0.02015,439.44905,173.81391,mean_nonzero,0,64,69,2.24221,28.68219,0.69147,2.47278,0.52035,0.97524,4.43047,232.3463,
18,0.76238,0.11695,0.01402,44.84775,246.00568,roll_mean,1,45,88,2.42021,12.10168,2.32759,3.49324,0.70524,0.55779,5.46405,227.6871,21.0
14,0.23083,0.06594,0.01313,470.5507,105.53415,roll_mean,0,6,14,2.32577,25.90007,2.95672,-2.14829,0.59011,0.86354,6.28448,205.61859,107.0
15,0.56539,0.22028,0.0038,42.19882,32.37,roll_mean,1,45,56,4.93488,26.20556,1.33342,4.97332,0.32053,0.05251,3.44752,161.88133,88.0
8,0.17189,0.11685,0.03311,115.86176,73.40722,roll_mean,1,22,91,4.16328,23.80497,1.23347,-4.46414,0.54542,0.59537,4.28349,161.17579,45.0
2,0.88732,0.16393,0.03518,78.43372,37.9027,p90,1,47,91,1.5121,34.52056,0.55443,-0.05999,0.47799,0.89779,5.36041,57.54547,
16,0.85846,0.2183,0.01487,256.45381,314.17819,mean_nonzero,1,64,71,5.79987,11.76222,2.05508,4.20193,0.67311,0.95448,0.84049,44.58258,
12,0.6473,0.27899,0.00922,109.50801,46.06292,roll_p90,0,56,86,4.47807,15.11021,1.53893,-2.15896,0.57443,0.95748,2.92263,42.40755,108.0
21,0.26304,0.15489,0.0473,75.01892,248.26595,roll_p90,0,38,77,0.71002,31.61264,2.3833,-0.181,0.39209,0.69831,1.47444,27.75513,97.0
17,1.29601,0.06844,0.01315,155.68668,473.59121,mean_nonzero,0,30,64,3.24424,43.00982,7.08226,-1.22541,0.37781,0.86022,4.03575,23.28821,
13,0.89374,0.26028,0.03612,386.00368,111.38338,roll_mean,1,20,26,2.9237,26.57812,3.29646,2.72719,0.51746,0.44883,2.47593,12.19074,29.0
6,0.99472,0.30166,0.01077,167.53108,65.59413,p90,1,55,86,2.88119,44.47425,0.5054,3.89678,0.15989,0.6808,6.66483,9.34011,
4,0.1536,0.19567,0.02494,101.92681,216.14446,roll_p90,1,50,81,3.64612,44.24944,0.51394,3.58312,0.91983,0.80322,3.58988,3.38086,64.0
