trial,col_signal,sign_thresh,reset_peak,rsi_min_thresh,rsi_max_thresh,vol_thresh,adx_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,sess_start,avg_daily_pnl
59,ema_9,ema_21,1,63,69,3.9383,35.8136,1.33438,-2.79785,0.21064,0.00027,15.6047,08:00:00,44.11396
18,ema_9,ema_21,1,18,26,4.89806,31.08316,1.78186,-0.29642,0.15687,0.00157,3.57364,08:00:00,37.99287
24,ema_9,ema_21,1,28,38,4.63549,23.83713,5.29773,-2.56128,0.12839,0.00117,11.37005,08:00:00,36.46111
42,ema_21,ema_50,1,37,72,5.56135,25.91817,2.68639,-4.12179,0.16367,0.00291,10.47331,08:00:00,24.76348
53,ema_9,ema_21,1,45,58,5.26735,32.38653,1.02079,-4.04701,0.09599,0.00261,16.91113,08:00:00,19.46113
34,ema_21,ema_50,1,57,73,4.88918,20.31997,2.39983,-3.6786,0.17448,0.00906,14.83831,08:00:00,18.83096
31,ema_9,ema_21,1,38,65,4.86064,31.70266,4.81224,0.5621,0.10669,0.00537,11.38963,08:00:00,17.0963
51,ema_9,ema_21,1,40,64,5.91105,32.5119,2.56746,-3.32431,0.13537,0.00466,11.28288,08:00:00,16.67414
28,ema_9,ema_21,1,38,63,5.9173,31.05435,2.36682,-3.45592,0.12945,0.0048,11.23221,08:00:00,15.80848
47,ema_21,ema_50,1,41,80,4.71193,28.03209,2.73102,-4.39677,0.32432,0.02859,13.67864,08:00:00,13.485
41,ema_9,ema_21,1,31,62,5.79631,28.25051,2.21649,-3.40449,0.07895,0.00374,12.55543,08:00:00,10.66815
23,ema_9,ema_21,1,24,37,4.39059,30.70672,4.4594,-0.67701,0.11678,0.02211,11.55387,08:00:00,8.80222
38,ema_21,ema_50,1,11,33,5.16972,21.351,5.60558,2.17558,0.08578,0.07956,8.41719,13:30:00,6.05695
22,ema_9,ema_21,1,17,22,4.25617,36.98096,5.1569,-0.69698,0.01237,0.00732,11.02483,08:00:00,5.24841
57,ema_9,ema_21,0,31,44,4.14576,42.39413,0.54743,1.28386,0.02935,0.03842,17.53965,13:30:00,5.07438
13,ema_9,ema_21,0,21,34,3.83092,37.01246,3.40096,-1.02918,0.0033,0.69973,9.17521,08:00:00,4.6049
16,ema_9,ema_21,0,17,18,3.54354,36.06818,2.93794,-1.54895,0.00274,0.39418,15.48052,08:00:00,4.57815
11,ema_9,ema_21,0,4,5,3.98944,38.18044,2.53519,4.82872,0.02725,0.68849,14.18911,08:00:00,3.86222
50,ema_21,ema_50,1,25,91,4.5798,39.36912,3.60391,-4.99898,0.05238,0.14526,9.75545,08:00:00,3.84323
15,ema_9,ema_21,0,23,40,5.63108,49.21282,9.82592,1.60213,0.16377,0.91258,1.65896,08:00:00,3.50123
44,ema_21,ema_50,1,54,73,4.45704,22.92754,2.81985,-4.14261,0.06177,0.04853,18.4967,08:00:00,3.31248
9,ema_21,ema_50,0,6,97,4.57212,40.21522,0.44486,-3.12056,0.04466,0.62731,9.7413,08:00:00,3.19003
54,ema_9,ema_21,1,46,59,5.21689,28.56875,0.9455,-4.34652,0.04923,0.07739,16.85792,08:00:00,2.98569
52,ema_9,ema_21,1,37,70,5.58321,33.88604,3.33538,-3.15996,0.14082,0.05682,15.9165,08:00:00,1.07071
32,ema_9,ema_21,1,38,66,5.0499,28.4111,5.26215,0.55072,0.10035,0.09608,13.04643,08:00:00,1.018
7,ema_9,ema_21,0,34,69,1.4926,42.10942,1.49712,2.84584,0.07341,0.50926,17.41029,13:30:00,0.96222
43,ema_21,ema_50,1,27,71,5.4641,25.75042,1.49216,-4.83842,0.18017,0.11323,10.34743,08:00:00,-0.00507
33,ema_9,ema_21,1,47,63,5.47866,32.56452,0.68105,1.87454,0.22162,0.28006,10.67289,08:00:00,-0.09173
10,ema_21,ema_50,1,50,100,4.61174,48.714,0.32042,-1.78931,0.29743,0.77451,13.18749,08:00:00,-0.27633
58,ema_9,ema_21,1,35,75,5.21599,32.89744,1.18619,3.75252,0.59058,0.06995,9.18378,08:00:00,-1.30277
27,ema_9,ema_21,1,27,39,5.4182,30.88016,4.0319,-2.27595,0.29969,0.06122,0.30824,08:00:00,-1.64432
19,ema_9,ema_21,1,28,43,5.29812,30.42068,1.76351,-0.08297,0.15327,0.866,3.72938,08:00:00,-1.86148
55,ema_9,ema_21,1,8,19,5.01248,26.61284,0.74002,-2.0403,0.10257,0.62587,14.58093,08:00:00,-1.96583
12,ema_9,ema_21,0,4,6,4.13269,35.18274,3.05546,4.9453,0.26203,0.78348,13.96766,08:00:00,-2.05355
46,ema_21,ema_50,1,33,76,4.03809,16.02289,4.44971,-2.43721,0.16738,0.45584,8.70137,13:30:00,-5.22821
40,ema_21,ema_50,1,35,51,4.79793,18.5426,3.64698,0.17468,0.35571,0.19811,19.8278,13:30:00,-5.47837
21,ema_9,ema_21,1,17,28,3.71875,34.24813,2.0692,-1.31233,0.1307,0.41222,8.21144,08:00:00,-6.73087
49,ema_21,ema_50,1,20,60,5.6332,25.75994,6.33881,-3.81587,0.76054,0.04831,5.46914,08:00:00,-7.68542
56,ema_9,ema_21,1,44,66,4.86147,23.25759,1.63936,-3.87433,0.18478,0.11325,18.48586,08:00:00,-11.96823
26,ema_9,ema_21,1,41,50,4.69027,23.56638,7.05185,0.73941,0.20257,0.23648,11.92732,08:00:00,-12.5648
35,ema_21,ema_50,1,59,73,4.87582,20.37209,8.14775,-4.01421,0.28614,0.09607,14.78698,08:00:00,-15.31919
