trial,tc_id,reset_peak,rsi_thresh,atr_mult,vwap_atr_mult,invest_frac,buy_factor,sell_factor,trailstop_pct,sess_start,avg_daily_pnl
12,tc_001,1,57,14.83818,-1.53799,0.15152,0.43113,0.02014,0.25726,14:30:00,52.36698
5,tc_001,1,48,1.91354,-2.83838,0.03936,0.34274,0.01785,0.30594,14:30:00,41.15705
11,tc_001,1,45,10.31577,-1.17087,0.14563,0.4139,0.03045,0.21777,14:30:00,36.41627
2,tc_002,1,45,8.63293,-0.75148,0.12517,0.35428,0.05865,0.21356,14:30:00,7.03752
7,tc_002,1,60,5.43972,-1.05472,0.06469,0.19269,0.13021,0.31999,14:30:00,-4.93429
9,tc_002,1,64,7.70618,-2.2767,0.07482,0.11478,0.07025,0.21545,13:30:00,-11.76894
0,tc_002,1,49,13.71794,-3.70269,0.02878,0.12433,0.07988,0.10627,14:30:00,-19.42584
6,tc_002,1,43,3.37427,-2.81704,0.10512,0.32977,0.11006,0.3429,13:30:00,-26.72346
3,tc_001,1,49,3.02129,-3.78514,0.02098,0.33067,0.11428,0.27249,13:30:00,-30.87507
10,tc_001,0,41,1.62609,0.15659,0.04524,0.44609,0.01062,0.28201,14:30:00,-34.43979
1,tc_002,0,53,4.85152,-3.0816,0.03981,0.1673,0.10665,0.16268,14:30:00,-56.1635
4,tc_002,0,48,5.9142,-2.02438,0.02082,0.25148,0.11303,0.11008,13:30:00,-61.02095
8,tc_002,0,53,2.19821,0.90045,0.02995,0.28893,0.13328,0.35,14:30:00,-61.07289
