trial,col_signal,sign_thresh,reset_peak,rsi_thresh,atr_mult,vwap_atr_mult,invest_frac,buy_factor,sell_factor,trailstop_pct,sess_start,avg_daily_pnl
2084,ema_9,ema_21,1,80,12.3351,0.87222,0.00517,0.2898,0.45551,51.27973,13:30:00,56.11778
314,ema_9,ema_21,1,80,12.31932,0.07398,0.0078,0.0146,0.51657,17.14596,13:30:00,54.64293
1091,ema_9,ema_21,1,80,13.3807,1.40632,0.04244,0.02317,0.50643,23.249,13:30:00,53.68479
1842,ema_9,ema_21,1,78,12.63508,0.35366,0.01133,0.03508,0.46039,15.04539,13:30:00,53.35643
1961,ema_9,ema_21,1,80,12.66613,-0.06406,0.0364,0.03888,0.64736,31.11334,13:30:00,52.83774
1475,ema_9,ema_21,1,76,13.25265,0.64643,0.02785,0.01911,0.58537,21.49644,13:30:00,52.68912
1928,ema_9,ema_21,1,71,12.3288,1.01438,0.01279,0.00389,0.54728,36.60598,13:30:00,52.55899
1720,ema_9,ema_21,1,77,12.78432,-0.53518,0.00888,0.02158,0.59522,29.89149,13:30:00,51.84676
1524,ema_9,ema_21,1,70,12.75296,0.39261,0.00966,0.00953,0.53326,5.55446,13:30:00,51.21656
1295,ema_9,ema_21,1,76,12.87924,1.80374,0.02053,0.01938,0.55376,29.77832,13:30:00,50.92527
1411,ema_9,ema_21,1,80,12.40769,-1.41051,0.01289,0.00456,0.64392,17.05685,13:30:00,50.69236
579,ema_9,ema_21,1,76,13.42563,0.15241,0.01191,0.02642,0.62301,26.54009,13:30:00,50.68409
758,ema_9,ema_21,1,78,17.61359,1.26674,0.04154,0.00127,0.91381,43.13207,14:30:00,50.41238
1629,ema_9,ema_21,1,73,12.27328,1.17138,0.02,0.02341,0.52185,30.47145,13:30:00,49.38461
1306,ema_9,ema_21,1,74,13.32517,-0.16797,0.03741,0.00957,0.60424,34.47005,13:30:00,49.37954
1043,ema_9,ema_21,1,80,12.28112,0.73488,0.01475,0.06823,0.6052,28.43243,13:30:00,49.12065
1522,ema_9,ema_21,1,76,13.27519,0.50538,0.01538,0.04179,0.47569,15.52365,13:30:00,48.96685
1431,ema_9,ema_21,1,74,12.35137,-2.06694,0.02403,0.0399,0.55405,20.8824,13:30:00,48.85436
1141,ema_9,ema_21,1,80,12.57281,2.58043,0.04591,0.00827,0.38637,16.01337,13:30:00,48.61535
830,ema_9,ema_21,1,72,12.48039,0.15607,0.02989,0.01865,0.86749,51.79764,13:30:00,48.39092
666,ema_9,ema_21,1,66,12.59708,0.98687,0.02253,0.00273,0.72457,16.83282,13:30:00,48.37341
271,ema_9,ema_21,1,79,14.47058,1.50775,0.00799,0.17536,0.6323,29.59203,13:30:00,47.98255
1991,ema_9,ema_21,1,80,11.52381,0.4778,0.0228,0.0881,0.55547,21.77666,13:30:00,47.81748
573,ema_9,ema_21,1,71,12.53696,2.34629,0.00599,0.01483,0.39012,17.52599,13:30:00,47.71864
389,ema_9,ema_21,1,77,12.62831,0.54176,0.00502,0.27251,0.36751,44.01416,13:30:00,47.57528
593,ema_9,ema_21,1,70,12.51359,0.51876,0.00577,0.00891,0.39443,36.37577,13:30:00,46.96037
1576,ema_9,ema_21,1,77,13.18955,0.14256,0.01496,0.03967,0.4842,21.07018,13:30:00,46.94572
1686,ema_9,ema_21,1,80,11.62462,0.34158,0.0107,0.05254,0.64472,33.66124,13:30:00,46.62567
1790,ema_9,ema_21,1,77,11.69648,0.68566,0.01426,0.00336,0.45064,15.30211,13:30:00,46.30682
376,ema_9,ema_21,1,73,13.2917,1.46702,0.0055,4e-05,0.39915,16.63356,13:30:00,46.16987
438,ema_9,ema_21,1,74,17.66888,2.22147,0.01154,0.04909,0.95195,46.98731,14:30:00,45.82664
2052,ema_9,ema_21,1,71,11.57872,1.56397,0.00938,0.00114,0.5217,36.87773,13:30:00,45.76129
325,ema_9,ema_21,1,79,11.77456,0.37698,0.01255,0.00891,0.49628,24.47697,13:30:00,45.67712
1246,ema_9,ema_21,1,75,13.53528,2.15103,0.01885,0.05472,0.58503,33.11093,13:30:00,45.65189
1935,ema_9,ema_21,1,68,12.85235,1.0268,0.0139,0.01884,0.45702,33.73321,13:30:00,45.34746
1670,ema_9,ema_21,1,71,12.98669,1.84214,0.03587,0.0347,0.4592,19.22872,13:30:00,44.93104
993,ema_9,ema_21,1,80,17.89155,-0.47162,0.0053,0.25686,0.95667,58.8481,14:30:00,44.82331
1960,ema_9,ema_21,1,80,12.19924,-0.25223,0.0092,0.11175,0.54239,34.33332,13:30:00,44.71123
1252,ema_9,ema_21,1,74,12.122,1.11261,0.00978,0.01456,0.52462,15.83231,13:30:00,44.70324
1705,ema_9,ema_21,1,76,12.53773,-0.56853,0.02061,0.03102,0.41197,17.77088,13:30:00,44.70256
481,ema_9,ema_21,1,80,17.83089,2.70926,0.03819,0.07996,0.98562,38.90818,14:30:00,44.42164
1429,ema_9,ema_21,1,76,12.84425,-1.26517,0.02263,0.01049,0.52959,30.55757,13:30:00,44.19424
1227,ema_9,ema_21,1,80,13.96703,0.51371,0.00906,0.15113,0.63478,19.49278,14:30:00,43.72278
1225,ema_9,ema_21,1,70,11.62695,0.22309,0.01215,0.02414,0.59823,26.97287,13:30:00,43.60908
587,ema_9,ema_21,1,77,11.29076,1.852,0.00529,0.06467,0.38098,26.68285,13:30:00,43.58039
1806,ema_9,ema_21,1,68,13.36209,-1.38514,0.01663,0.00747,0.63215,18.3438,13:30:00,43.49948
839,ema_9,ema_21,1,78,11.09729,1.15281,0.0094,0.10347,0.34588,29.2519,13:30:00,43.44146
1558,ema_9,ema_21,1,80,15.05991,2.69694,0.01634,0.07834,0.55491,19.55189,13:30:00,43.32225
274,ema_9,ema_21,1,79,14.18998,2.57027,0.01565,0.01675,0.69483,29.45274,13:30:00,43.26608
2067,ema_9,ema_21,1,66,13.49765,2.60658,0.01347,0.05271,0.64104,38.65174,13:30:00,43.2168
436,ema_9,ema_21,1,80,12.55291,2.59915,0.00572,0.14082,0.28985,25.74504,13:30:00,43.19533
1876,ema_9,ema_21,1,79,12.89652,1.24358,0.01697,0.18024,0.67487,26.24734,13:30:00,42.99968
