trial,col_signal,sign_thresh,reset_peak,rsi_min_thresh,rsi_max_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,sess_start,avg_daily_pnl
358,ema_9,ema_21,1,99,135,18.43317,7.5835,0.15661,0.03037,67.19352,13:30:00,72.80872
350,ema_9,ema_21,1,99,141,17.98689,6.77475,0.18086,0.03751,71.04871,13:30:00,71.87724
304,ema_9,ema_21,1,99,196,19.17776,5.63083,0.23105,0.03023,22.83122,13:30:00,71.06761
342,ema_9,ema_21,1,99,156,20.44724,6.45283,0.19815,0.03748,65.11261,13:30:00,70.69455
299,ema_9,ema_21,1,99,174,19.74445,3.02074,0.26722,0.0309,22.80073,13:30:00,68.57849
344,ema_9,ema_21,1,99,141,16.98627,6.3697,0.16726,0.01917,64.06792,13:30:00,68.05207
345,ema_9,ema_21,1,99,140,17.70406,6.34375,0.16312,0.0182,65.11373,13:30:00,66.58782
340,ema_9,ema_21,1,99,158,21.41343,9.91565,0.22773,0.02525,66.66767,13:30:00,65.61263
307,ema_9,ema_21,1,99,202,23.79528,6.65491,0.22224,0.02991,22.13381,13:30:00,65.03037
352,ema_9,ema_21,1,99,148,18.42482,6.45264,0.17937,0.01732,68.01666,13:30:00,64.09916
347,ema_9,ema_21,1,99,150,18.61783,6.60496,0.13983,0.01588,64.25167,13:30:00,63.85699
206,ema_9,ema_21,1,99,111,20.70749,-5.91114,0.39005,0.07354,23.51182,13:30:00,61.94409
355,ema_9,ema_21,1,99,145,16.96411,7.56554,0.19178,0.01392,63.08492,13:30:00,60.29465
313,ema_9,ema_21,1,99,193,23.86918,6.94425,0.1745,0.02181,70.64527,13:30:00,60.2561
339,ema_9,ema_21,1,99,141,21.24941,6.39893,0.23571,0.01991,67.63633,13:30:00,59.76438
198,ema_9,ema_21,1,99,105,19.99859,-6.83977,0.42101,0.08543,22.55641,13:30:00,59.1634
326,ema_9,ema_21,1,99,171,20.22561,6.75138,0.2112,0.0938,68.08361,13:30:00,59.05679
328,ema_9,ema_21,1,99,160,20.17202,6.94198,0.18626,0.09364,68.03681,13:30:00,58.09305
329,ema_9,ema_21,1,99,161,20.65168,6.90722,0.19636,0.09408,67.51313,13:30:00,58.01954
197,ema_9,ema_21,1,99,106,19.94079,-6.20195,0.41509,0.09934,23.68453,13:30:00,56.99686
201,ema_9,ema_21,1,99,107,20.26166,-6.75462,0.39151,0.10855,24.39103,13:30:00,56.93232
203,ema_9,ema_21,1,99,107,20.15204,-6.74399,0.40229,0.10922,21.00711,13:30:00,56.67267
316,ema_9,ema_21,1,99,152,22.34811,6.43065,0.20491,0.0174,67.48827,13:30:00,56.46754
335,ema_9,ema_21,1,99,156,20.74584,9.42687,0.15948,0.09327,76.66866,13:30:00,56.436
202,ema_9,ema_21,1,99,107,20.72201,-6.75875,0.459,0.10164,21.82821,13:30:00,55.95158
321,ema_9,ema_21,1,99,170,22.36679,6.44723,0.22387,0.01675,74.5596,13:30:00,54.97089
332,ema_9,ema_21,1,99,174,20.38441,6.48919,0.22635,0.11014,75.9948,13:30:00,54.34624
301,ema_9,ema_21,1,99,192,21.77116,5.77819,0.25811,0.13718,79.18036,13:30:00,53.0401
283,ema_9,ema_21,1,98,110,25.80455,0.73693,0.26991,0.06861,8.62685,13:30:00,50.61496
302,ema_9,ema_21,1,99,158,19.23745,-0.7911,0.23851,0.1398,21.95266,13:30:00,50.57729
271,ema_9,ema_21,1,98,121,28.54681,-7.73521,0.29783,0.18758,14.02802,13:30:00,49.84687
196,ema_9,ema_21,1,99,107,16.41905,-6.78471,0.41959,0.16246,22.82838,13:30:00,49.59371
243,ema_9,ema_21,1,98,110,22.73567,-8.1161,0.37685,0.1357,16.17876,13:30:00,49.49424
289,ema_9,ema_21,1,98,119,25.4608,-0.45521,0.31937,0.15064,11.06892,13:30:00,48.65306
244,ema_9,ema_21,1,98,110,26.49591,-8.3656,0.37292,0.13704,15.86114,13:30:00,48.64337
242,ema_9,ema_21,1,98,110,22.69474,-8.21203,0.39635,0.14047,15.93151,13:30:00,48.43816
235,ema_9,ema_21,1,98,108,23.70228,-8.17568,0.35048,0.12625,17.48389,13:30:00,48.30452
264,ema_9,ema_21,1,98,105,27.30755,-8.02616,0.30799,0.13957,12.46256,13:30:00,47.9563
276,ema_9,ema_21,1,98,111,19.81027,-8.26796,0.35823,0.06681,18.60935,13:30:00,47.8071
247,ema_9,ema_21,1,98,110,24.35641,-8.66029,0.33548,0.14221,11.31449,13:30:00,47.62147
270,ema_9,ema_21,1,98,115,22.48927,-7.89034,0.35332,0.19381,16.05562,13:30:00,47.57644
224,ema_9,ema_21,1,98,114,22.4843,-6.92683,0.39278,0.07894,15.67228,13:30:00,47.47516
230,ema_9,ema_21,1,98,102,23.64341,-8.01281,0.38028,0.13671,16.09291,13:30:00,47.28709
