trial,min_prof_thr,max_down_prop,gain_tightfact,tau_time,tau_dur,thresh_mode,reset_peak,rsi_min_thresh,rsi_max_thresh,vol_thresh,adx_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,avg_daily_pnl
204,0.02689,0.03156,0.01125,15.00621,32.80394,median_nonzero,0,2,105,0.04894,4.59933,1.68616,-4.94804,0.08176,0.03332,5.66834,87483645267.9716
203,0.02406,0.03149,0.01137,15.01305,32.05159,median_nonzero,0,2,105,0.0495,4.62081,1.68208,-4.9669,0.08137,0.04184,5.53655,86253939174.35724
94,0.01798,0.02446,0.02564,15.2365,29.11987,median_nonzero,0,2,83,0.06255,3.39775,1.96036,-3.38031,0.06274,0.02852,6.759,84376957646.36627
162,0.02405,0.03462,0.01004,15.01502,32.36223,median_nonzero,0,2,102,0.02227,5.10257,1.72132,-5.05206,0.08093,0.06251,5.38289,84331317879.19151
93,0.01444,0.02499,0.02653,15.25197,29.08856,median_nonzero,0,2,83,0.0606,3.39932,1.79916,-2.82912,0.07594,0.03725,5.19647,82953978479.65489
148,0.02764,0.03294,0.01017,15.03318,31.23681,median_nonzero,0,3,102,0.03764,4.75286,1.6603,-5.34464,0.09056,0.08549,4.68181,81465267395.84268
189,0.02188,0.04204,0.01001,15.00393,31.50116,median_nonzero,0,3,107,0.01123,3.80669,1.63482,-5.00265,0.08893,0.07831,10.16209,81153889453.24573
202,0.02364,0.03251,0.01001,15.15702,31.48911,median_nonzero,0,2,103,0.04784,4.54389,1.80018,-4.95933,0.09479,0.04433,5.43846,80287456769.53094
153,0.03258,0.03327,0.0114,15.00321,31.30153,median_nonzero,0,3,106,0.03468,5.10864,1.58339,-5.94804,0.09217,0.11173,5.36264,80087935456.61893
133,0.01652,0.03249,0.01206,15.00539,33.48622,median_nonzero,0,4,106,0.01736,3.42021,1.76895,-4.70583,0.11079,0.07265,5.19978,79828398694.85284
134,0.02396,0.03072,0.01115,15.01182,32.99436,median_nonzero,0,4,100,0.05345,4.03104,1.75432,-3.53841,0.09065,0.07506,3.78668,79800862960.16798
155,0.03123,0.03463,0.01089,15.00082,31.50879,median_nonzero,0,3,106,0.01311,5.73117,1.58171,-5.02882,0.1083,0.10059,5.24076,79711279872.44186
89,0.03502,0.02017,0.02908,15.25214,26.68292,median_nonzero,0,2,65,0.04423,3.38753,1.98154,-1.82354,0.1141,0.05581,18.24071,79534583396.22192
149,0.02731,0.03497,0.01023,15.04307,32.49775,median_nonzero,0,3,106,0.03794,4.6137,1.65852,-5.38638,0.09211,0.08916,5.96341,78947997623.0133
147,0.02839,0.03307,0.01052,15.04962,31.66804,median_nonzero,0,3,101,0.03589,4.6969,1.77779,-5.30071,0.10724,0.08583,6.21339,78786011527.32588
131,0.02066,0.03278,0.01267,15.0307,32.67462,median_nonzero,0,4,101,0.05467,3.54046,1.74844,-4.36171,0.09951,0.06949,5.3211,78754647739.94446
171,0.02601,0.03463,0.01251,15.00095,32.43497,median_nonzero,0,4,101,0.03801,4.87644,1.69958,-4.7348,0.08506,0.09654,5.14474,78665254613.46742
183,0.02515,0.03454,0.01255,15.17898,32.31892,median_nonzero,0,2,101,0.01163,4.36085,1.6789,-5.06953,0.07071,0.10507,3.8292,78583112473.00027
151,0.0283,0.03343,0.01013,15.01354,31.58194,median_nonzero,0,3,102,0.03698,5.01003,1.61155,-5.39839,0.10801,0.09975,5.36828,78300545174.5765
135,0.02499,0.03466,0.01197,15.02717,32.52213,median_nonzero,0,4,100,0.05234,4.3549,1.74507,-4.67034,0.09213,0.0752,5.50258,78094244767.51558
195,0.01905,0.04265,0.013,15.01158,31.45896,median_nonzero,0,3,105,0.04818,3.36677,1.5515,-5.18003,0.08561,0.07943,9.60842,78086987227.6066
140,0.02854,0.0309,0.01003,15.00807,32.22047,median_nonzero,0,4,100,0.05708,4.44876,1.65292,-5.02228,0.12068,0.07196,5.50996,77755690049.42009
191,0.01971,0.04239,0.01224,15.14745,31.69409,median_nonzero,0,3,107,0.01621,3.80004,1.63137,-5.11142,0.08909,0.06666,5.10575,77636084901.26707
119,0.01841,0.0327,0.01972,15.14394,31.42478,median_nonzero,0,5,102,0.04239,3.97508,1.82549,-3.93479,0.09738,0.04916,2.43884,77617401897.30496
181,0.02899,0.03881,0.01453,15.20525,30.76943,median_nonzero,0,3,101,0.01056,4.88034,1.6289,-5.34516,0.10037,0.06811,4.30058,77599557709.92961
152,0.03276,0.03557,0.01151,15.01473,31.04244,median_nonzero,0,3,102,0.03447,5.22164,1.59433,-5.33479,0.1067,0.10202,5.37479,77433100112.1564
174,0.02935,0.03958,0.01382,15.17469,31.05497,median_nonzero,0,3,101,0.01192,4.88654,1.62223,-5.47127,0.10229,0.06706,4.44446,77276591588.93613
194,0.01574,0.04505,0.01002,15.20052,32.8086,median_nonzero,0,2,106,0.03061,4.09748,0.82448,-4.8437,0.06926,0.09265,6.21222,77267069228.25145
136,0.02574,0.03453,0.01277,15.00723,32.44012,median_nonzero,0,4,100,0.05337,4.40587,1.73254,-4.71033,0.08846,0.10001,5.04986,77135360926.31169
141,0.02914,0.03156,0.01216,15.00766,32.49133,median_nonzero,0,4,100,0.05469,4.45238,1.7005,-5.38364,0.12158,0.07431,5.73167,77015464527.60541
139,0.02666,0.03126,0.01272,15.01033,32.23731,median_nonzero,0,4,99,0.0522,4.46579,1.7694,-5.3716,0.12087,0.07328,5.684,77003676377.4882
142,0.02814,0.02926,0.01003,15.03488,31.57612,median_nonzero,0,4,99,0.06068,4.43067,1.6955,-5.32759,0.12125,0.07754,5.90625,76843005050.95964
117,0.01814,0.03213,0.01977,15.15603,31.23066,median_nonzero,0,5,101,0.04609,3.58912,1.81363,-4.01916,0.10109,0.05168,2.39461,76778941680.46811
91,0.02962,0.01956,0.02903,15.20316,28.98459,median_nonzero,0,4,76,0.04761,3.4648,1.8934,-2.23771,0.11241,0.07456,1.04109,76687447915.70987
116,0.01712,0.02842,0.02246,15.17803,31.51763,median_nonzero,0,5,103,0.04506,3.52996,1.8318,-4.02572,0.10096,0.05478,1.92881,76615384064.33247
201,0.019,0.03675,0.01283,15.11516,31.47272,median_nonzero,0,4,106,0.04306,3.99181,1.73337,-4.54051,0.10274,0.06202,5.09408,76543976936.43723
137,0.02478,0.03457,0.01254,15.04039,32.43115,median_nonzero,0,4,100,0.05513,4.25314,1.75933,-4.69493,0.08894,0.0953,5.14253,76321063457.1841
144,0.02946,0.03195,0.01196,15.00361,32.98121,median_nonzero,0,4,101,0.06009,4.79617,1.71328,-5.07253,0.12276,0.08126,6.52953,76043350275.44421
95,0.01821,0.02527,0.02576,15.57189,28.91709,median_nonzero,0,1,83,0.06358,3.15467,1.94204,-3.31521,0.07702,0.03168,4.02697,75287094989.96446
118,0.01834,0.03757,0.01886,15.19216,33.38314,median_nonzero,0,5,103,0.04285,3.59627,1.83536,-3.94798,0.08339,0.05342,1.82358,75151397767.75471
120,0.02352,0.03685,0.01987,15.1506,33.38042,median_nonzero,0,5,103,0.04244,3.96742,1.83095,-4.06563,0.0978,0.05443,2.35363,75148888452.56465
193,0.02242,0.03452,0.01195,15.42409,32.30259,median_nonzero,0,4,108,0.01016,3.77766,1.7021,-4.67072,0.07589,0.05894,5.17474,74932416127.37448
167,0.03277,0.0327,0.01154,15.26027,30.79524,median_nonzero,0,3,104,0.03591,4.61026,1.73318,-5.03777,0.08117,0.10278,5.55153,74849920287.00078
161,0.02518,0.03522,0.01039,15.22556,31.08851,median_nonzero,0,3,106,0.03769,5.01364,1.58123,-4.90288,0.08737,0.09554,4.81416,74761936332.39871
121,0.02299,0.03803,0.01996,15.14,33.61192,median_nonzero,0,5,104,0.04576,3.98373,1.83186,-4.09513,0.09888,0.05536,1.86863,74673271388.83997
115,0.01343,0.0301,0.02224,15.51345,30.2135,median_nonzero,0,5,94,0.04516,3.61693,1.82434,-3.48345,0.05794,0.0331,3.32475,74655860432.42636
192,0.0196,0.04973,0.01266,15.00661,31.61193,median_nonzero,0,3,107,0.02276,3.83529,1.64003,-4.99929,0.08875,0.10639,11.31762,74396529666.70564
188,0.02621,0.03039,0.01411,15.21421,30.05436,median_nonzero,0,4,97,0.01403,6.31666,1.73995,0.84019,0.09834,0.09116,5.85947,74139043660.21266
132,0.01635,0.03286,0.02664,15.18769,33.37749,median_nonzero,0,5,107,0.01436,3.54691,1.79283,-4.47823,0.11167,0.07576,6.61859,73775120661.88437
173,0.02481,0.03748,0.0125,15.23058,32.15794,median_nonzero,0,2,103,0.02801,4.69331,1.55019,-4.57905,0.08539,0.10818,3.95098,73587008720.55078
125,0.02057,0.03916,0.01969,15.19919,34.51658,median_nonzero,0,5,104,0.03257,3.64439,1.84111,-4.01321,0.10051,0.04852,2.28469,73572478092.63249
166,0.02837,0.03629,0.01475,15.26827,33.05656,median_nonzero,0,2,108,0.02263,5.16686,1.65579,-5.82448,0.09485,0.08878,4.50216,73568266410.28156
184,0.02599,0.03431,0.01471,15.53657,32.29109,median_nonzero,0,2,101,0.01589,4.3466,1.66847,-5.10228,0.06987,0.06084,3.75845,73455011966.59663
186,0.02469,0.0309,0.01218,15.3858,31.92437,median_nonzero,0,4,99,0.02467,3.88639,1.70449,-5.69749,0.08356,0.07279,4.66141,73430503739.30731
165,0.03053,0.03924,0.01352,15.00171,31.34624,median_nonzero,0,3,105,0.03213,4.87113,1.59387,-5.17368,0.10777,0.14913,6.29567,72918948985.94273
129,0.01996,0.04382,0.0157,15.00543,32.68776,median_nonzero,0,4,101,0.05581,3.60934,1.72814,-4.34154,0.10057,0.08963,3.30865,72916956162.19406
122,0.02263,0.03799,0.01994,15.19144,34.93656,median_nonzero,0,5,105,0.04481,3.69747,1.83734,-4.12918,0.09739,0.0568,1.75306,72807839338.9655
126,0.01609,0.03298,0.02223,15.41746,33.58135,median_nonzero,0,5,108,0.03214,4.05173,1.80449,-4.33769,0.08665,0.04826,3.74483,72431914534.8673
182,0.02786,0.03788,0.01006,15.3615,30.5751,median_nonzero,0,3,100,0.02106,4.81627,1.58285,-5.32239,0.09611,0.08136,4.87968,72280269727.96283
196,0.02393,0.04259,0.01123,15.01716,26.85844,median_nonzero,0,3,105,0.04975,4.37225,1.53296,-5.15019,0.0844,0.17707,9.64272,72190275356.36455
154,0.03309,0.03366,0.01434,15.3073,31.04771,median_nonzero,0,3,102,0.03754,5.38297,1.60315,-5.92069,0.09118,0.11227,6.22112,72125406958.25284
198,0.02062,0.04073,0.01212,15.3277,31.91262,median_nonzero,0,3,104,0.05985,3.37887,1.60741,-5.44329,0.07767,0.07542,9.35905,71740890418.10677
123,0.02205,0.0376,0.02006,15.14749,33.77087,median_nonzero,0,5,103,0.04566,3.96504,1.75608,-4.13877,0.09905,0.09216,1.80722,71590140990.78935
150,0.02691,0.03523,0.01257,15.40107,32.83874,median_nonzero,0,3,107,0.02089,4.69278,1.65702,-5.65279,0.09216,0.08493,4.64394,71485559737.43091
124,0.0231,0.04133,0.01672,15.22669,35.77046,median_nonzero,0,5,105,0.04181,3.76534,1.82864,-4.63646,0.08752,0.05532,2.0456,71270350078.58173
102,0.01803,0.02627,0.01818,15.60955,30.24711,median_nonzero,0,6,94,0.07277,3.16424,1.95288,-3.11789,0.06796,0.01125,2.66257,71009604325.45447
185,0.02316,0.05334,0.01305,15.23329,33.02359,median_nonzero,0,2,62,0.01543,4.57989,1.75554,-4.84151,0.07387,0.08619,4.25033,70993681738.07594
175,0.02672,0.03143,0.01135,15.00115,34.01419,median_nonzero,0,4,112,0.24081,5.12847,1.73909,-5.99768,0.08419,0.09002,8.64563,70929790660.68324
200,0.02207,0.04906,0.0101,15.1881,33.77741,median_nonzero,0,3,103,0.03151,3.35504,1.47818,-5.21822,0.09118,0.09051,9.74003,70731311897.7389
103,0.0189,0.02631,0.01811,15.60254,30.46203,median_nonzero,0,6,95,0.07235,3.14646,1.95138,-3.25995,0.06247,0.02355,2.73114,70611415264.8177
178,0.03028,0.03599,0.01233,15.52447,31.87494,median_nonzero,0,3,106,0.03931,5.50372,1.6838,-5.58329,0.07912,0.06901,6.98692,70376799626.98753
177,0.01992,0.03403,0.01005,15.25461,32.66445,median_nonzero,0,2,102,0.03413,4.62285,1.77816,-4.74574,0.1069,0.11558,5.99214,70348031657.24059
104,0.01793,0.02709,0.01843,15.63712,30.50276,median_nonzero,0,6,96,0.07273,3.20964,1.94255,-3.81874,0.06377,0.01303,2.8109,70321379563.0656
143,0.02635,0.03054,0.01016,15.38923,33.99546,median_nonzero,0,3,99,0.05961,5.01788,1.64958,-5.25789,0.11726,0.07368,5.80075,69519908901.23062
145,0.02765,0.02884,0.01123,15.35872,32.17962,median_nonzero,0,4,99,0.05227,4.51121,1.68957,-4.94697,0.12301,0.07914,7.10855,69093382068.57138
112,0.01506,0.02069,0.02247,15.55138,29.71255,median_nonzero,0,8,97,0.06601,3.46581,1.90211,-3.34207,0.07523,0.02808,1.0944,68756647379.08612
197,0.01935,0.04172,0.01313,15.45633,34.43212,median_nonzero,0,2,107,0.02253,3.7403,1.55838,-5.07378,0.08869,0.08145,5.66807,68449828841.91041
156,0.03322,0.03645,0.01101,15.38736,31.63934,median_nonzero,0,3,112,0.01361,5.12931,1.52513,-5.73135,0.10952,0.12609,7.26599,67717335254.32876
158,0.0313,0.03295,0.01476,15.49118,31.72493,median_nonzero,0,3,109,0.01861,5.72167,1.61921,-5.50962,0.10536,0.1082,5.23432,67691494738.57851
169,0.02228,0.02766,0.01159,15.70911,31.65927,median_nonzero,0,2,108,0.03723,5.35408,1.77832,-4.83334,0.09472,0.06225,6.0374,67408742606.69347
64,0.03578,0.01669,0.03111,15.01279,25.5624,median_nonzero,0,2,75,0.03584,6.68532,1.79908,-2.38751,0.12992,0.28516,16.15518,66906072849.34724
96,0.01374,0.02481,0.0235,15.59482,29.25471,median_nonzero,0,8,87,0.06564,3.01155,1.94853,-3.35435,0.06444,0.03755,1.12584,66580179372.68634
97,0.01403,0.02495,0.02381,15.71044,30.70639,median_nonzero,0,6,90,0.09282,3.1272,1.95629,-3.34545,0.06245,0.03492,3.29233,66481452294.50793
138,0.02577,0.03411,0.01173,15.39536,32.65027,median_nonzero,0,4,100,0.05333,4.28258,1.7408,-4.66332,0.11011,0.1021,5.11176,66007186331.58516
98,0.01,0.02496,0.02139,15.62799,29.16,median_nonzero,0,8,90,0.06664,3.08691,1.96362,-3.33625,0.0625,0.04082,2.6533,65268081437.91759
74,0.03473,0.01471,0.03518,15.27291,22.53928,median_nonzero,0,4,79,0.0837,4.04284,1.56787,-2.63612,0.11478,0.22473,16.70087,65033657046.21355
160,0.03163,0.02841,0.01379,15.73298,34.1563,median_nonzero,0,3,102,0.03228,4.72368,1.47306,-5.26613,0.07208,0.11931,4.18493,64690762006.50945
128,0.02472,0.04758,0.02518,15.43696,34.69304,median_nonzero,0,5,110,0.03341,4.28801,1.85834,-3.92424,0.10577,0.06177,6.79284,64249320067.74242
187,0.0282,0.03274,0.01567,15.71871,32.61785,median_nonzero,0,2,104,0.04163,4.16079,1.78484,-6.55939,0.115,0.06953,4.04302,63647293804.26659
168,0.06399,0.03042,0.01308,15.50882,32.51457,median_nonzero,0,3,102,0.02837,5.91976,0.28123,-0.20666,0.10592,0.13539,7.63188,63038471831.36959
81,0.03542,0.0124,0.02815,15.23146,24.44757,median_nonzero,0,1,77,0.06102,6.03399,1.54195,-2.56442,0.13646,0.28219,15.79641,62936163092.21422
41,0.03565,0.02956,0.0147,15.00791,31.93372,median_nonzero,0,2,57,0.08685,11.13885,1.49063,-4.93413,0.13769,0.23579,14.42475,62150409759.14123
100,0.01076,0.02543,0.02359,15.57479,30.83464,median_nonzero,0,9,91,0.10627,3.33935,1.90916,-3.32547,0.07783,0.04001,3.33335,62106441903.07075
101,0.01427,0.02327,0.02556,15.87218,29.0246,median_nonzero,0,7,87,0.06531,3.51798,1.99441,-3.49195,0.05206,0.04949,4.93644,61967207143.93336
71,0.031,0.01818,0.03153,15.26727,22.17444,median_nonzero,0,1,83,0.05646,4.22384,1.66886,-2.78241,0.13923,0.28209,16.2875,61910447098.81536
65,0.02208,0.0176,0.03033,15.31429,25.59182,median_nonzero,0,1,74,0.03623,5.08781,1.80476,-2.52233,0.13424,0.263,16.66775,61891738402.6772
180,0.02087,0.03245,0.01119,15.01417,33.61222,median_nonzero,0,4,101,0.03022,8.55812,1.71547,-4.48536,0.29302,0.09728,5.40793,60711361785.71624
67,0.02846,0.01055,0.03019,15.31976,25.54823,median_nonzero,0,3,78,0.02424,6.53786,1.78826,-1.68351,0.13656,0.28717,18.29887,60690624697.49722
72,0.04138,0.01867,0.02776,15.34859,24.68457,median_nonzero,0,2,85,0.05318,4.49799,1.68859,-2.66766,0.12965,0.25472,16.36655,60682319266.91042
92,0.02647,0.01898,0.02931,15.97073,28.34718,median_nonzero,0,4,76,0.01811,3.66159,1.87285,-0.84591,0.10715,0.08282,8.17758,60459644063.71763
84,0.04018,0.01017,0.03539,15.26747,25.76745,median_nonzero,0,3,70,0.05076,4.20707,1.71308,-2.15271,0.16434,0.24869,17.3027,60454079551.51694
157,0.02977,0.04152,0.01081,15.86491,30.9716,median_nonzero,0,2,106,0.02674,5.54939,1.56533,-4.98759,0.07783,0.10023,6.20325,60320893177.35054
58,0.03168,0.0286,0.03081,15.00595,24.21932,median_nonzero,0,1,73,0.07512,11.69231,1.45199,-2.49482,0.15385,0.29114,16.44566,59835566885.81614
114,0.01503,0.02233,0.0155,15.85811,27.8091,median_nonzero,0,6,98,0.09414,3.29352,1.91064,-2.90168,0.0901,0.07527,4.5488,59663658565.61807
42,0.03444,0.02894,0.01381,15.04603,32.74507,median_nonzero,0,1,114,0.06066,11.6218,1.53157,-5.06111,0.10886,0.30265,12.2758,59580956788.57054
179,0.03248,0.0291,0.01365,15.20711,31.34605,median_nonzero,0,18,98,0.04857,4.01736,1.61178,-4.9348,0.05034,0.0436,6.49339,59371445587.85741
76,0.03752,0.01962,0.03156,15.32305,25.98913,median_nonzero,0,3,85,0.04212,4.90255,1.85654,-1.90895,0.15918,0.24051,17.1072,59147767365.11822
108,0.01218,0.02985,0.02386,15.75249,31.10752,median_nonzero,0,6,93,0.20016,3.57181,1.93176,-3.65804,0.09168,0.01917,5.68478,59044928912.78165
105,0.01906,0.02678,0.01804,16.20575,30.38804,median_nonzero,0,6,95,0.0443,3.31677,1.8904,-3.0932,0.0734,0.01244,4.26918,58892766976.50178
163,0.02392,0.03377,0.01005,15.49788,32.013,median_nonzero,0,2,102,0.02601,5.22981,1.67053,-6.26151,0.2657,0.06289,4.55257,58809359823.06176
159,0.07706,0.036,0.01154,15.30912,33.02994,median_nonzero,0,2,106,0.01015,4.85804,1.65114,-5.16507,0.0945,0.0866,5.39421,58682733923.97197
59,0.0304,0.03432,0.04385,15.43024,23.85053,median_nonzero,0,1,73,0.02971,5.44945,1.425,-2.35333,0.13104,0.28579,16.51648,58365307915.65249
52,0.03164,0.03421,0.02602,15.07301,22.29701,median_nonzero,0,1,93,0.14688,12.23644,1.43425,-5.52134,0.08538,0.31778,15.34817,58291186502.0163
127,0.02062,0.03603,0.01936,15.12422,31.47075,median_nonzero,0,4,103,0.02323,4.65883,1.76669,-3.99908,0.34576,0.06703,2.31351,57944032387.9276
22,0.02523,0.02283,0.01599,15.00856,26.02813,median_nonzero,0,7,69,0.01292,11.7276,1.64515,-5.85442,0.12049,0.32376,14.74247,57915579087.20769
107,0.01444,0.03187,0.01892,16.02796,28.06644,median_nonzero,0,5,98,0.07965,3.21621,1.84052,-3.97107,0.08115,0.06509,1.63146,57906702426.20135
51,0.03255,0.0254,0.03413,15.0099,26.61871,median_nonzero,0,2,88,0.06712,12.60473,0.90337,-4.46658,0.09951,0.34471,15.85315,57801653432.34769
79,0.02399,0.01741,0.0317,15.65863,21.47526,median_nonzero,0,3,79,0.07273,4.61267,1.6345,-3.6177,0.123,0.23573,17.56738,57653695969.16124
69,0.02779,0.01002,0.03054,15.35743,23.65129,median_nonzero,0,2,72,0.04455,6.85317,1.75343,-1.16107,0.17081,0.28435,19.28653,57236326633.66427
33,0.03867,0.03023,0.02495,15.04275,29.50163,median_nonzero,0,2,58,0.09693,11.09597,1.4967,-5.18847,0.19057,0.24059,15.46098,57147675489.8358
176,0.02369,0.0914,0.0165,15.41206,29.84073,median_nonzero,0,3,104,0.0227,4.15719,1.65385,-5.23395,0.09269,0.08168,4.87746,57060503319.59333
130,0.01222,0.03968,0.0211,15.41298,32.01423,median_nonzero,0,13,104,0.04966,3.87365,1.87003,-3.67843,0.08225,0.0481,2.41127,55013793639.54678
28,0.0184,0.03301,0.01683,15.00952,28.33358,median_nonzero,0,5,60,0.05068,10.92056,1.62651,-5.11866,0.19054,0.27404,17.74394,54386909988.83035
49,0.03439,0.0264,0.03332,15.04153,27.23199,median_nonzero,0,2,89,0.0642,12.76731,0.89786,-4.52129,0.10531,0.3422,16.17228,54202565775.5968
111,0.0107,0.0242,0.02135,15.5918,29.22088,median_nonzero,0,10,90,0.34797,3.18603,1.9486,-3.42331,0.0656,0.0432,2.75136,53681827664.8704
50,0.01273,0.03893,0.01298,15.47178,37.08176,median_nonzero,0,4,56,0.11367,11.60129,1.25812,-6.2775,0.06645,0.25369,14.10829,53292141207.94135
62,0.02571,0.03432,0.05134,15.78775,23.1634,median_nonzero,0,3,71,0.01021,5.30904,0.94843,-2.89093,0.11199,0.31853,16.99032,53164298982.44167
54,0.03698,0.02822,0.02612,15.47524,20.01525,median_nonzero,0,2,87,0.14037,12.37735,0.79326,-4.08084,0.09463,0.30305,13.51291,52665910730.5359
86,0.04077,0.0148,0.03507,15.27509,27.48123,median_nonzero,0,4,81,0.05877,3.90462,1.72816,-1.29107,0.20733,0.27113,17.84509,52323034701.83098
113,0.02086,0.02097,0.02678,16.30567,29.92376,median_nonzero,0,9,96,0.06275,3.45326,1.8896,-3.0623,0.078,0.0259,1.3751,52279682547.87215
61,0.03127,0.02745,0.04066,15.41403,24.03085,median_nonzero,0,1,77,0.07837,11.62169,1.18738,-1.55419,0.15435,0.30596,14.35304,51898734127.58031
44,0.05509,0.03526,0.06813,15.61897,39.53704,median_nonzero,0,4,113,0.10146,9.84948,1.27103,-4.86303,0.14078,0.15125,9.56421,51844904292.74778
75,0.04137,0.01495,0.03547,15.72892,22.39793,median_nonzero,0,4,82,0.07864,4.11351,1.58181,-2.64647,0.17547,0.22553,16.59675,51247005729.00462
60,0.07019,0.04378,0.0469,15.44468,19.92958,median_nonzero,0,1,74,0.02939,7.05508,1.42729,-1.94975,0.13176,0.29027,16.38742,50496589281.06602
99,0.01386,0.02458,0.02135,16.44299,28.85808,median_nonzero,0,8,89,0.09363,3.02719,1.96466,-3.73357,0.06102,0.0328,1.17426,50279368388.11799
24,0.02822,0.01941,0.01576,15.27921,30.07804,median_nonzero,0,2,59,0.23476,10.90197,1.93919,-5.30235,0.12835,0.3322,17.3935,49925978341.43311
109,0.01635,0.02658,0.01767,16.56655,30.45733,median_nonzero,0,6,100,0.07239,3.02174,1.86645,-4.29052,0.062,0.05599,3.64371,49761667259.00924
85,0.04655,0.01194,0.04031,15.67332,25.79185,median_nonzero,0,5,70,0.04986,4.40123,1.59538,-2.67359,0.18164,0.24992,17.34399,49689003629.99231
47,0.02098,0.04075,0.03782,15.55536,32.29582,median_nonzero,0,3,83,0.01948,12.34502,1.04177,0.33878,0.14739,0.19427,11.00128,49223705718.20563
34,0.03978,0.0318,0.01473,15.85221,31.55347,median_nonzero,0,2,57,0.08865,10.90601,1.48283,-5.12827,0.14013,0.21515,15.41949,48325455497.66277
199,0.02527,0.05565,0.01092,15.6571,32.36753,median_nonzero,0,15,109,0.01843,3.25682,1.64551,-4.7514,0.06952,0.08519,10.26505,46622219831.10489
83,0.03799,0.01226,0.03143,15.98301,22.72222,median_nonzero,0,1,86,0.11041,6.60235,1.67656,-2.52187,0.15509,0.28093,16.72939,46193886803.47844
31,0.02928,0.06707,0.0264,15.05982,28.56,median_nonzero,0,4,60,0.04937,11.97219,1.71255,-5.76869,0.18824,0.2719,16.75666,45316942240.01335
90,0.03457,0.02139,0.02758,16.70019,26.82675,median_nonzero,0,2,66,0.03803,3.44629,1.98888,-1.81582,0.12091,0.12504,18.42818,44954111555.75134
73,0.04605,0.0185,0.02763,16.13627,24.8459,median_nonzero,0,2,83,0.05645,4.46773,1.6825,-3.18208,0.14792,0.25673,18.20974,44947254745.07885
2,0.07897,0.08903,0.02861,15.08396,18.45178,median_nonzero,0,9,64,0.22674,4.03714,0.14099,-2.71096,0.103,0.27915,14.23169,41601276241.04864
53,0.03235,0.02349,0.03951,15.95725,22.26604,median_nonzero,0,1,93,0.15169,12.99413,1.42028,-5.5542,0.0836,0.31899,15.06984,41355609106.63645
11,0.03432,0.03714,0.01093,15.18938,25.52193,median_nonzero,0,9,55,0.24969,12.88858,0.17648,-6.62324,0.15101,0.33398,2.24283,41066315436.35143
66,0.02228,0.0162,0.03002,16.56006,24.51538,median_nonzero,0,1,74,0.03558,5.0734,1.80239,-2.33738,0.15495,0.26373,18.81166,39765269938.85257
146,0.08967,0.03105,0.01339,15.80845,31.93487,median_nonzero,0,3,98,0.0266,5.26683,1.62233,-4.80489,0.11312,0.11333,5.68388,38971813229.77563
27,0.02662,0.04643,0.02252,15.76003,31.911,median_nonzero,0,3,60,0.30462,7.6612,1.56788,-3.96712,0.12128,0.32351,14.90234,38860699837.56698
57,0.02458,0.02348,0.03586,15.98732,21.59252,median_nonzero,0,14,81,0.11991,11.20193,1.54108,-5.62981,0.07221,0.34649,12.75434,38435152625.78413
45,0.03245,0.04962,0.02298,16.16868,34.15982,median_nonzero,0,5,105,0.05593,11.71171,1.82118,-6.56539,0.1066,0.22984,14.16406,38247467211.57825
63,0.03433,0.0209,0.04302,16.17263,26.28586,median_nonzero,0,11,80,0.06687,3.74557,1.31693,-2.41573,0.09373,0.33376,13.31562,37283957005.02842
77,0.02726,0.07926,0.02808,16.26778,20.7957,median_nonzero,0,4,85,0.05224,3.70312,1.91228,-2.83303,0.14265,0.21889,18.5167,36711130514.18697
39,0.02801,0.04038,0.02447,15.54688,29.32282,median_nonzero,0,7,110,0.17431,8.70539,1.26021,-3.28706,0.26956,0.27746,17.59913,36681098979.18577
56,0.04361,0.01361,0.02435,16.7916,17.62858,median_nonzero,0,3,102,0.10001,12.55344,1.11225,-3.56992,0.05378,0.32767,14.63665,36673004788.99696
