trial,reset_peak,rsi_min_thresh,rsi_max_thresh,adx_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,sign_thresh_pair,avg_daily_pnl
73,0,43,50,54.53837,17.19124,0.85577,0.73409,0.03766,15.51118,ema_3|ema_8,90.56565
72,0,42,50,55.17763,16.91315,0.81824,0.73252,0.03885,15.56521,ema_3|ema_8,86.50609
62,0,44,52,55.38687,17.59687,0.49456,0.73443,0.05241,15.41509,ema_3|ema_8,83.35866
64,0,42,51,55.55168,16.5255,0.44274,0.78659,0.04285,17.17858,ema_3|ema_8,83.11575
71,0,42,51,55.22088,16.94905,0.83561,0.73512,0.04833,15.46287,ema_3|ema_8,82.07123
43,0,38,51,56.12394,17.15945,0.68727,0.6758,0.05877,15.15863,ema_3|ema_8,79.08347
63,0,42,52,56.22339,17.25653,0.49582,0.77681,0.0514,16.88368,ema_3|ema_8,78.33292
70,0,42,51,55.19725,17.06394,0.92362,0.73149,0.04779,15.33309,ema_3|ema_8,78.15516
30,0,39,52,56.38831,17.05513,1.07839,0.71674,0.05058,28.80772,ema_3|ema_8,76.72019
25,0,39,51,55.35843,16.84671,-0.33906,0.76238,0.07057,27.93709,ema_3|ema_8,76.51813
44,0,33,51,56.13326,17.4942,0.64885,0.67225,0.05922,14.5543,ema_3|ema_8,76.37226
22,0,43,51,55.41196,16.65105,-0.43895,0.73528,0.04715,27.49609,ema_3|ema_8,74.55067
65,0,42,52,55.74853,17.24201,0.53546,0.78362,0.0368,17.48318,ema_3|ema_8,72.81314
45,0,33,48,56.16453,17.98137,0.69625,0.67879,0.0705,15.05877,ema_3|ema_8,72.42011
41,0,44,53,55.42007,17.57977,0.30764,0.71561,0.05346,29.92425,ema_3|ema_8,72.22607
31,0,39,52,55.15066,17.00311,0.87409,0.72097,0.04898,28.47766,ema_3|ema_8,71.08026
51,0,33,48,56.36641,17.95299,0.73862,0.67909,0.07306,14.62277,ema_3|ema_8,69.37104
12,0,45,53,55.49931,17.74499,0.36998,0.69666,0.0342,29.89666,ema_3|ema_8,68.75296
21,0,43,54,55.74243,16.80783,-0.35347,0.72846,0.04457,27.73902,ema_3|ema_8,68.51577
61,0,44,56,55.45901,17.69151,0.32133,0.70907,0.05594,29.2479,ema_3|ema_8,67.07978
52,0,33,49,54.74923,17.3968,0.67143,0.63792,0.06026,18.03354,ema_3|ema_8,66.78559
53,0,32,47,56.04352,17.98972,0.45649,0.60583,0.07066,12.77408,ema_3|ema_8,66.17459
