trial,tc_id,reset_peak,rsi_thresh,atr_mult,vwap_atr_mult,invest_frac,buy_factor,sell_factor,trailstop_pct,sess_start,avg_daily_pnl
13,tc_004,1,44,0.24561,-1.64742,0.07977,0.05014,0.3685,0.13289,14:30:00,-48.83285
14,tc_004,1,42,0.28052,-0.96532,0.07957,0.05302,0.34282,0.18769,14:30:00,-50.47185
7,tc_003,1,70,0.25027,0.18711,0.09561,0.08219,0.197,0.22308,14:30:00,-53.18174
11,tc_003,1,50,0.13882,-1.96616,0.13665,0.0752,0.05132,0.12573,14:30:00,-62.08833
10,tc_003,1,50,0.14284,-2.11157,0.13347,0.07906,0.07368,0.13017,14:30:00,-70.08197
12,tc_003,1,74,0.20924,-2.01636,0.16508,0.11848,0.10188,0.14287,14:30:00,-86.31037
3,tc_001,1,40,2.94223,-3.71434,0.31636,0.05252,0.75165,0.01334,14:30:00,-93.96993
4,tc_001,1,30,1.27053,2.33464,0.11032,0.31934,0.27896,0.07544,13:30:00,-122.4897
9,tc_005,1,32,0.60897,-0.03612,0.10658,0.33185,0.88797,0.04577,14:30:00,-137.92615
2,tc_006,1,68,0.47372,0.9368,0.06978,0.15289,0.7589,0.01006,13:30:00,-144.94643
8,tc_002,0,66,0.10473,3.92918,0.37662,0.30926,0.68252,0.05492,13:30:00,-145.0288
5,tc_005,0,32,5.22484,-0.23429,0.3823,0.32561,0.06425,0.01145,14:30:00,-148.28021
1,tc_006,0,52,1.03635,2.34517,0.05463,0.25815,0.18469,0.01552,13:30:00,-149.15955
0,tc_006,1,59,0.41257,0.77552,0.23389,0.41549,0.18256,0.27297,13:30:00,-159.2566
6,tc_003,0,66,2.93605,0.60023,0.63062,0.77136,0.18604,0.23091,13:30:00,-159.56087
