
------------------------------------------------------------------------------------------------------------------------------------------------------
RUN START: 2025-10-08T16:52:11.342368Z

HYPERPARAMS:
  CONV_K = 3
  CONV_DILATION = 1
  SHORT_UNITS = 192
  DROPOUT_SHORT = 0.2
  LONG_UNITS = 256
  PRED_HIDDEN = 128
  DROPOUT_LONG = 0.2
  LR_EPOCHS_WARMUP = 3
  INITIAL_LR = 0.0001
  WEIGHT_DECAY = 0.0002
  CLIPNORM = 2
  ETA_MIN = 1e-06
  T_0 = 10
  T_MULT = 2
  TRAIN_BATCH = 64
  VAL_BATCH = 1
  NUM_WORKERS = 12
  TRAIN_PREFETCH_FACTOR = 4
  MAX_EPOCHS = 100
  EARLY_STOP_PATIENCE = 7

BASELINES:
  TRAIN mean RMSE      = 0.20905
  TRAIN persistence RMSE = 0.02548
  VAL   mean RMSE      = 0.23007
  VAL   persistence RMSE = 0.03198

E01 | GN(reg=0.547,cls=0.000,ter=0.000,tot=0.668) | lr=9.76e-05 | tr(rmse=0.330,r2=-0.293,mae=0.254) | vl(rmse=0.269,r2=0.125,mae=0.206) | slip=0.00,hub=0.000 | top_grads=pred.2.weight:0.386,pred.0.weight:0.377,short2long.weight:0.312,short_lstm.weight_ih_l0:0.133,conv.weight:0.116,short_lstm.weight_ih_l0_reverse:0.102,pred.2.bias:0.088,short_lstm.bias_ih_l0:0.043,short_lstm.bias_hh_l0:0.043,short_lstm.weight_hh_l0:0.032,pred.0.bias:0.029,short2long.bias:0.025,short_lstm.bias_ih_l0_reverse:0.021,short_lstm.bias_hh_l0_reverse:0.021,ln_long.bias:0.017,ln_long.weight:0.013,ln_short.bias:0.013,ln_short.weight:0.011,bn.weight:0.010,bn.bias:0.008,conv.bias:0.000,short_lstm.weight_hh_l0_reverse:0.000

E02 | GN(reg=0.398,cls=0.000,ter=0.000,tot=0.466) | lr=9.05e-05 | tr(rmse=0.291,r2=-0.006,mae=0.225) | vl(rmse=0.262,r2=0.164,mae=0.207) | slip=0.00,hub=0.000 | top_grads=pred.2.weight:0.288,pred.0.weight:0.265,short2long.weight:0.180,conv.weight:0.117,short_lstm.weight_ih_l0:0.079,pred.2.bias:0.070,short_lstm.weight_ih_l0_reverse:0.061,short_lstm.bias_ih_l0:0.026,short_lstm.bias_hh_l0:0.026,pred.0.bias:0.020,short_lstm.weight_hh_l0:0.018,short2long.bias:0.015,short_lstm.bias_ih_l0_reverse:0.013,short_lstm.bias_hh_l0_reverse:0.013,ln_long.bias:0.010,bn.weight:0.010,ln_long.weight:0.007,bn.bias:0.007,ln_short.bias:0.007,ln_short.weight:0.005,conv.bias:0.000,short_lstm.weight_hh_l0_reverse:0.000

E03 | GN(reg=0.088,cls=0.000,ter=0.000,tot=0.107) | lr=7.96e-05 | tr(rmse=0.279,r2=0.078,mae=0.215) | vl(rmse=0.259,r2=0.187,mae=0.204) | slip=0.00,hub=0.000 | top_grads=pred.0.weight:0.061,pred.2.weight:0.061,short2long.weight:0.039,conv.weight:0.039,short_lstm.weight_ih_l0:0.018,pred.2.bias:0.017,short_lstm.weight_ih_l0_reverse:0.013,short_lstm.bias_ih_l0:0.006,short_lstm.bias_hh_l0:0.006,short_lstm.weight_hh_l0:0.005,pred.0.bias:0.004,short2long.bias:0.003,short_lstm.bias_ih_l0_reverse:0.003,short_lstm.bias_hh_l0_reverse:0.003,bn.weight:0.002,bn.bias:0.002,ln_long.bias:0.002,ln_long.weight:0.002,ln_short.bias:0.002,ln_short.weight:0.001,conv.bias:0.000,short_lstm.weight_hh_l0_reverse:0.000

E04 | GN(reg=0.291,cls=0.000,ter=0.000,tot=0.331) | lr=6.58e-05 | tr(rmse=0.270,r2=0.134,mae=0.208) | vl(rmse=0.259,r2=0.188,mae=0.195) | slip=0.00,hub=0.000 | top_grads=pred.2.weight:0.216,pred.0.weight:0.185,conv.weight:0.103,short2long.weight:0.099,pred.2.bias:0.056,short_lstm.weight_ih_l0:0.049,short_lstm.weight_ih_l0_reverse:0.039,short_lstm.bias_ih_l0:0.016,short_lstm.bias_hh_l0:0.016,pred.0.bias:0.014,short_lstm.weight_hh_l0:0.011,short_lstm.bias_ih_l0_reverse:0.008,short_lstm.bias_hh_l0_reverse:0.008,bn.weight:0.008,short2long.bias:0.008,ln_long.bias:0.006,bn.bias:0.006,ln_short.bias:0.004,ln_long.weight:0.004,ln_short.weight:0.003,conv.bias:0.000,short_lstm.weight_hh_l0_reverse:0.000

E05 | GN(reg=0.235,cls=0.000,ter=0.000,tot=0.269) | lr=5.05e-05 | tr(rmse=0.267,r2=0.157,mae=0.205) | vl(rmse=0.258,r2=0.194,mae=0.194) | slip=0.00,hub=0.000 | top_grads=pred.2.weight:0.177,pred.0.weight:0.148,conv.weight:0.090,short2long.weight:0.075,pred.2.bias:0.045,short_lstm.weight_ih_l0:0.040,short_lstm.weight_ih_l0_reverse:0.033,short_lstm.bias_ih_l0:0.013,short_lstm.bias_hh_l0:0.013,pred.0.bias:0.011,short_lstm.weight_hh_l0:0.009,bn.weight:0.007,short_lstm.bias_ih_l0_reverse:0.007,short_lstm.bias_hh_l0_reverse:0.007,short2long.bias:0.006,bn.bias:0.005,ln_long.bias:0.005,ln_short.bias:0.003,ln_long.weight:0.003,ln_short.weight:0.002,conv.bias:0.000,short_lstm.weight_hh_l0_reverse:0.000

E06 | GN(reg=0.139,cls=0.000,ter=0.000,tot=0.161) | lr=3.52e-05 | tr(rmse=0.265,r2=0.169,mae=0.203) | vl(rmse=0.256,r2=0.202,mae=0.194) | slip=0.00,hub=0.000 | top_grads=pred.2.weight:0.104,pred.0.weight:0.089,conv.weight:0.058,short2long.weight:0.045,pred.2.bias:0.027,short_lstm.weight_ih_l0:0.023,short_lstm.weight_ih_l0_reverse:0.020,short_lstm.bias_ih_l0:0.008,short_lstm.bias_hh_l0:0.008,pred.0.bias:0.007,short_lstm.weight_hh_l0:0.006,short_lstm.bias_ih_l0_reverse:0.004,short_lstm.bias_hh_l0_reverse:0.004,bn.weight:0.004,short2long.bias:0.004,bn.bias:0.003,ln_long.bias:0.003,ln_short.bias:0.002,ln_long.weight:0.002,ln_short.weight:0.001,conv.bias:0.000,short_lstm.weight_hh_l0_reverse:0.000
